swap,rep_a,rep_b,class_a,class_b,pm_a,pm_b,edges_a,edges_b
0<->13,047,017,95961405453f90c2f7651c552d3d6d51,95961405453f90c2f7651c552d3d6d51,59.0,59.0,30.0,30.0
1<->12,01a,03a,a6653935cffc13184d92df4dab5165da,a6653935cffc13184d92df4dab5165da,175.0,175.0,37.0,37.0
3<->9,058,035,8d1ca5b076f1c4063f70b58c8b536013,8d1ca5b076f1c4063f70b58c8b536013,371.0,371.0,38.0,38.0
14<->15,039,012,,,,,,
