clock_tripod_orbit,support_4set,edge_count_in_flipgraph,delta0,delta2,delta4,delta6,A4_orbit_size_on_4sets,A4_stabilizer_size,A4_has_nontrivial_stabilizer,nontrivial_stabilizer_rep
yes,1 2 3 8,2,0,2,0,0,6,2,1,11 8 3 2 7 9 10 4 1 5 6 0
yes,3 7 10 11,2,0,0,2,0,6,2,1,4 9 6 10 0 8 2 11 5 1 3 7
yes,5 6 9 10,2,2,0,0,0,6,2,1,11 8 3 2 7 9 10 4 1 5 6 0
