m,tag,count
0,O12_bias,13
0,defect_localized,5
0,high_ipr,10
0,O6_bias,11
1,O12_bias,14
1,O6_bias,12
1,defect_localized,5
1,high_ipr,2
2,spin_sigma_mode,1
2,phase_sum_mode,1
2,defect_localized,8
2,O12_bias,9
2,O6_bias,13
2,high_ipr,2
3,spin_sigma_mode,1
3,phase_sum_mode,1
3,defect_localized,11
3,O12_bias,9
3,O6_bias,14
3,high_ipr,4
4,spin_sigma_mode,1
4,phase_sum_mode,1
4,defect_localized,8
4,O12_bias,9
4,O6_bias,13
4,high_ipr,2
5,O12_bias,14
5,O6_bias,12
5,defect_localized,5
5,high_ipr,2
