,"0,0,0,0,0,0","0,0,0,0,0,2","0,0,0,0,0,6","0,0,0,0,2,6","0,0,0,0,6,6","0,0,0,2,6,6"
"0,0,0,0,0,0",8,0,0,1,2,0
"0,0,0,0,0,2",0,6,0,0,0,1
"0,0,0,0,0,6",0,0,32,0,0,0
"0,0,0,0,2,6",1,0,0,58,1,0
"0,0,0,0,6,6",2,0,0,1,6,0
"0,0,0,2,6,6",0,1,0,0,0,14
