orbit,matching_id,pairs,triangle_pairs,phases_mod8_per_pair,signature_sorted,sum_phases_mod8,orbit_size_under_A4,D_rank_gf2,gram_rank_gf2,rref_pivot_cols,factorization_ok_P2_equals_MtJM,sigma_Z2,is_special_orbit_size_4
orbit13,18,"[[0, 1], [2, 7], [3, 8], [4, 5], [6, 9], [10, 11]]","[['017', '026'], ['057', '3ab'], ['128', '48b'], ['138', '246'], ['37a', '49b'], ['569', '59a']]","[0, 0, 6, 0, 0, 0]","0,0,0,0,0,6",6,12,4,2,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,19,"[[0, 8], [1, 9], [2, 3], [4, 5], [6, 11], [7, 10]]","[['017', '48b'], ['026', '49b'], ['057', '128'], ['138', '246'], ['37a', '59a'], ['3ab', '569']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,20,"[[0, 8], [1, 2], [3, 9], [4, 5], [6, 11], [7, 10]]","[['017', '48b'], ['026', '057'], ['128', '49b'], ['138', '246'], ['37a', '59a'], ['3ab', '569']]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,21,"[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 11]]","[['017', '026'], ['057', '128'], ['138', '246'], ['37a', '49b'], ['3ab', '48b'], ['569', '59a']]","[0, 0, 0, 0, 6, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,22,"[[0, 8], [1, 4], [2, 3], [5, 9], [6, 11], [7, 10]]","[['017', '48b'], ['026', '138'], ['057', '128'], ['246', '49b'], ['37a', '59a'], ['3ab', '569']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,23,"[[0, 8], [1, 4], [2, 7], [3, 11], [5, 10], [6, 9]]","[['017', '48b'], ['026', '138'], ['057', '3ab'], ['128', '59a'], ['246', '569'], ['37a', '49b']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,24,"[[0, 8], [1, 9], [2, 7], [3, 10], [4, 5], [6, 11]]","[['017', '48b'], ['026', '49b'], ['057', '3ab'], ['128', '569'], ['138', '246'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,3,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,25,"[[0, 8], [1, 4], [2, 7], [3, 10], [5, 9], [6, 11]]","[['017', '48b'], ['026', '138'], ['057', '3ab'], ['128', '569'], ['246', '49b'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,26,"[[0, 8], [1, 2], [3, 7], [4, 5], [6, 9], [10, 11]]","[['017', '48b'], ['026', '057'], ['128', '3ab'], ['138', '246'], ['37a', '49b'], ['569', '59a']]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,27,"[[0, 8], [1, 2], [3, 11], [4, 5], [6, 9], [7, 10]]","[['017', '48b'], ['026', '057'], ['128', '59a'], ['138', '246'], ['37a', '49b'], ['3ab', '569']]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,28,"[[0, 8], [1, 4], [2, 3], [5, 9], [6, 7], [10, 11]]","[['017', '48b'], ['026', '138'], ['057', '128'], ['246', '49b'], ['37a', '3ab'], ['569', '59a']]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,29,"[[0, 8], [1, 9], [2, 7], [3, 11], [4, 6], [5, 10]]","[['017', '48b'], ['026', '49b'], ['057', '3ab'], ['128', '59a'], ['138', '37a'], ['246', '569']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,30,"[[0, 9], [1, 10], [2, 3], [4, 5], [6, 11], [7, 8]]","[['017', '49b'], ['026', '569'], ['057', '128'], ['138', '246'], ['37a', '59a'], ['3ab', '48b']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,31,"[[0, 9], [1, 2], [3, 7], [4, 8], [5, 10], [6, 11]]","[['017', '49b'], ['026', '057'], ['128', '3ab'], ['138', '48b'], ['246', '569'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,32,"[[0, 1], [2, 7], [3, 8], [4, 5], [6, 11], [9, 10]]","[['017', '026'], ['057', '3ab'], ['128', '48b'], ['138', '246'], ['37a', '59a'], ['49b', '569']]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,12,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,33,"[[0, 8], [1, 3], [2, 7], [4, 6], [5, 9], [10, 11]]","[['017', '48b'], ['026', '128'], ['057', '3ab'], ['138', '37a'], ['246', '49b'], ['569', '59a']]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,34,"[[0, 8], [1, 4], [2, 7], [3, 9], [5, 10], [6, 11]]","[['017', '48b'], ['026', '138'], ['057', '3ab'], ['128', '49b'], ['246', '569'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,35,"[[0, 8], [1, 3], [2, 7], [4, 5], [6, 9], [10, 11]]","[['017', '48b'], ['026', '128'], ['057', '3ab'], ['138', '246'], ['37a', '49b'], ['569', '59a']]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,12,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,36,"[[0, 9], [1, 2], [3, 11], [4, 6], [5, 10], [7, 8]]","[['017', '49b'], ['026', '057'], ['128', '59a'], ['138', '37a'], ['246', '569'], ['3ab', '48b']]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,37,"[[0, 1], [2, 3], [4, 6], [5, 9], [7, 8], [10, 11]]","[['017', '026'], ['057', '128'], ['138', '37a'], ['246', '49b'], ['3ab', '48b'], ['569', '59a']]","[0, 0, 0, 0, 6, 0]","0,0,0,0,0,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,38,"[[0, 8], [1, 10], [2, 7], [3, 9], [4, 5], [6, 11]]","[['017', '48b'], ['026', '569'], ['057', '3ab'], ['128', '49b'], ['138', '246'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,3,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,39,"[[0, 1], [2, 7], [3, 11], [4, 8], [5, 9], [6, 10]]","[['017', '026'], ['057', '3ab'], ['128', '59a'], ['138', '48b'], ['246', '49b'], ['37a', '569']]","[0, 0, 6, 6, 0, 0]","0,0,0,0,6,6",4,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,40,"[[0, 9], [1, 2], [3, 8], [4, 5], [6, 11], [7, 10]]","[['017', '49b'], ['026', '057'], ['128', '48b'], ['138', '246'], ['37a', '59a'], ['3ab', '569']]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,41,"[[0, 9], [1, 8], [2, 3], [4, 5], [6, 11], [7, 10]]","[['017', '49b'], ['026', '48b'], ['057', '128'], ['138', '246'], ['37a', '59a'], ['3ab', '569']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,42,"[[0, 8], [1, 9], [2, 3], [4, 5], [6, 7], [10, 11]]","[['017', '48b'], ['026', '49b'], ['057', '128'], ['138', '246'], ['37a', '3ab'], ['569', '59a']]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,43,"[[0, 9], [1, 2], [3, 11], [4, 8], [5, 10], [6, 7]]","[['017', '49b'], ['026', '057'], ['128', '59a'], ['138', '48b'], ['246', '569'], ['37a', '3ab']]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,44,"[[0, 8], [1, 2], [3, 9], [4, 5], [6, 7], [10, 11]]","[['017', '48b'], ['026', '057'], ['128', '49b'], ['138', '246'], ['37a', '3ab'], ['569', '59a']]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,45,"[[0, 8], [1, 2], [3, 11], [4, 5], [6, 7], [9, 10]]","[['017', '48b'], ['026', '057'], ['128', '59a'], ['138', '246'], ['37a', '3ab'], ['49b', '569']]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,46,"[[0, 9], [1, 2], [3, 11], [4, 5], [6, 10], [7, 8]]","[['017', '49b'], ['026', '057'], ['128', '59a'], ['138', '246'], ['37a', '569'], ['3ab', '48b']]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,47,"[[0, 9], [1, 8], [2, 7], [3, 10], [4, 5], [6, 11]]","[['017', '49b'], ['026', '48b'], ['057', '3ab'], ['128', '569'], ['138', '246'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,48,"[[0, 8], [1, 2], [3, 7], [4, 9], [5, 10], [6, 11]]","[['017', '48b'], ['026', '057'], ['128', '3ab'], ['138', '49b'], ['246', '569'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,3,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,49,"[[0, 9], [1, 2], [3, 8], [4, 5], [6, 7], [10, 11]]","[['017', '49b'], ['026', '057'], ['128', '48b'], ['138', '246'], ['37a', '3ab'], ['569', '59a']]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,50,"[[0, 1], [2, 7], [3, 9], [4, 8], [5, 10], [6, 11]]","[['017', '026'], ['057', '3ab'], ['128', '49b'], ['138', '48b'], ['246', '569'], ['37a', '59a']]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,51,"[[0, 1], [2, 7], [3, 8], [4, 6], [5, 9], [10, 11]]","[['017', '026'], ['057', '3ab'], ['128', '48b'], ['138', '37a'], ['246', '49b'], ['569', '59a']]","[0, 0, 6, 0, 0, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,52,"[[0, 8], [1, 9], [2, 7], [3, 11], [4, 5], [6, 10]]","[['017', '48b'], ['026', '49b'], ['057', '3ab'], ['128', '59a'], ['138', '246'], ['37a', '569']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,53,"[[0, 8], [1, 4], [2, 7], [3, 11], [5, 9], [6, 10]]","[['017', '48b'], ['026', '138'], ['057', '3ab'], ['128', '59a'], ['246', '49b'], ['37a', '569']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,54,"[[0, 8], [1, 3], [2, 7], [4, 9], [5, 10], [6, 11]]","[['017', '48b'], ['026', '128'], ['057', '3ab'], ['138', '49b'], ['246', '569'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,55,"[[0, 9], [1, 4], [2, 3], [5, 10], [6, 11], [7, 8]]","[['017', '49b'], ['026', '138'], ['057', '128'], ['246', '569'], ['37a', '59a'], ['3ab', '48b']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,56,"[[0, 9], [1, 10], [2, 7], [3, 8], [4, 5], [6, 11]]","[['017', '49b'], ['026', '569'], ['057', '3ab'], ['128', '48b'], ['138', '246'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,57,"[[0, 8], [1, 2], [3, 11], [4, 9], [5, 10], [6, 7]]","[['017', '48b'], ['026', '057'], ['128', '59a'], ['138', '49b'], ['246', '569'], ['37a', '3ab']]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,58,"[[0, 9], [1, 8], [2, 3], [4, 5], [6, 7], [10, 11]]","[['017', '49b'], ['026', '48b'], ['057', '128'], ['138', '246'], ['37a', '3ab'], ['569', '59a']]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
