m,idx,eigenvalue
5,18,1.0324683948928635
5,19,0.9718094306063838
5,20,0.8894944365839396
5,21,0.8519423618527051
5,22,0.8216364057480275
5,23,0.5642223503745436
5,24,0.47625043973514053
5,25,0.3453775999434665
5,26,0.19059757007258296
5,27,0.03915757928349661
5,28,0.012090033046431302
5,29,2.427012261393831e-16
5,30,-0.03489493665064215
5,31,-0.08092516068562691
5,32,-0.2863217115387906
5,33,-0.437082517279009
5,34,-0.5591855929819585
5,35,-0.6279501245717377
5,36,-0.6763000805821251
5,37,-0.7435574251370279
5,38,-0.8409814330858908
5,39,-0.8632913783226803
5,40,-0.9812090858076289
5,41,-1.0576767022314406
5,42,-1.2316524182469448
5,43,-1.2675117632517203
5,44,-1.3390945160616445
5,45,-1.4227926484432365
5,46,-1.9532098908891582
5,47,-1.9915416815077585
5,48,-2.05087813460888
5,49,-2.143369252866431
5,50,-2.2483528110062494
5,51,-2.306524099906516
5,52,-2.3851349110619267
5,53,-2.7019949511299424
5,54,-3.2298139080559234
5,55,-3.563868801872043
5,56,-3.6930388723945096
5,57,-3.757930325072964
5,58,-4.611247727579837
