u,v,flip_support_4set,delta_from_nodes,removed_pairs,added_pairs,removed_phase_sum_mod8,added_phase_sum_mod8,delta_from_pair_phase_diff_mod8,ok,support_list,rem_idx,add_idx
4,52,0 1 8 9,0,"[(0, 9), (1, 8)]","[(0, 8), (1, 9)]",0,0,0,1,"[0, 1, 8, 9]",2,1
5,30,1 2 3 10,2,"[(1, 2), (3, 10)]","[(1, 10), (2, 3)]",6,0,2,1,"[1, 2, 3, 10]",0,2
5,40,3 7 8 10,0,"[(3, 10), (7, 8)]","[(3, 8), (7, 10)]",4,4,0,1,"[3, 7, 8, 10]",2,1
5,46,3 6 10 11,6,"[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,1,"[3, 6, 10, 11]",1,2
5,47,1 2 7 8,2,"[(1, 2), (7, 8)]","[(1, 8), (2, 7)]",6,0,2,1,"[1, 2, 7, 8]",0,2
6,24,1 3 9 10,6,"[(1, 3), (9, 10)]","[(1, 9), (3, 10)]",0,6,6,1,"[1, 3, 9, 10]",0,1
6,32,0 1 3 8,6,"[(0, 8), (1, 3)]","[(0, 1), (3, 8)]",0,6,6,1,"[0, 1, 3, 8]",2,0
6,35,6 9 10 11,6,"[(6, 11), (9, 10)]","[(6, 9), (10, 11)]",2,0,6,1,"[6, 9, 10, 11]",2,0
6,38,1 3 9 10,6,"[(1, 3), (9, 10)]","[(1, 10), (3, 9)]",0,6,6,1,"[1, 3, 9, 10]",0,2
6,54,4 5 9 10,6,"[(4, 5), (9, 10)]","[(4, 9), (5, 10)]",0,6,6,1,"[4, 5, 9, 10]",0,1
7,29,0 1 8 9,0,"[(0, 9), (1, 8)]","[(0, 8), (1, 9)]",0,0,0,1,"[0, 1, 8, 9]",2,1
7,36,1 2 7 8,6,"[(1, 8), (2, 7)]","[(1, 2), (7, 8)]",0,6,6,1,"[1, 2, 7, 8]",2,0
8,23,0 1 4 8,2,"[(0, 1), (4, 8)]","[(0, 8), (1, 4)]",6,0,2,1,"[0, 1, 4, 8]",0,2
8,39,5 6 9 10,0,"[(5, 10), (6, 9)]","[(5, 9), (6, 10)]",0,0,0,1,"[5, 6, 9, 10]",2,1
8,50,3 6 9 11,2,"[(3, 11), (6, 9)]","[(3, 9), (6, 11)]",6,0,2,1,"[3, 6, 9, 11]",2,1
9,16,1 3 4 8,0,"[(1, 3), (4, 8)]","[(1, 4), (3, 8)]",6,6,0,1,"[1, 3, 4, 8]",0,1
9,31,1 2 3 7,0,"[(1, 3), (2, 7)]","[(1, 2), (3, 7)]",0,0,0,1,"[1, 2, 3, 7]",1,0
9,50,0 1 3 9,6,"[(0, 9), (1, 3)]","[(0, 1), (3, 9)]",0,6,6,1,"[0, 1, 3, 9]",2,0
9,54,0 4 8 9,0,"[(0, 9), (4, 8)]","[(0, 8), (4, 9)]",6,6,0,1,"[0, 4, 8, 9]",2,1
10,12,3 7 10 11,4,"[(3, 7), (10, 11)]","[(3, 11), (7, 10)]",0,4,4,1,"[3, 7, 10, 11]",0,2
10,26,4 5 6 9,0,"[(4, 6), (5, 9)]","[(4, 5), (6, 9)]",0,0,0,1,"[4, 5, 6, 9]",1,0
10,33,1 2 3 7,0,"[(1, 2), (3, 7)]","[(1, 3), (2, 7)]",0,0,0,1,"[1, 2, 3, 7]",0,1
11,25,0 1 4 8,2,"[(0, 1), (4, 8)]","[(0, 8), (1, 4)]",6,0,2,1,"[0, 1, 4, 8]",0,2
11,39,3 6 10 11,6,"[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,1,"[3, 6, 10, 11]",1,2
11,50,3 5 9 10,0,"[(3, 10), (5, 9)]","[(3, 9), (5, 10)]",6,6,0,1,"[3, 5, 9, 10]",2,1
12,15,1 2 7 10,2,"[(1, 2), (7, 10)]","[(1, 10), (2, 7)]",6,0,2,1,"[1, 2, 7, 10]",0,2
12,27,4 5 6 9,0,"[(4, 6), (5, 9)]","[(4, 5), (6, 9)]",0,0,0,1,"[4, 5, 6, 9]",1,0
13,15,4 5 6 9,0,"[(4, 5), (6, 9)]","[(4, 6), (5, 9)]",0,0,0,1,"[4, 5, 6, 9]",0,1
13,23,1 4 5 10,0,"[(1, 10), (4, 5)]","[(1, 4), (5, 10)]",0,0,0,1,"[1, 4, 5, 10]",2,0
13,27,1 2 7 10,6,"[(1, 10), (2, 7)]","[(1, 2), (7, 10)]",0,6,6,1,"[1, 2, 7, 10]",2,0
13,35,1 3 10 11,2,"[(1, 10), (3, 11)]","[(1, 3), (10, 11)]",6,0,2,1,"[1, 3, 10, 11]",1,0
13,38,3 6 9 11,2,"[(3, 11), (6, 9)]","[(3, 9), (6, 11)]",6,0,2,1,"[3, 6, 9, 11]",2,1
13,52,1 6 9 10,0,"[(1, 10), (6, 9)]","[(1, 9), (6, 10)]",0,0,0,1,"[1, 6, 9, 10]",2,1
14,28,0 1 4 8,2,"[(0, 1), (4, 8)]","[(0, 8), (1, 4)]",6,0,2,1,"[0, 1, 4, 8]",0,2
14,37,4 6 7 8,6,"[(4, 8), (6, 7)]","[(4, 6), (7, 8)]",0,6,6,1,"[4, 6, 7, 8]",2,0
15,29,1 5 9 10,0,"[(1, 10), (5, 9)]","[(1, 9), (5, 10)]",0,0,0,1,"[1, 5, 9, 10]",2,1
15,33,1 3 10 11,2,"[(1, 10), (3, 11)]","[(1, 3), (10, 11)]",6,0,2,1,"[1, 3, 10, 11]",1,0
15,53,1 4 6 10,0,"[(1, 10), (4, 6)]","[(1, 4), (6, 10)]",0,0,0,1,"[1, 4, 6, 10]",2,0
16,34,0 3 8 9,0,"[(0, 9), (3, 8)]","[(0, 8), (3, 9)]",6,6,0,1,"[0, 3, 8, 9]",2,1
