m,node,top_eigval,top_eigvec,sigma_Z2,sum_phases_mod8,dist_from_base,degree_flip_graph
0,0,4.802493312043023,0.16592402238954304,-1,2,1,5
0,1,4.802493312043023,0.13996386974286074,-1,6,4,5
0,2,4.802493312043023,0.08067053140322805,1,0,4,4
0,3,4.802493312043023,0.03817891432842879,-1,6,5,3
0,4,4.802493312043023,0.08768973637394861,-1,6,4,4
0,5,4.802493312043023,0.10321707279026285,-1,6,4,4
0,6,4.802493312043023,0.24657870149775427,-1,2,2,6
0,7,4.802493312043023,0.0446406638458097,-1,6,5,3
0,8,4.802493312043023,0.07206289267681232,1,4,4,3
0,9,4.802493312043023,0.10321707279026293,1,0,4,4
0,10,4.802493312043023,0.06094694459832308,1,0,1,3
0,11,4.802493312043023,0.08067053140322807,-1,6,5,4
0,12,4.802493312043023,0.07206289267681273,1,4,2,3
0,13,4.802493312043023,0.2193996274282287,-1,6,2,6
0,14,4.802493312043023,0.0200809896009605,1,0,4,3
0,15,4.802493312043023,0.1281238627648673,-1,6,3,5
0,16,4.802493312043023,0.15701075276367554,1,0,5,5
0,17,4.802493312043023,0.06094694459832258,-1,6,5,3
0,18,4.802493312043023,0.08260245971915416,-1,6,2,4
0,19,4.802493312043023,0.16016996585134155,1,0,3,5
0,20,4.802493312043023,0.21939962742822888,-1,6,2,6
0,21,4.802493312043023,0.038178914328428716,-1,6,3,3
0,22,4.802493312043023,0.08260245971915403,1,0,4,4
0,23,4.802493312043023,0.15701075276367557,-1,6,3,5
0,24,4.802493312043023,0.2465787014977543,1,0,3,6
0,25,4.802493312043023,0.16016996585134105,1,0,4,5
0,26,4.802493312043023,0.1399638697428613,1,0,0,5
0,27,4.802493312043023,0.15701075276367624,1,4,1,5
0,28,4.802493312043023,0.03817891432842883,-1,2,3,3
0,29,4.802493312043023,0.1032170727902629,-1,6,4,4
0,30,4.802493312043023,0.12812386276486717,1,0,5,5
0,31,4.802493312043023,0.044640663845809746,1,0,3,3
0,32,4.802493312043023,0.16016996585134122,1,0,3,5
0,33,4.802493312043023,0.08067053140322851,1,0,2,4
0,34,4.802493312043023,0.21939962742822836,1,0,4,6
0,35,4.802493312043023,0.1601699658513417,1,0,1,5
0,36,4.802493312043023,0.023479680400450155,1,4,5,3
0,37,4.802493312043023,0.020080989600960487,-1,6,4,3
0,38,4.802493312043023,0.28542588685569487,1,0,3,6
0,39,4.802493312043023,0.06094694459832256,1,4,5,3
0,40,4.802493312043023,0.15701075276367593,-1,6,3,5
0,41,4.802493312043023,0.13996386974286096,1,0,4,5
0,42,4.802493312043023,0.08067053140322858,-1,2,2,4
0,43,4.802493312043023,0.023479680400450256,-1,6,4,3
0,44,4.802493312043023,0.12812386276486784,1,0,1,5
0,45,4.802493312043023,0.10321707279026324,1,0,2,4
0,46,4.802493312043023,0.044640663845809614,1,4,5,3
0,47,4.802493312043023,0.16592402238954254,1,0,4,5
0,48,4.802493312043023,0.08768973637394885,1,0,2,4
0,49,4.802493312043023,0.07206289267681273,1,0,2,3
0,50,4.802493312043023,0.12812386276486692,-1,6,5,5
0,51,4.802493312043023,0.03817891432842892,-1,6,3,3
0,52,4.802493312043023,0.16592402238954254,-1,6,3,5
0,53,4.802493312043023,0.13996386974286068,-1,6,4,5
0,54,4.802493312043023,0.1659240223895427,1,0,3,5
0,55,4.802493312043023,0.07206289267681236,1,0,6,3
0,56,4.802493312043023,0.21939962742822847,1,0,4,6
0,57,4.802493312043023,0.04464066384580996,-1,6,3,3
0,58,4.802493312043023,0.06094694459832285,-1,2,3,3
1,0,4.770531255977426,-0.14864938053376234,-1,2,1,5
1,1,4.770531255977426,0.11376589807304333,-1,6,4,5
1,2,4.770531255977426,-0.01140416398632299,1,0,4,4
1,3,4.770531255977426,0.03202452653301674,-1,6,5,3
1,4,4.770531255977426,0.07348549906761515,-1,6,4,4
1,5,4.770531255977426,0.0865116556893005,-1,6,4,4
1,6,4.770531255977426,-0.2305393831347063,-1,2,2,6
1,7,4.770531255977426,0.03744331897036691,-1,6,5,3
1,8,4.770531255977426,0.06899937898100526,1,4,4,3
1,9,4.770531255977426,-0.016479301166227957,1,0,4,4
1,10,4.770531255977426,-0.02622107184775269,1,0,1,3
1,11,4.770531255977426,0.06751870043033503,-1,6,5,4
1,12,4.770531255977426,0.05308230088078914,1,4,2,3
1,13,4.770531255977426,0.17928442967231314,-1,6,2,6
1,14,4.770531255977426,-0.0025472560147514612,1,0,4,3
1,15,4.770531255977426,0.10529327375699157,-1,6,3,5
1,16,4.770531255977426,-0.021043325117902897,1,0,5,5
1,17,4.770531255977426,0.05032940763895661,-1,6,5,3
1,18,4.770531255977426,0.0635940394218638,-1,6,2,4
1,19,4.770531255977426,-0.01217469225432465,1,0,3,5
1,20,4.770531255977426,0.18077474496164886,-1,6,2,6
1,21,4.770531255977426,0.030538692990314358,-1,6,3,3
1,22,4.770531255977426,-0.008423512174489342,1,0,4,4
1,23,4.770531255977426,0.13058029161900384,-1,6,3,5
1,24,4.770531255977426,-0.030007848563020592,1,0,3,6
1,25,4.770531255977426,-0.01915653235841108,1,0,4,5
