orbit,matching_id,pairs,triangle_pairs,phases_mod8_per_pair,signature_sorted,sum_phases_mod8,orbit_size_under_A4,D_rank_gf2,gram_rank_gf2,rref_pivot_cols,factorization_ok_P2_equals_MtJM,sigma_Z2,is_special_orbit_size_4
orbit0,18,"[[0, 1], [2, 7], [3, 8], [4, 5], [6, 9], [10, 11]]","[['047', '04b'], ['07b', '23a'], ['158', '26a'], ['159', '189'], ['236', '36a'], ['47b', '589']]","[0, 0, 6, 0, 0, 0]","0,0,0,0,0,6",6,12,4,2,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,19,"[[0, 8], [1, 9], [2, 3], [4, 5], [6, 11], [7, 10]]","[['047', '26a'], ['04b', '36a'], ['07b', '158'], ['159', '189'], ['236', '589'], ['23a', '47b']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,20,"[[0, 8], [1, 2], [3, 9], [4, 5], [6, 11], [7, 10]]","[['047', '26a'], ['04b', '07b'], ['158', '36a'], ['159', '189'], ['236', '589'], ['23a', '47b']]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,21,"[[0, 1], [2, 3], [4, 5], [6, 9], [7, 8], [10, 11]]","[['047', '04b'], ['07b', '158'], ['159', '189'], ['236', '36a'], ['23a', '26a'], ['47b', '589']]","[0, 0, 0, 0, 6, 0]","0,0,0,0,0,6",6,6,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,22,"[[0, 8], [1, 4], [2, 3], [5, 9], [6, 11], [7, 10]]","[['047', '26a'], ['04b', '159'], ['07b', '158'], ['189', '36a'], ['236', '589'], ['23a', '47b']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,23,"[[0, 8], [1, 4], [2, 7], [3, 11], [5, 10], [6, 9]]","[['047', '26a'], ['04b', '159'], ['07b', '23a'], ['158', '589'], ['189', '47b'], ['236', '36a']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,24,"[[0, 8], [1, 9], [2, 7], [3, 10], [4, 5], [6, 11]]","[['047', '26a'], ['04b', '36a'], ['07b', '23a'], ['158', '47b'], ['159', '189'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,3,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,25,"[[0, 8], [1, 4], [2, 7], [3, 10], [5, 9], [6, 11]]","[['047', '26a'], ['04b', '159'], ['07b', '23a'], ['158', '47b'], ['189', '36a'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,6,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,26,"[[0, 8], [1, 2], [3, 7], [4, 5], [6, 9], [10, 11]]","[['047', '26a'], ['04b', '07b'], ['158', '23a'], ['159', '189'], ['236', '36a'], ['47b', '589']]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,4,5,4,"[0, 1, 2, 3, 5, 8]",True,1,True
orbit0,27,"[[0, 8], [1, 2], [3, 11], [4, 5], [6, 9], [7, 10]]","[['047', '26a'], ['04b', '07b'], ['158', '589'], ['159', '189'], ['236', '36a'], ['23a', '47b']]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,28,"[[0, 8], [1, 4], [2, 3], [5, 9], [6, 7], [10, 11]]","[['047', '26a'], ['04b', '159'], ['07b', '158'], ['189', '36a'], ['236', '23a'], ['47b', '589']]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,29,"[[0, 8], [1, 9], [2, 7], [3, 11], [4, 6], [5, 10]]","[['047', '26a'], ['04b', '36a'], ['07b', '23a'], ['158', '589'], ['159', '236'], ['189', '47b']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,30,"[[0, 9], [1, 10], [2, 3], [4, 5], [6, 11], [7, 8]]","[['047', '36a'], ['04b', '47b'], ['07b', '158'], ['159', '189'], ['236', '589'], ['23a', '26a']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,31,"[[0, 9], [1, 2], [3, 7], [4, 8], [5, 10], [6, 11]]","[['047', '36a'], ['04b', '07b'], ['158', '23a'], ['159', '26a'], ['189', '47b'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,32,"[[0, 1], [2, 7], [3, 8], [4, 5], [6, 11], [9, 10]]","[['047', '04b'], ['07b', '23a'], ['158', '26a'], ['159', '189'], ['236', '589'], ['36a', '47b']]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,6,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,33,"[[0, 8], [1, 3], [2, 7], [4, 6], [5, 9], [10, 11]]","[['047', '26a'], ['04b', '158'], ['07b', '23a'], ['159', '236'], ['189', '36a'], ['47b', '589']]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,34,"[[0, 8], [1, 4], [2, 7], [3, 9], [5, 10], [6, 11]]","[['047', '26a'], ['04b', '159'], ['07b', '23a'], ['158', '36a'], ['189', '47b'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,35,"[[0, 8], [1, 3], [2, 7], [4, 5], [6, 9], [10, 11]]","[['047', '26a'], ['04b', '158'], ['07b', '23a'], ['159', '189'], ['236', '36a'], ['47b', '589']]","[0, 0, 0, 0, 0, 0]","0,0,0,0,0,0",0,12,4,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,36,"[[0, 9], [1, 2], [3, 11], [4, 6], [5, 10], [7, 8]]","[['047', '36a'], ['04b', '07b'], ['158', '589'], ['159', '236'], ['189', '47b'], ['23a', '26a']]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,37,"[[0, 1], [2, 3], [4, 6], [5, 9], [7, 8], [10, 11]]","[['047', '04b'], ['07b', '158'], ['159', '236'], ['189', '36a'], ['23a', '26a'], ['47b', '589']]","[0, 0, 0, 0, 6, 0]","0,0,0,0,0,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,38,"[[0, 8], [1, 10], [2, 7], [3, 9], [4, 5], [6, 11]]","[['047', '26a'], ['04b', '47b'], ['07b', '23a'], ['158', '36a'], ['159', '189'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,3,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,39,"[[0, 1], [2, 7], [3, 11], [4, 8], [5, 9], [6, 10]]","[['047', '04b'], ['07b', '23a'], ['158', '589'], ['159', '26a'], ['189', '36a'], ['236', '47b']]","[0, 0, 6, 6, 0, 0]","0,0,0,0,6,6",4,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,40,"[[0, 9], [1, 2], [3, 8], [4, 5], [6, 11], [7, 10]]","[['047', '36a'], ['04b', '07b'], ['158', '26a'], ['159', '189'], ['236', '589'], ['23a', '47b']]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,41,"[[0, 9], [1, 8], [2, 3], [4, 5], [6, 11], [7, 10]]","[['047', '36a'], ['04b', '26a'], ['07b', '158'], ['159', '189'], ['236', '589'], ['23a', '47b']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,42,"[[0, 8], [1, 9], [2, 3], [4, 5], [6, 7], [10, 11]]","[['047', '26a'], ['04b', '36a'], ['07b', '158'], ['159', '189'], ['236', '23a'], ['47b', '589']]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,43,"[[0, 9], [1, 2], [3, 11], [4, 8], [5, 10], [6, 7]]","[['047', '36a'], ['04b', '07b'], ['158', '589'], ['159', '26a'], ['189', '47b'], ['236', '23a']]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,44,"[[0, 8], [1, 2], [3, 9], [4, 5], [6, 7], [10, 11]]","[['047', '26a'], ['04b', '07b'], ['158', '36a'], ['159', '189'], ['236', '23a'], ['47b', '589']]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,45,"[[0, 8], [1, 2], [3, 11], [4, 5], [6, 7], [9, 10]]","[['047', '26a'], ['04b', '07b'], ['158', '589'], ['159', '189'], ['236', '23a'], ['36a', '47b']]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,6,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,46,"[[0, 9], [1, 2], [3, 11], [4, 5], [6, 10], [7, 8]]","[['047', '36a'], ['04b', '07b'], ['158', '589'], ['159', '189'], ['236', '47b'], ['23a', '26a']]","[0, 0, 6, 0, 0, 6]","0,0,0,0,6,6",4,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,47,"[[0, 9], [1, 8], [2, 7], [3, 10], [4, 5], [6, 11]]","[['047', '36a'], ['04b', '26a'], ['07b', '23a'], ['158', '47b'], ['159', '189'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,48,"[[0, 8], [1, 2], [3, 7], [4, 9], [5, 10], [6, 11]]","[['047', '26a'], ['04b', '07b'], ['158', '23a'], ['159', '36a'], ['189', '47b'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,3,2,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,49,"[[0, 9], [1, 2], [3, 8], [4, 5], [6, 7], [10, 11]]","[['047', '36a'], ['04b', '07b'], ['158', '26a'], ['159', '189'], ['236', '23a'], ['47b', '589']]","[0, 0, 6, 0, 2, 0]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,50,"[[0, 1], [2, 7], [3, 9], [4, 8], [5, 10], [6, 11]]","[['047', '04b'], ['07b', '23a'], ['158', '36a'], ['159', '26a'], ['189', '47b'], ['236', '589']]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,51,"[[0, 1], [2, 7], [3, 8], [4, 6], [5, 9], [10, 11]]","[['047', '04b'], ['07b', '23a'], ['158', '26a'], ['159', '236'], ['189', '36a'], ['47b', '589']]","[0, 0, 6, 0, 0, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,52,"[[0, 8], [1, 9], [2, 7], [3, 11], [4, 5], [6, 10]]","[['047', '26a'], ['04b', '36a'], ['07b', '23a'], ['158', '589'], ['159', '189'], ['236', '47b']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,6,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,53,"[[0, 8], [1, 4], [2, 7], [3, 11], [5, 9], [6, 10]]","[['047', '26a'], ['04b', '159'], ['07b', '23a'], ['158', '589'], ['189', '36a'], ['236', '47b']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,54,"[[0, 8], [1, 3], [2, 7], [4, 9], [5, 10], [6, 11]]","[['047', '26a'], ['04b', '158'], ['07b', '23a'], ['159', '36a'], ['189', '47b'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,55,"[[0, 9], [1, 4], [2, 3], [5, 10], [6, 11], [7, 8]]","[['047', '36a'], ['04b', '159'], ['07b', '158'], ['189', '47b'], ['236', '589'], ['23a', '26a']]","[0, 0, 0, 0, 2, 6]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,56,"[[0, 9], [1, 10], [2, 7], [3, 8], [4, 5], [6, 11]]","[['047', '36a'], ['04b', '47b'], ['07b', '23a'], ['158', '26a'], ['159', '189'], ['236', '589']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,4,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit0,57,"[[0, 8], [1, 2], [3, 11], [4, 9], [5, 10], [6, 7]]","[['047', '26a'], ['04b', '07b'], ['158', '589'], ['159', '36a'], ['189', '47b'], ['236', '23a']]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit0,58,"[[0, 9], [1, 8], [2, 3], [4, 5], [6, 7], [10, 11]]","[['047', '36a'], ['04b', '26a'], ['07b', '158'], ['159', '189'], ['236', '23a'], ['47b', '589']]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
