chord,cycle_len,holonomy,order,center_class,num_delta4,num_sigma_minus,edges,delta4_edges_used
40-41,12,(0 2 1),6,e*,1,6,"40-5,5-30,30-2,2-32,32-1,1-54,54-6,6-0,0-20,20-19,19-41,41-40",0-20
40-56,8,e,1,e,0,4,"40-5,5-30,30-2,2-32,32-1,1-16,16-56,56-40",
41-47,14,(0 1 2),6,e*,1,8,"41-19,19-20,20-0,0-6,6-54,54-1,1-32,32-2,2-30,30-5,5-46,46-4,4-47,47-41",0-20
42-58,4,e,1,e,0,2,"42-19,19-41,41-58,58-42",
42-44,4,e,1,e,0,4,"42-19,19-20,20-44,44-42",
44-45,4,(0 1 2),6,e*,1,2,"44-20,20-0,0-45,45-44",0-20
44-49,12,(0 1 2),6,e*,1,6,"44-20,20-0,0-6,6-54,54-1,1-32,32-2,2-30,30-5,5-40,40-49,49-44",0-20
45-57,10,e,1,e,0,6,"45-0,0-6,6-54,54-1,1-16,16-9,9-31,31-43,43-57,57-45",
47-56,10,e,1,e,0,6,"47-4,4-46,46-5,5-30,30-2,2-32,32-1,1-16,16-56,56-47",
48-54,4,e,1,e,0,2,"48-0,0-6,6-54,54-48",
48-57,10,e,1,e,0,6,"48-0,0-6,6-54,54-1,1-16,16-9,9-31,31-43,43-57,57-48",
49-58,14,(0 2 1),6,e*,1,8,"49-40,40-5,5-30,30-2,2-32,32-1,1-54,54-6,6-0,0-20,20-19,19-41,41-58,58-49",0-20
52-53,16,(0 2 1),6,e*,1,8,"52-4,4-46,46-5,5-30,30-2,2-32,32-1,1-54,54-6,6-0,0-26,26-10,10-12,12-15,15-53,53-52",10-12
