k,orbit_id,cluster
2,1,0
2,2,0
2,4,0
2,8,0
2,10,0
2,12,0
2,3,1
2,5,1
2,6,1
2,7,1
2,9,1
2,11,1
3,1,0
3,8,0
3,12,0
3,2,1
3,3,1
3,6,1
3,9,1
3,4,2
3,5,2
3,7,2
3,10,2
3,11,2
4,1,0
4,8,0
4,12,0
4,2,1
4,3,1
4,6,1
4,9,1
4,4,2
4,5,2
4,10,2
4,7,3
4,11,3
5,1,0
5,2,0
5,12,0
5,3,1
5,6,1
5,7,1
5,9,1
5,4,2
5,5,2
5,10,2
5,8,3
5,11,4
