potential,m,branch,mu,eig_rank,eigval,ipr,mass_defect7,mass_O6,mass_O12,overlap_score,O6_bias_frac
V_O12_4,3,1,-2.0,2,3.659771200073434,0.0489798386398757,0.015412861900815845,0.00849099751972642,0.009115543056017007,1.0,0.482263820238612
V_O12_4,3,1,-1.975,2,3.660000356052557,0.04896308421493359,0.015522406419851038,0.008514275396570226,0.009217222273629287,0.9999993488210956,0.4801780173594466
V_O12_4,3,1,-1.95,2,3.6602320757068463,0.04894607794126641,0.015633637021448578,0.008537571688086965,0.009320643902030445,0.9999993321664691,0.478075295066631
V_O12_4,3,1,-1.925,2,3.66046640311454,0.04892881493770605,0.01574658870619043,0.008560875707260331,0.009425849601502589,0.999999314914184,0.47595521473903973
V_O12_4,3,1,-1.9,2,3.6607033834122933,0.04891129020618043,0.0158612974139258,0.00858417598262133,0.009532882393840258,0.9999992970345987,0.47381731646349495
V_O12_4,3,1,-1.875,2,3.6609430628299706,0.04889349862814565,0.015977800057834765,0.008607460203875239,0.009641786724289053,0.9999992784961013,0.4716611177045107
V_O12_4,3,1,-1.85,2,3.6611854887270154,0.04887543496085727,0.016096134560372066,0.008630715163397067,0.009752608527437766,0.9999992592649426,0.4694861118738011
V_O12_4,3,1,-1.825,2,3.6614307096306127,0.04885709383347104,0.016216339891251173,0.008653926693242903,0.00986539529739958,0.9999992393050531,0.46729176679083084
V_O12_4,3,1,-1.8,2,3.661678775275536,0.048838469742956074,0.01633845610765594,0.008677079597281935,0.009980196162666698,0.9999992185778361,0.4650775230242267
V_O12_4,3,1,-1.775,2,3.6619297366460617,0.04881955704980877,0.016462524396879702,0.008700157578029355,0.01009706196604569,0.999999197041947,0.46284279210373086
V_O12_4,3,1,-1.75,2,3.6621836460198227,0.04880034997354892,0.016588587121628817,0.008723143157705273,0.010216045350146695,0.99999917465304,0.46058695459038135
V_O12_4,3,1,-1.725,2,3.6624405570139738,0.048780842587980155,0.016716687868244037,0.008746017593005674,0.010337200848935031,0.999999151363493,0.4583093579920223
V_O12_4,3,1,-1.7,2,3.6627005246336717,0.04876102881619356,0.01684687149814046,0.008768760783017976,0.010460584985926653,0.9999991271220989,0.45600931450946736
V_O12_4,3,1,-1.675,2,3.662963605323127,0.04874090242529122,0.016979184202792087,0.00879135116965045,0.01058625637966674,0.9999991018737239,0.453686098597169
V_O12_4,3,1,-1.65,2,3.663229857019373,0.04872045702080274,0.017113673562644333,0.008813765629887635,0.010714275857215403,0.999999075558923,0.4513389443205145
V_O12_4,3,1,-1.625,2,3.6634993392089865,0.04869968604076504,0.017250388610380096,0.008835979359103317,0.010844706576446296,0.9999990481135155,0.44896704248980196
V_O12_4,3,1,-1.6,2,3.6637721129879943,0.04867858274943207,0.017389379899030045,0.008857965744588447,0.010977614158066556,0.9999990194681053,0.4465695375488484
V_O12_4,3,1,-1.575,2,3.6640482411251973,0.048657140230575,0.017530699575486444,0.00887969622835688,0.011113066828380518,0.9999989895475441,0.44414552419358316
