m,eig_rank,eig_idx,eigval,ipr,defect_mass_frac,O6_node_mass,O12_node_mass,defect_energy_frac,corr_sigma,corr_sumph,corr_degree,corr_dist,tags
0,1,58,4.802493312043023,0.03503038453368795,0.13947059371059545,0.05314985187363378,0.11097311832037794,0.015702809819930896,0.1314516439450478,-0.2503930357476431,0.955434437584953,-0.2691547754015409,O12_bias
0,2,57,3.695275930339779,0.04780263020115391,0.31134793983740744,0.16168095521476247,0.21353121140600476,0.0052355255565332045,0.003465545302925182,0.0567208173484108,,0.7209019274018474,defect_localized|O12_bias
0,3,56,3.695275930339778,0.047802630201153974,0.0485304104431732,0.0407332754460097,0.01860942283842313,0.016608819916520738,0.18911765629935662,0.3314146863581936,,0.20986668377475015,
0,4,55,3.4191281165160383,0.03354414608827926,0.15105368799057994,0.0601148128848631,0.10452387891281838,0.03841773059565532,0.13784456069259196,0.22326053523973066,,0.41561842808268434,O12_bias
0,5,54,3.152908847134642,0.03359897958505345,0.056525557642245136,0.017583717845281337,0.03894545249512378,0.013648309274008105,0.0635982230491057,0.166219776384258,,0.056560726356481045,
0,6,53,2.87273323417556,0.03842478109318136,0.031886054729316514,0.007230158628206376,0.027935190894806,0.02084452411163642,0.05629392464157586,-0.07227526862661597,-0.13706731396867303,-0.047212357316669874,
0,7,52,2.66718258707313,0.06349816140619181,0.08557441223006776,0.0671620490069253,0.03201011308663723,0.0010101648979598582,0.06969113839296837,0.2510045462986788,-0.5628122707777233,0.205649832486463,high_ipr
0,8,51,2.5581002747703923,0.043081746833877124,0.052573624743997266,0.027566513471859684,0.041788032332544946,0.0742766486481045,0.15165619056719754,0.12817492253051735,-0.5045276421187582,0.14369000508070578,
0,9,50,2.019223849278753,0.042687255605154344,0.11369612293593949,0.10377475087722376,0.010146250185980223,0.021591432672568047,0.24895307861993105,0.09654562566239268,,0.024800550789548487,
0,10,49,2.019223849278752,0.04268725560515434,0.15405968248788274,0.04470964135755425,0.13283262360972808,0.01414272042329415,0.025038948886750893,0.2143089316852789,,0.17457523287129398,O12_bias
0,11,48,1.9438696934398303,0.04463063897167375,0.15888597651975628,0.157370488637132,0.03799202062429963,0.02550778031494612,0.2332008342427606,0.2175548991028134,,0.1323616935056732,O6_bias
0,12,47,1.8608275219585846,0.058293511959954136,0.049974415294183415,0.04508284245865607,0.008962738187064225,0.017031324455543652,0.05764385674760496,0.13988853844643034,,0.04338162269453076,
0,13,46,1.7389095401714956,0.04685816940353312,0.11476704617308528,0.07057641962901769,0.06553595342819864,0.06890560414063655,0.11032212321050976,0.19096546835343747,-0.00833141174672515,0.09963012612424493,
0,14,45,1.3847805501239605,0.08420133049415413,0.07009941683808825,0.003975790015408109,0.06621303289569272,0.04289085885607913,0.11908224240351849,0.015141068579824803,-0.03983599131593957,0.10129349444811649,high_ipr
0,15,44,1.3536715699320077,0.04576043296545885,0.060721352262788714,0.02292621844246512,0.04926656324214594,0.024264858137367767,0.0800099503447389,0.04646891879641822,,0.016242339420760917,
0,16,43,1.244405131226988,0.05674841646425618,0.04568953458183299,0.03369607446923511,0.039818419081926515,0.02635848569867141,0.032802715784344405,0.05467733137467086,,0.02431433642021745,
0,17,42,1.2444051312269875,0.05674841646425633,0.2556822571407629,0.19128717972604062,0.09406597744254805,0.12128770808752998,0.15510008002037615,0.3153411001146599,,0.00819627200599367,defect_localized|O6_bias
0,18,41,1.1341803563160755,0.031394004382855105,0.1568038866080747,0.03192756741043599,0.1486376261753394,0.005102305934761887,0.052658990081638817,0.050154111118203136,,0.05659741823402652,O12_bias
0,19,40,1.0,0.04166666666666666,0.1666666666666786,0.08333333333333882,0.08333333333333975,0.02631578947368263,0.1600238697472661,0.17497364060837722,,0.12241225943400467,O12_bias
0,20,39,0.9999999999999999,0.041666666666666664,0.1666666666666537,0.08333333333332696,0.1249999999999929,0.039473684210527625,0.05334128991574348,0.019441515623141847,,0.14281430267298728,O12_bias
0,21,38,0.9023637340522893,0.05582770077938254,0.07865658786850678,0.06628898123630052,0.022733488359930387,0.0025704182406041907,0.03347652620551742,-0.03225509401633579,-0.26401813564125853,0.12208591129961019,
0,22,37,0.8480133928962043,0.05034522822381778,0.1712197499642041,0.13532460246554406,0.03621608087534067,0.053018074341850456,0.1936962383349128,0.27487509198722676,,0.06882735870654494,O6_bias
