mode_k,singular_value,energy_share,cumulative_energy_share
1,162.74603078380528,0.7642465026929828,0.7642465026929828
2,65.95147081868195,0.12550517110940673,0.8897516738023895
3,56.451149434674534,0.09195137499537265,0.9817030487977622
4,19.327766866598978,0.010778938802996794,0.9924819876007589
5,11.689515894929654,0.003942808652679062,0.9964247962534379
6,7.448560853450989,0.0016008748791814145,0.9980256711326193
7,5.375544223807144,0.000833791622930391,0.9988594627555497
8,3.966231714341011,0.0004539090220780087,0.9993133717776277
9,2.6949535835238057,0.00020956329984188983,0.9995229350774696
10,2.319783213396066,0.0001552771145581133,0.9996782121920277
11,2.0989437860534506,0.00012712011123184686,0.9998053323032595
12,1.4613660768740204,6.162127680461148e-05,0.9998669535800642
13,1.3233490342273981,5.0531414900694816e-05,0.9999174849949649
14,1.0525754703720605,3.1968270324320765e-05,0.9999494532652893
15,0.7731282091644321,1.724708440156094e-05,0.9999667003496908
16,0.6750336565475102,1.3148115275296492e-05,0.9999798484649661
17,0.45213033925788065,5.898477812981752e-06,0.9999857469427791
18,0.4160964561866725,4.995749841999646e-06,0.9999907426926211
19,0.3469252389409945,3.4728373324749787e-06,0.9999942155299536
20,0.25559785575449023,1.8850681756867902e-06,0.9999961005981293
21,0.21695046027663625,1.3581064162656314e-06,0.9999974587045455
22,0.17787203178805883,9.129100353241773e-07,0.9999983716145808
23,0.13474021859976024,5.238502367416154e-07,0.9999988954648176
24,0.1209705814141042,4.222524569384183e-07,0.9999993177172745
25,0.08751767011247276,2.2100604059095514e-07,0.999999538723315
26,0.07663062973114254,1.6944058347986644e-07,0.9999997081638985
27,0.06283418591821006,1.139212219661266e-07,0.9999998220851205
28,0.045248021522635636,5.907610286330135e-08,0.9999998811612234
29,0.040797616607484426,4.802664333244816e-08,0.9999999291878667
30,0.03493349230009282,3.52124836002572e-08,0.9999999644003503
31,0.022899231537321665,1.5130541322476095e-08,0.9999999795308917
32,0.02057340817887544,1.2213078106371309e-08,0.9999999917439698
33,0.01409922653524999,5.735921859281267e-09,0.9999999974798917
34,0.007009437199615491,1.417682398911559e-09,0.9999999988975741
35,0.0058532659334076444,9.885739481290221e-10,0.9999999998861481
36,0.0019863861451751724,1.1385182697282549e-10,0.9999999999999999
37,1.3841682444812816e-14,5.528284848035662e-33,0.9999999999999999
38,1.3841682444812816e-14,5.528284848035662e-33,0.9999999999999999
39,1.3841682444812816e-14,5.528284848035662e-33,0.9999999999999999
40,1.3841682444812816e-14,5.528284848035662e-33,0.9999999999999999
