b0,b1,b2,b3,bitstring
0,0,0,1,0001
0,0,1,0,0010
0,0,1,1,0011
0,1,0,0,0100
0,1,0,1,0101
0,1,1,0,0110
0,1,1,1,0111
1,0,0,0,1000
1,0,1,0,1010
1,1,0,1,1101
