line_id,line_points,intersection_size,intersection_points
0,0001 0010 0011,2,0001 0011
1,0001 1000 1001,2,0001 1000
3,0010 0100 0110,2,0100 0110
7,0100 1000 1100,2,0100 1000
2,0001 1010 1011,1,0001
5,0011 1100 1111,1,0011
6,0011 1101 1110,1,0011
8,0100 1010 1110,1,0100
9,0101 1000 1101,1,1000
11,0110 1001 1111,1,0110
12,0110 1011 1101,1,0110
4,0010 0101 0111,0,
10,0101 1010 1111,0,
13,0111 1001 1110,0,
14,0111 1011 1100,0,
