line_id,p1,p2,p3
0,0001,0010,0011
1,0001,1000,1001
2,0001,1010,1011
3,0010,0100,0110
4,0010,0101,0111
5,0011,1100,1111
6,0011,1101,1110
7,0100,1000,1100
8,0100,1010,1110
9,0101,1000,1101
10,0101,1010,1111
11,0110,1001,1111
12,0110,1011,1101
13,0111,1001,1110
14,0111,1011,1100
