line_id,line_points,intersection_size,intersection_points
5,0011 1100 1111,2,1100 1111
11,0110 1001 1111,2,1001 1111
13,0111 1001 1110,2,1001 1110
14,0111 1011 1100,2,1011 1100
1,0001 1000 1001,1,1001
2,0001 1010 1011,1,1011
6,0011 1101 1110,1,1110
7,0100 1000 1100,1,1100
8,0100 1010 1110,1,1110
10,0101 1010 1111,1,1111
12,0110 1011 1101,1,1011
0,0001 0010 0011,0,
3,0010 0100 0110,0,
4,0010 0101 0111,0,
9,0101 1000 1101,0,
