line_id,cards,mean_abs_delta,mean_delta,max_abs_delta,max_delta,min_delta,std_delta
8,3♡ 4♠ 8♣ 10♣,8.49327497788095,-8.49327497788095,17.44563418041924,-1.6694189824579038,-17.44563418041924,3.7010075114233385
3,3♢ 4♣ 8♠ 10♡,7.517186487724674,-7.517186487724674,12.543618393260342,-3.3001856611105342,-12.543618393260342,2.719409783041834
14,2♢ 4♣ 5♣ 6♠,7.486776248626127,7.4867762486261284,9.03877699777529,9.03877699777529,4.0210146515303435,1.0861342239454128
36,1♣ 3♣ 6♡ 10♢,7.097558018762999,7.097558018762999,10.421491643834994,10.421491643834994,0.13119674995091124,2.7782615997090234
7,6♠ 6♡ 6♢ 6♣,6.823915242613725,6.821564636883753,9.117780567298375,9.117780567298375,-0.05994044611427718,2.0819674821767564
1,1♡ 3♠ 6♠ 10♠,6.423742771015123,6.423742771015122,8.178168263582045,8.178168263582045,3.7182697583059543,1.2388222265404631
11,2♡ 4♠ 5♡ 6♡,5.680064573809641,-3.571114628316917,20.689721411308376,3.483915655772698,-20.689721411308376,7.3237525746917145
12,6♠ 7♡ 8♣ 9♢,5.674183043183397,5.674183043183397,7.817063826458088,7.817063826458088,0.2564751444942086,1.9110560998279464
21,1♢ 2♢ 7♢ 10♣,5.066053204772975,-4.839152131104147,12.342236248775485,2.0242197617772453,-12.342236248775485,3.6633654419439283
38,2♠ 4♡ 9♢ 10♢,4.268223125365549,4.26530002094214,6.188461052142927,6.188461052142927,-0.07453916279694894,1.470194932181266
25,1♢ 3♢ 5♡ 9♢,4.12338081202633,-4.12338081202633,8.27099562352895,-0.7139120344994581,-8.27099562352895,1.7738385757152588
37,5♠ 6♢ 9♡ 10♣,3.0620085618114348,3.0620085618114343,4.659470013834847,4.659470013834847,1.1992143188319906,0.908693940359523
13,3♠ 4♡ 5♢ 7♢,2.7848646882615986,2.784864688261598,5.0321381332436275,5.0321381332436275,0.03442632798287626,1.4625380632605178
10,9♠ 9♡ 9♢ 9♣,2.563359984129138,2.563359984129138,3.2956166599680055,3.2956166599680055,1.4260035914689189,0.4534592418663301
33,5♢ 6♣ 9♠ 10♡,2.5586625739028515,2.5586625739028515,3.2956166599680055,3.2956166599680055,1.7908101125889804,0.4545372420295513
19,10♠ 10♡ 10♢ 10♣,2.520753547194836,1.0673486930604412,7.595189980080858,7.595189980080858,-4.792988248945827,3.0727053597356075
29,2♢ 3♣ 8♢ 9♠,2.4221333020587292,2.422133302058729,3.2956166599680055,3.2956166599680055,1.4487555883413092,0.593845319002468
27,1♡ 4♠ 7♠ 9♠,2.4057363364621795,2.4057363364621795,3.2956166599680055,3.2956166599680055,1.6271329623375976,0.5496584743535156
6,3♠ 3♡ 3♢ 3♣,2.3787746720767156,-0.3723489244630677,7.3139715820835,3.831197792251684,-7.3139715820835,2.974370281158004
9,6♡ 7♢ 8♠ 9♣,2.200116281970003,-1.5206187273074425,10.65348557551494,1.4645572121250972,-10.65348557551494,3.1034753555390475
32,1♢ 4♢ 6♣ 8♡,2.085963866491658,1.9817546275764508,3.1602523912254474,3.1602523912254474,-0.7730269752521881,1.2225042170545226
22,5♣ 7♠ 8♡ 10♢,2.077017085231858,1.902328830196189,3.192770347097781,3.192770347097781,-1.0852704515430052,1.3374666119990621
0,2♡ 3♠ 8♡ 9♡,2.054327395283058,1.8697547809512147,3.14108839735022,3.14108839735022,-1.1538326916120756,1.3355507003471505
34,1♣ 4♣ 7♣ 9♡,2.0537833737974394,1.4938353607340666,4.105105362679174,4.105105362679174,-2.1526352802408297,1.893886688661824
2,7♠ 7♡ 7♢ 7♣,2.0537833737974394,1.4938353607340666,4.105105362679174,4.105105362679174,-2.1526352802408297,1.893886688661824
5,5♡ 7♣ 8♢ 10♠,2.0365834135372944,1.4766354004739217,3.9776988430771665,3.9776988430771665,-2.1526352802408297,1.8729916178285024
15,8♠ 8♡ 8♢ 8♣,1.9558597163507505,1.8516504774355436,3.0174760901104403,3.0174760901104403,-0.7730269752521881,1.1339824403451777
39,2♠ 3♡ 6♣ 7♣,1.918476227290736,1.3585282142273636,3.652617797730029,3.652617797730029,-2.1526352802408297,1.7475404411362148
26,2♠ 2♡ 2♢ 2♣,1.4657282192566357,-1.4657282192566359,2.933571545278517,-0.18222643943457317,-2.933571545278517,0.7518429539188467
24,2♣ 4♢ 9♣ 10♠,1.4657282192566357,-1.4657282192566359,2.933571545278517,-0.18222643943457317,-2.933571545278517,0.7518429539188467
35,1♣ 2♣ 5♢ 8♣,1.4657282192566357,-1.4657282192566359,2.933571545278517,-0.18222643943457317,-2.933571545278517,0.7518429539188467
4,2♣ 3♢ 6♢ 7♠,1.4657282192566357,-1.4657282192566359,2.933571545278517,-0.18222643943457317,-2.933571545278517,0.7518429539188467
23,4♠ 4♡ 4♢ 4♣,1.3994247654332626,-0.2623472406574003,5.794677293515946,1.8385922240423067,-5.794677293515946,1.8489861652335202
16,3♣ 4♢ 5♠ 7♡,1.3330604925663916,1.3330604925663916,2.293905996781756,2.293905996781756,0.47343927787329143,0.6271838737637337
30,5♠ 5♡ 5♢ 5♣,1.3286738206009348,1.3286738206009352,2.6520394370919647,2.6520394370919647,0.3960012264849242,0.7400384301291141
18,1♡ 2♠ 5♠ 8♠,1.2219684031417337,1.2219684031417337,2.1920691090359172,2.1920691090359172,0.22736815743221062,0.7255074486109668
20,1♠ 4♡ 6♢ 8♢,0.9117976247813288,0.9117976247813289,1.5734689449288073,1.5734689449288073,0.5803925738669586,0.2522090582761958
28,1♠ 2♡ 7♡ 10♡,0.8616403920921244,0.8616403920921245,1.5734689449288073,1.5734689449288073,0.4810014327169281,0.27430334184478455
17,1♠ 1♡ 1♢ 1♣,0.8477939069489654,0.8477939069489654,1.5734689449288073,1.5734689449288073,0.44403579348832256,0.28772265194972957
31,1♠ 3♡ 5♣ 9♣,0.7943677678045048,0.7943677678045049,1.5734689449288073,1.5734689449288073,0.2710153310284764,0.33367576772185725
