lambda,mu,line_id,cards,stability_flux,stability_noflux,delta_stability,meanmax_flux,stdmax_flux,meanmax_noflux,stdmax_noflux
0.4,0.75,0,2♡ 3♠ 8♡ 9♡,7.8579411526733125,8.862141852456176,-1.0042006997828636,0.07516682904064587,0.009565715443806005,0.06369200876944871,0.007186976899020887
0.4,0.75,1,1♡ 3♠ 6♠ 10♠,13.775910967738941,9.215379092242367,4.560531875496574,0.06669523965801032,0.004841439510911495,0.058452362821747456,0.006342914625286925
0.4,0.75,2,7♠ 7♡ 7♢ 7♣,7.3463092601750954,9.498944540415925,-2.1526352802408297,0.07869953070372547,0.010712798483772205,0.06830003783635635,0.007190276513959491
0.4,0.75,3,3♢ 4♣ 8♠ 10♡,11.908022674344757,19.591497166042704,-7.683474491697947,0.06096022206691097,0.005119256465495883,0.05404862572523268,0.002758779753642993
0.4,0.75,4,2♣ 3♢ 6♢ 7♠,5.257456879163953,8.19102842444247,-2.933571545278517,0.08879203312505762,0.01688878010145039,0.07852357536157384,0.009586534351077975
0.4,0.75,5,5♡ 7♣ 8♢ 10♠,7.3463092601750954,9.498944540415925,-2.1526352802408297,0.07869953070372547,0.010712798483772205,0.06830003783635635,0.007190276513959491
0.4,0.75,6,3♠ 3♡ 3♢ 3♣,10.297465090138074,8.889098188984011,1.4083669011540625,0.06146480590323205,0.005968925882749256,0.05617339716486563,0.006319358383787414
0.4,0.75,7,6♠ 6♡ 6♢ 6♣,13.934614660705263,8.677113967494014,5.257500693211249,0.0653640412288598,0.004690767762181633,0.05677438786305037,0.006543003592638884
0.4,0.75,8,3♡ 4♠ 8♣ 10♣,5.979007128904619,23.42464130932386,-17.44563418041924,0.06839886297837967,0.011439836331305839,0.05590716162867864,0.002386681652471048
0.4,0.75,9,6♡ 7♢ 8♠ 9♣,13.743598192266909,12.804957578721917,0.9386406135449921,0.06202564437577396,0.0045130571709142255,0.05351388993819002,0.004179154019777028
0.4,0.75,10,9♠ 9♡ 9♢ 9♣,9.959911866814268,7.389635813413739,2.570276053400529,0.0728221077703698,0.007311521301007491,0.06586808349756967,0.008913576414416159
0.4,0.75,11,2♡ 4♠ 5♡ 6♡,13.177540877925134,12.019004396659442,1.158536481265692,0.06172876467517277,0.004684391818399144,0.05287146549416774,0.00439898878054016
0.4,0.75,12,6♠ 7♡ 8♣ 9♢,12.274180662839111,10.409235221028363,1.8649454418107485,0.066726299789784,0.005436313968540667,0.05810427189781212,0.00558199240040536
0.4,0.75,13,3♠ 4♡ 5♢ 7♢,10.744788715258348,8.675360609661604,2.069428105596744,0.06187936138906674,0.005759011463966131,0.05659349436815558,0.006523474575238792
0.4,0.75,14,2♢ 4♣ 5♣ 6♠,13.814651182358428,9.793636530828085,4.0210146515303435,0.06581940453006689,0.0047644637321078015,0.05764693481859243,0.005886162370548806
0.4,0.75,15,8♠ 8♡ 8♢ 8♣,7.713308997590559,8.440948714369267,-0.7276397167787074,0.07492867224692326,0.009714205961452999,0.06285772577668666,0.007446760773428486
0.4,0.75,16,3♣ 4♢ 5♠ 7♡,7.569205638084392,5.496927649954328,2.0722779881300637,0.06977141448389605,0.009217798778360809,0.06379831728891243,0.011606177368814833
0.4,0.75,17,1♠ 1♡ 1♢ 1♣,4.631093141772458,3.0576241968436504,1.5734689449288073,0.13163004087927188,0.028423103757505754,0.11750173463148555,0.03842909627441502
0.4,0.75,18,1♡ 2♠ 5♠ 8♠,7.954905253218674,5.883247687499495,2.071657565719179,0.0701383044142041,0.008816988032110765,0.06421502277786369,0.010914893641874942
0.4,0.75,19,10♠ 10♡ 10♢ 10♣,6.935294176551263,11.72828242549709,-4.792988248945827,0.0700426324906188,0.010099446498958626,0.05922902578823555,0.0050501022775059235
0.4,0.75,20,1♠ 4♡ 6♢ 8♢,4.631093141772458,3.0576241968436504,1.5734689449288073,0.13163004087927188,0.028423103757505754,0.11750173463148555,0.03842909627441502
0.4,0.75,21,1♢ 2♢ 7♢ 10♣,6.126516995882013,18.4687532446575,-12.342236248775485,0.0686596597452593,0.011206964706277552,0.05594101861508019,0.003028954790506088
0.4,0.75,22,5♣ 7♠ 8♡ 10♢,7.727711370560806,8.637738403724958,-0.9100270331641518,0.07494601156901298,0.009698345082416567,0.06410016409678877,0.007420942971501206
0.4,0.75,23,4♠ 4♡ 4♢ 4♣,11.61442014336193,12.113171529295048,-0.49875138593311874,0.06039696776105419,0.0052001707373719635,0.05405648735812236,0.0044626204811340844
0.4,0.75,24,2♣ 4♢ 9♣ 10♠,5.257456879163953,8.19102842444247,-2.933571545278517,0.08879203312505762,0.01688878010145039,0.07852357536157384,0.009586534351077975
0.4,0.75,25,1♢ 3♢ 5♡ 9♢,9.26920170239516,15.15893212910498,-5.88973042670982,0.06289054102991692,0.00678489292272775,0.054226084352798555,0.003577170468933302
0.4,0.75,26,2♠ 2♡ 2♢ 2♣,5.257456879163953,8.19102842444247,-2.933571545278517,0.08879203312505762,0.01688878010145039,0.07852357536157384,0.009586534351077975
0.4,0.75,27,1♡ 4♠ 7♠ 9♠,9.959911866814268,7.389635813413739,2.570276053400529,0.0728221077703698,0.007311521301007491,0.06586808349756967,0.008913576414416159
0.4,0.75,28,1♠ 2♡ 7♡ 10♡,4.631093141772458,3.0576241968436504,1.5734689449288073,0.13163004087927188,0.028423103757505754,0.11750173463148555,0.03842909627441502
0.4,0.75,29,2♢ 3♣ 8♢ 9♠,9.959911866814268,7.389635813413739,2.570276053400529,0.0728221077703698,0.007311521301007491,0.06586808349756967,0.008913576414416159
