set,line,k,intersection
apex,0001|0100|0101,0,
apex,0001|1000|1001,1,1001
apex,0001|1100|1101,1,1100
apex,0010|0100|0110,0,
apex,0010|1000|1010,0,
apex,0010|1100|1110,2,1100 1110
apex,0011|0100|0111,0,
apex,0011|1000|1011,1,1011
apex,0011|1100|1111,2,1100 1111
apex,0101|1010|1111,1,1111
apex,0101|1011|1110,2,1011 1110
apex,0110|1001|1111,2,1001 1111
apex,0110|1011|1101,1,1011
apex,0111|1001|1110,2,1001 1110
apex,0111|1010|1101,0,
