line_id,orbit_id,orbit_size_lines,orbit_size_quartets,stabilizer_auto_ids,line_type,type,proj_quartet_str,rank_mean_abs_delta,mean_abs_delta,card_basis,var_q_class,response_r2,coef_delta_coh,coef_flux_coh,coef_flux_def_mass,mode1_weight
11,1,12,12,0,other,rainbow,sec0_m0 sec1_m0 sec2_m1 sec3_m0,22,0.003458812317412455,2♡ 4♠ 5♡ 6♡,low(1/9),0.9836541684312106,-3.6730387894800165,3.06237615365064,0.11365449685358665,-0.11936763310094244
4,1,12,12,0,other,rainbow,sec0_m1 sec1_m0 sec2_m1 sec3_m2,28,0.002976508362919793,2♣ 3♢ 6♢ 7♠,low(1/9),0.8702049035401764,0.23096858111261803,0.039987224546528616,-0.022579553002435485,-0.06559006426408795
36,1,12,12,0,other,rainbow,sec0_m0 sec1_m1 sec2_m2 sec3_m1,30,0.0028638058953718904,1♣ 3♣ 6♡ 10♢,mid(1/3),0.9846064390296863,2.361794744097834,0.558939385588274,-0.5507272837375236,0.3214638306860519
2,1,12,12,0,rank_spread,rainbow,sec0_m0 sec1_m0 sec2_m0 sec3_m1,33,0.0016091061982513451,7♠ 7♡ 7♢ 7♣,low(1/9),0.5466535920381814,-7.439604087777959,5.057527203272229,0.49201291078378956,0.06640044599490508
3,2,6,6,0 5,other,rainbow,sec0_m0 sec1_m2 sec2_m1 sec3_m1,6,0.012527663677193357,3♢ 4♣ 8♠ 10♡,low(1/9),0.8940551802415618,5.365616807243027,-2.7237280738803293,-0.2723606266643202,-0.3400867855253991
18,2,6,6,0 5,other,rainbow,sec0_m0 sec1_m0 sec2_m2 sec3_m2,7,0.011371733133028266,1♡ 2♠ 5♠ 8♠,mid(1/3),0.8429727502670925,-7.265503703729224,5.818157518134975,0.40156974512715027,0.05661397569038289
15,2,6,6,0 5,rank_spread,rainbow,sec0_m0 sec1_m1 sec2_m0 sec3_m0,10,0.010631870193550426,8♠ 8♡ 8♢ 8♣,low(1/9),0.12022833172933955,-10.163349014210212,1.052342340798492,1.2591354457151878,0.08210904755317756
32,2,6,6,0 5,other,rainbow,sec0_m1 sec1_m2 sec2_m1 sec3_m0,14,0.010237910224970097,1♢ 4♢ 6♣ 8♡,mid(1/3),0.5505740923794296,12.214948453537417,-7.688868921122027,-1.0895791097899228,0.0882580346097405
23,2,6,6,0 5,rank_spread,rainbow,sec0_m1 sec1_m0 sec2_m2 sec3_m1,19,0.004551378777072315,4♠ 4♡ 4♢ 4♣,low(1/9),0.9609765644320012,3.098273060669108,-4.470943227055001,0.19482390007885148,-0.002732658644511103
16,2,6,6,0 5,other,rainbow,sec0_m1 sec1_m1 sec2_m0 sec3_m2,27,0.0032006867810644326,3♣ 4♢ 5♠ 7♡,low(1/9),0.9814233209631058,4.486542978501969,-0.7089154304641594,-0.7155745435567648,0.061099993513002965
8,3,6,6,0 9,other,rainbow,sec0_m2 sec1_m0 sec2_m0 sec3_m2,1,0.02892248524455424,3♡ 4♠ 8♣ 10♣,low(1/9),0.4126589698751102,7.919272834599727,-3.791157831303502,-0.39961414475514256,-0.37157372852755177
39,3,6,6,0 9,other,rainbow,sec0_m2 sec1_m2 sec2_m2 sec3_m1,3,0.01945270245354121,2♠ 3♡ 6♣ 7♣,low(1/9),0.5809262756859102,8.340107940303634,-4.784802092023403,-0.4382159699224015,0.06123562586494906
6,3,6,6,0 9,rank_spread,rainbow,sec0_m2 sec1_m1 sec2_m1 sec3_m0,29,0.0028638058953718904,3♠ 3♡ 3♢ 3♣,low(1/9),0.9846064390296863,2.361794744097834,0.558939385588274,-0.5507272837375236,-0.0031664097334956616
17,3,6,6,0 9,rank_spread,rainbow,sec0_m2 sec1_m0 sec2_m1 sec3_m1,36,0.0012889051225446393,1♠ 1♡ 1♢ 1♣,high(1),0.9986264238031008,0.08239798803713004,-0.08239875178631337,-0.009955415701299243,0.03758823229443234
28,3,6,6,0 9,other,rainbow,sec0_m2 sec1_m2 sec2_m0 sec3_m0,38,0.00044766330387043,1♠ 2♡ 7♡ 10♡,mid(1/3),0.5157386966054909,3.6403018813784014,-2.4213725955184473,-0.22162967656348856,0.038156831429189846
20,3,6,6,0 9,other,rainbow,sec0_m2 sec1_m1 sec2_m2 sec3_m2,40,0.00034271195484016217,1♠ 4♡ 6♢ 8♢,mid(1/3),0.5575926293518451,1.5906977409095797,-0.8747698175764621,-0.12777004097363936,0.040424683162357936
24,4,3,1,0 1 2 3 4 5 6 7 8 9 10 11,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,13,0.010319501724717722,2♣ 4♢ 9♣ 10♠,low(1/9),0.1735644752786829,-13.000550599089825,8.313744165341445,0.703764160468832,-0.06559006426408795
9,4,3,1,0 1 2 3 4 5 6 7 8 9 10 11,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,17,0.00580191202414908,6♡ 7♢ 8♠ 9♣,low(1/9),0.6149480224573791,-29.85221783812327,20.864471794448907,1.8339755252106589,-0.052294208155300094
31,4,3,1,0 1 2 3 4 5 6 7 8 9 10 11,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,39,0.000370515122765257,1♠ 3♡ 5♣ 9♣,mid(1/3),0.248986548308891,3.081648637918687,-2.018238640658019,-0.19936568574799687,0.03535095285502157
10,5,1,1,0 1 2 3 4 5 6 7 8 9 10 11,rank_spread,hub_transversal,sec0_m0 sec0_m1 sec0_m2 sec1_m0 sec1_m1 sec1_m2 sec2_m0 sec2_m1 sec2_m2 sec3_m0 sec3_m1 sec3_m2,37,0.0008676125495143917,9♠ 9♡ 9♢ 9♣,low(1/9),0.618392430072748,5.493780951502209,-3.525424240427902,-0.3840576036315098,0.11358224944334941
12,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,11,0.01058666121468017,6♠ 7♡ 8♣ 9♢,low(1/9),0.9883123298620848,0.7986899286176854,0.40425811397135575,-0.29847601029784787,0.25258918836361877
33,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,16,0.006999920696372897,5♢ 6♣ 9♠ 10♡,low(1/9),0.8378448126017246,-21.216034238551593,14.648334870680188,1.2657183764992868,0.1136861224556122
38,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,18,0.005325899839630405,2♠ 4♡ 9♢ 10♢,low(1/9),0.9777003659274645,4.203817139102474,-4.855766962447438,0.10206047858356498,0.19023377478641826
25,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,23,0.003458812317412455,1♢ 3♢ 5♡ 9♢,mid(1/3),0.9836541684312106,-3.6730387894800165,3.06237615365064,0.11365449685358665,-0.18050903374907998
29,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,25,0.0033475162644040655,2♢ 3♣ 8♢ 9♠,low(1/9),0.747732338213597,24.118613110488173,-14.346298710064085,-2.010399221416444,0.10839412337015662
27,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,31,0.0023438753185715654,1♡ 4♠ 7♠ 9♠,mid(1/3),0.7077907923171531,-4.95657769941479,3.4117401468470336,0.2940638169987643,0.10735110530777162
14,7,3,3,0 5 6 11,other,rainbow,sec0_m2 sec1_m1 sec2_m0 sec3_m1,9,0.010940248884698443,2♢ 4♣ 5♣ 6♠,low(1/9),0.9887261937932268,0.9822065784070035,0.30486698892976216,-0.31624512341628513,0.32727675109713433
30,7,3,3,0 5 6 11,rank_spread,rainbow,sec0_m2 sec1_m2 sec2_m1 sec3_m2,24,0.003458812317412455,5♠ 5♡ 5♢ 5♣,low(1/9),0.9836541684312106,-3.6730387894800165,3.06237615365064,0.11365449685358665,0.061320006552643726
22,7,3,3,0 5 6 11,other,rainbow,sec0_m2 sec1_m0 sec2_m2 sec3_m0,26,0.0033015429176538303,5♣ 7♠ 8♡ 10♢,low(1/9),0.09795825569568672,-9.375827381137999,5.5403164136750265,0.6959481425519692,0.08555096172299308
