line_id,rank,sum1_m_tuple,sum2_m_tuple,sum0_m_tuple,sum1_delta,sum2_delta,sum0_delta,flip_delta_sum2,flip_delta_sum0,sum1_flux_coh,sum2_flux_coh,sum0_flux_coh,flip_flux_coh_sum2,flip_flux_coh_sum0,sum1_def_mass,sum2_def_mass,sum0_def_mass,flip_def_mass_sum2,flip_def_mass_sum0,sum1_mu,sum2_mu,sum0_mu,flip_mu_sum2,flip_mu_sum0,sum1_lambda,sum2_lambda,sum0_lambda,flip_lambda_sum2,flip_lambda_sum0
8,1,"(2, 0, 0, 2)","(0, 1, 0, 1)","(1, 1, 2, 2)",2.161345354771263,4.230208910700043,-11.35249756713802,0,1,-1.4661514090763024,-3.0553080235564125,8.728135780307154,0,1,0.060000739987572674,-0.3699418801240563,0.49452781202239426,1,0,-0.00046305726140379033,0.017911681408728567,-0.0234693111402927,1,0,0.05938523693613962,-0.01561218772429701,-0.11022637237460964,1,1
19,2,"(1, 2, 2, 2)","(2, 0, 0, 0)","(0, 1, 1, 1)",-27.426086571025934,-10.270892724019172,-8.175241486045282,0,0,19.65462291683149,7.518875365919131,5.349339706491265,0,0,1.3935698184441316,0.5589174940929216,0.4941325339635901,0,0,-0.06642215836307348,-0.02436468386252745,-0.028347030411953234,0,0,-0.28186449400543423,-0.09497181026710803,-0.09259459551040569,0,0
39,3,"(2, 2, 2, 1)","(0, 0, 2, 0)","(1, 0, 1, 1)",2.3185318570327906,-6.533299794255615,-1.7102159285574696,1,1,-0.5144958780894671,4.163964100885633,-0.7197518374586254,1,0,-0.21087941450506242,0.4186717448336791,0.2963321942067728,1,1,0.016288867250667322,-0.027310915368008226,-0.022867845113450462,1,1,0.01701836244453332,-0.07830274172689823,-0.020854156910071347,1,1
35,4,"(1, 2, 0, 1)","(2, 1, 2, 0)","(0, 0, 1, 2)",3.0720588713409627,8.33000407633874,3.671292273918589,0,0,-2.2838354376419914,-5.858442866793243,-1.8702821713534175,0,0,-0.36655717535263677,-0.5104696340344302,-0.21339256905667264,0,0,0.016909467790595704,0.02577997965397673,0.010842246433967938,0,0,-0.046781992586854386,0.06471228835343287,0.056493065810901605,1,1
26,5,"(1, 1, 2, 0)","(2, 0, 1, 2)","(0, 2, 0, 1)",0.6540360838998667,6.958740799355712,7.460578338342714,0,0,0.586305513774387,-4.705937709505847,-5.892928280057191,1,1,-0.34466237292462487,-0.31037624078935633,-0.4353807647297584,0,0,0.017242499705983093,0.01550557366242246,0.020783620510134816,0,0,-0.05646716879183927,0.08508370454934208,0.04580682581997728,1,1
3,6,"(0, 2, 1, 1)","(1, 2, 2, 0)","(2, 0, 1, 0)",0.030888352789827267,-6.6705463344101545,0.6075128637361341,1,0,-0.7962946954149761,4.80101481716216,0.7405156445839136,1,1,0.01711224467936611,0.19843813087816425,-0.2537547282424165,0,1,-0.005580543761271131,-0.010086600020792945,0.016115684825741196,0,1,-0.006596163726715826,-0.11404387475465426,-0.03360391957450414,0,0
18,7,"(0, 0, 2, 2)","(1, 0, 0, 1)","(2, 1, 2, 1)",-9.818399841830438,1.9032557700487849,0.2333942398124243,1,1,6.592215119770469,-1.868440420265796,0.7271153765357168,1,0,0.7360082793395697,-0.0700798237643667,-0.18903125118929717,1,1,-0.03957343067002423,0.0005405143164166808,0.013045206974105364,1,1,-0.022790989432067282,-0.010810288116153682,-0.036027176797584035,0,0
7,8,"(0, 2, 0, 2)","(1, 1, 0, 0)","(2, 1, 1, 2)",-6.116262566256839,-1.340098995878716,5.444746174095175,0,1,4.37845909796823,1.4724610005775978,-3.5493289032527344,0,1,0.220215250482224,-0.18719006096686003,-0.2059369516032197,1,1,-0.007533293648454246,0.009768855435775136,0.011233121668030744,1,1,-0.09070355628399533,-0.0675665382502574,0.06155833030794417,0,1
14,9,"(2, 1, 0, 1)","(0, 1, 2, 2)","(1, 0, 0, 2)",4.900040365327603,-6.686990780874783,-4.702237468984649,1,1,-1.6053371293519532,3.8130811430563174,3.859234600657527,1,1,-0.6366043874102099,0.5333697460969875,0.19540609157587827,1,1,0.038552671822208326,-0.03142584136880672,-0.005722985533295071,1,1,-0.020346974433280658,-0.020017360202510985,-0.04701247892692362,0,0
15,10,"(0, 1, 0, 0)","(1, 1, 1, 2)","(2, 2, 0, 2)",2.7732097103764444,1.831920888986495,-5.088501404538203,0,1,-4.760757650376658,-0.2559134652635633,5.457960044245865,0,1,0.180314227550182,-0.27577207678323074,0.014961308768447673,1,0,-0.01948259419486244,0.017770090766702506,0.007756654970437106,1,1,0.03632278496892949,-0.0197435903611805,-0.09236746843410933,1,1
