element,node,row_norm
e*,0,11.661903789690601
e*,1,10.954451150103322
e*,2,8.94427190999916
e*,3,8.94427190999916
e*,4,8.94427190999916
e*,5,10.954451150103322
e*,6,14.142135623730951
e*,7,6.324555320336759
e*,8,8.94427190999916
e*,9,6.324555320336759
e*,10,4.0
e*,11,8.94427190999916
e*,12,7.483314773547883
e*,13,10.954451150103322
e*,14,10.954451150103322
e*,15,8.94427190999916
e*,16,6.324555320336759
e*,17,8.94427190999916
e*,18,8.94427190999916
e*,19,8.94427190999916
e*,20,13.266499161421601
e*,21,6.324555320336759
e*,22,8.94427190999916
e*,23,8.94427190999916
e*,24,8.94427190999916
e*,25,8.94427190999916
e*,26,7.483314773547883
e*,27,10.583005244258363
e*,28,8.94427190999916
e*,29,0.0
e*,30,6.324555320336759
e*,31,6.324555320336759
e*,32,10.954451150103322
e*,33,8.94427190999916
e*,34,8.94427190999916
e*,35,10.954451150103322
e*,36,8.94427190999916
e*,37,6.324555320336759
e*,38,10.954451150103322
e*,39,8.94427190999916
e*,40,10.954451150103322
e*,41,8.94427190999916
e*,42,8.94427190999916
e*,43,8.94427190999916
e*,44,8.94427190999916
e*,45,9.797958971132712
e*,46,8.94427190999916
e*,47,8.94427190999916
e*,48,8.94427190999916
e*,49,8.94427190999916
e*,50,10.954451150103322
e*,51,6.324555320336759
e*,52,6.324555320336759
e*,53,8.94427190999916
e*,54,8.94427190999916
e*,55,6.324555320336759
e*,56,6.324555320336759
e*,57,8.94427190999916
e*,58,8.94427190999916
(0 1 2),0,13.638181696985857
(0 1 2),1,11.74734012447073
(0 1 2),2,9.591663046625438
(0 1 2),3,9.591663046625438
(0 1 2),4,9.591663046625438
(0 1 2),5,11.74734012447073
(0 1 2),6,15.165750888103101
(0 1 2),7,6.782329983125269
(0 1 2),8,9.591663046625438
(0 1 2),9,6.782329983125269
(0 1 2),10,6.92820323027551
(0 1 2),11,9.591663046625438
(0 1 2),12,9.695359714832659
(0 1 2),13,11.74734012447073
(0 1 2),14,11.74734012447073
(0 1 2),15,9.591663046625438
(0 1 2),16,6.782329983125269
(0 1 2),17,9.591663046625438
(0 1 2),18,9.591663046625438
(0 1 2),19,9.591663046625438
(0 1 2),20,15.231546211727817
(0 1 2),21,6.782329983125269
(0 1 2),22,9.591663046625438
(0 1 2),23,9.591663046625438
(0 1 2),24,9.591663046625438
(0 1 2),25,9.591663046625438
(0 1 2),26,9.695359714832659
(0 1 2),27,13.71130920080209
(0 1 2),28,9.591663046625438
(0 1 2),29,0.0
(0 1 2),30,6.782329983125269
(0 1 2),31,6.782329983125269
(0 1 2),32,11.74734012447073
(0 1 2),33,9.591663046625438
(0 1 2),34,9.591663046625438
(0 1 2),35,11.74734012447073
(0 1 2),36,9.591663046625438
(0 1 2),37,6.782329983125269
(0 1 2),38,11.74734012447073
(0 1 2),39,9.591663046625438
(0 1 2),40,11.74734012447073
(0 1 2),41,9.591663046625438
(0 1 2),42,9.591663046625438
(0 1 2),43,9.591663046625438
(0 1 2),44,9.591663046625438
(0 1 2),45,11.832159566199232
(0 1 2),46,9.591663046625438
