idx27,orbit_id,orbit_size,m0,in_tomotope15,w33_line_id_if_tomotope
0,0,12,0,0,
1,0,12,0,0,
2,1,6,0,1,18
3,1,6,0,1,15
4,0,12,0,0,
5,0,12,0,0,
6,0,12,0,0,
7,1,6,0,1,3
8,0,12,0,0,
9,0,12,1,0,
10,0,12,1,0,
11,1,6,1,1,16
12,1,6,1,1,32
13,0,12,1,0,
14,0,12,1,0,
15,0,12,1,0,
16,1,6,1,1,23
17,0,12,1,0,
18,2,6,2,1,39
19,2,6,2,1,28
20,3,3,2,1,30
21,3,3,2,1,22
22,2,6,2,1,8
23,2,6,2,1,17
24,2,6,2,1,20
25,3,3,2,1,14
26,2,6,2,1,6
