feature,coef
m0,0.00020368950038704761
m1,0.001704729675904286
m2,-0.0007049830727186174
m3,0.0020078525708173973
count_m0,0.0015176499423077533
count_m1,-0.0006640369495791219
count_m2,0.0019376628119838406
sum_m_mod3,0.0006978189511777582
has_sec0_m0,-0.0008593654605390544
has_sec0_m1,0.0029106793230500405
has_sec0_m2,-0.0013534949113327669
has_all_m2,0.0
eq_m01,-0.0025643979422430453
eq_m02,-0.0018517110952239611
eq_m03,-4.901013901871964e-05
eq_m12,0.004654496630091693
eq_m13,-0.0006447178230630802
eq_m23,-0.00042536796349835197
intercept,0.0006978189511777581
