missing_sector,count,mean,median
0,6,0.0114899329522053,0.0071995306010554
1,3,0.011510422334590632,0.0113717331330282
2,3,0.0059966585943689,0.0045513787770723
3,3,0.0006930934604183667,0.0004476633038704
