orbit_id,orbit_size,idx27,w33_line_id_if_tomotope,missing_sector
0,3,18,39,0
0,3,22,8,0
0,3,26,6,0
1,3,19,28,3
1,3,23,17,3
1,3,24,20,3
2,3,20,30,0
2,3,21,22,0
2,3,25,14,0
