idx27_a,idx27_b,line_id_a,line_id_b,det1_count,det2_count,corr,opp_rate,mean_abs_delta_a,mean_abs_delta_b,mean_abs_delta_gap,rank_a,rank_b
0,1,2,11,48,48,-0.43003722558451185,0.6078431372549019,0.0016091061982513451,0.003458812317412455,0.00184970611916111,33,22
0,2,2,18,48,48,0.5576492603612941,0.39215686274509803,0.0016091061982513451,0.011371733133028266,0.00976262693477692,33,7
0,3,2,15,48,48,0.3485706617456991,0.4117647058823529,0.0016091061982513451,0.010631870193550426,0.00902276399529908,33,10
0,4,2,21,48,48,-0.4721042630947315,0.6078431372549019,0.0016091061982513451,0.010446395495979312,0.008837289297727967,33,12
0,5,2,36,48,48,-0.30930450710974183,0.5294117647058824,0.0016091061982513451,0.0028638058953718904,0.0012546996971205453,33,30
0,6,2,7,48,48,-0.46545835476730263,0.6078431372549019,0.0016091061982513451,0.01126903239649422,0.009659926198242874,33,8
0,7,2,3,48,48,0.5172050204624837,0.39215686274509803,0.0016091061982513451,0.012527663677193357,0.010918557478942012,33,6
0,8,2,13,48,48,0.19865595635616654,0.6078431372549019,0.0016091061982513451,0.0038460383048055614,0.0022369321065542165,33,20
0,9,2,5,48,48,-0.43003722558451185,0.6078431372549019,0.0016091061982513451,0.003458812317412455,0.00184970611916111,33,21
0,10,2,26,48,48,-0.5858802027636892,0.6078431372549019,0.0016091061982513451,0.012538620247055654,0.010929514048804309,33,5
0,11,2,16,48,48,-0.3028588345456397,0.5294117647058824,0.0016091061982513451,0.0032006867810644326,0.0015915805828130875,33,27
0,12,2,32,48,48,-0.5469998755304813,0.6862745098039216,0.0016091061982513451,0.010237910224970097,0.008628804026718753,33,14
0,13,2,19,48,48,0.44000081726283485,0.5882352941176471,0.0016091061982513451,0.023527809847628173,0.021918703649376828,33,2
0,14,2,35,48,48,-0.6127868654355564,0.6078431372549019,0.0016091061982513451,0.015443508339366788,0.013834402141115443,33,4
0,15,2,4,48,48,0.5423464713630436,0.39215686274509803,0.0016091061982513451,0.002976508362919793,0.0013674021646684477,33,28
0,16,2,23,48,48,0.13410516554562077,0.5686274509803921,0.0016091061982513451,0.004551378777072315,0.0029422725788209704,33,19
0,17,2,1,48,48,-0.515134334290819,0.6078431372549019,0.0016091061982513451,0.00825534969123644,0.006646243492985095,33,15
0,18,2,39,48,48,0.14974381804369813,0.39215686274509803,0.0016091061982513451,0.01945270245354121,0.017843596255289865,33,3
0,19,2,28,48,48,-0.18155083494329757,0.5686274509803921,0.0016091061982513451,0.00044766330387043,0.0011614428943809152,33,38
0,20,2,30,48,48,-0.43003722558451185,0.6078431372549019,0.0016091061982513451,0.003458812317412455,0.00184970611916111,33,24
0,21,2,22,48,48,0.5981665656380614,0.39215686274509803,0.0016091061982513451,0.0033015429176538303,0.0016924367194024851,33,26
0,22,2,8,48,48,-0.06935728171691412,0.39215686274509803,0.0016091061982513451,0.02892248524455424,0.027313379046302894,33,1
0,23,2,17,48,48,-0.28868437044429957,0.6078431372549019,0.0016091061982513451,0.0012889051225446393,0.00032020107570670587,33,36
0,24,2,20,48,48,0.02951602845886576,0.43137254901960786,0.0016091061982513451,0.00034271195484016217,0.001266394243411183,33,40
0,25,2,14,48,48,-0.433544338629086,0.6078431372549019,0.0016091061982513451,0.010940248884698443,0.009331142686447098,33,9
0,26,2,6,48,48,-0.30930450710974183,0.5294117647058824,0.0016091061982513451,0.0028638058953718904,0.0012546996971205453,33,29
1,2,11,18,48,48,-0.815452251256062,1.0,0.003458812317412455,0.011371733133028266,0.007912920815615811,22,7
1,3,11,15,48,48,0.21634822080999852,0.6666666666666666,0.003458812317412455,0.010631870193550426,0.00717305787613797,22,10
1,4,11,21,48,48,0.7325062532117489,0.0,0.003458812317412455,0.010446395495979312,0.006987583178566857,22,12
1,5,11,36,48,48,0.9040958627130047,0.3137254901960784,0.003458812317412455,0.0028638058953718904,0.0005950064220405647,22,30
1,6,11,7,48,48,0.016141527739411337,0.0,0.003458812317412455,0.01126903239649422,0.007810220079081764,22,8
1,7,11,3,48,48,-0.6188324652640255,1.0,0.003458812317412455,0.012527663677193357,0.009068851359780902,22,6
1,8,11,13,48,48,0.35049388791609976,0.0,0.003458812317412455,0.0038460383048055614,0.00038722598739310624,22,20
1,9,11,5,48,48,1.0,0.0,0.003458812317412455,0.003458812317412455,0.0,22,21
1,10,11,26,48,48,0.7562856008890251,0.0,0.003458812317412455,0.012538620247055654,0.009079807929643198,22,5
1,11,11,16,48,48,0.8878728404831281,0.35294117647058826,0.003458812317412455,0.0032006867810644326,0.0002581255363480225,22,27
1,12,11,32,48,48,0.6399446924564139,0.6274509803921569,0.003458812317412455,0.010237910224970097,0.006779097907557642,22,14
1,13,11,19,48,48,-0.7503604685158244,0.0196078431372549,0.003458812317412455,0.023527809847628173,0.020068997530215717,22,2
1,14,11,35,48,48,0.8144830371318045,0.0,0.003458812317412455,0.015443508339366788,0.011984696021954334,22,4
1,15,11,4,48,48,-0.8341291426212835,1.0,0.003458812317412455,0.002976508362919793,0.0004823039544926623,22,28
1,16,11,23,48,48,0.38751779281526794,0.0392156862745098,0.003458812317412455,0.004551378777072315,0.0010925664596598602,22,19
1,17,11,1,48,48,0.144508282064484,0.0,0.003458812317412455,0.00825534969123644,0.004796537373823985,22,15
1,18,11,39,48,48,-0.6043166904721138,1.0,0.003458812317412455,0.01945270245354121,0.015993890136128754,22,3
1,19,11,28,48,48,0.21756544339670855,0.7843137254901961,0.003458812317412455,0.00044766330387043,0.003011149013542025,22,38
