quartet_str,m_tuple,sum_m_mod3,z3_orbit_id,orbit_size,orbit_members,is_w33_rainbow,w33_line_id,mean_abs_delta,rank_by_mean_abs_delta,pred_mean_abs_delta
sec0_m0 sec1_m1 sec2_m2 sec3_m2,"(0, 1, 2, 2)",2,17,3,sec0_m0 sec1_m1 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m1,False,,,,0.009848130718294027
sec0_m0 sec1_m2 sec2_m0 sec3_m0,"(0, 2, 0, 0)",2,18,3,sec0_m0 sec1_m2 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m2,False,,,,0.00880807418596886
sec0_m0 sec1_m2 sec2_m0 sec3_m1,"(0, 2, 0, 1)",0,19,3,sec0_m0 sec1_m2 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m2,False,,,,0.007712980065060937
sec0_m0 sec1_m2 sec2_m0 sec3_m2,"(0, 2, 0, 2)",1,20,3,sec0_m0 sec1_m2 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m2,True,7,0.01126903239649422,8,0.012375633525555974
sec0_m0 sec1_m2 sec2_m1 sec3_m0,"(0, 2, 1, 0)",0,21,3,sec0_m0 sec1_m2 sec2_m1 sec3_m0 | sec0_m1 sec1_m2 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m0,False,,,,0.006802845377730164
sec0_m0 sec1_m2 sec2_m1 sec3_m1,"(0, 2, 1, 1)",1,22,3,sec0_m0 sec1_m2 sec2_m1 sec3_m1 | sec0_m1 sec1_m2 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m0,True,3,0.012527663677193357,6,0.006950472183358812
sec0_m0 sec1_m2 sec2_m1 sec3_m2,"(0, 2, 1, 2)",2,23,3,sec0_m0 sec1_m2 sec2_m1 sec3_m2 | sec0_m1 sec1_m2 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m0,False,,,,0.012038493607352202
sec0_m0 sec1_m2 sec2_m2 sec3_m0,"(0, 2, 2, 0)",1,24,3,sec0_m0 sec1_m2 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m1,True,13,0.0038460383048055614,20,0.01405187764784396
sec0_m0 sec1_m2 sec2_m2 sec3_m1,"(0, 2, 2, 1)",2,25,3,sec0_m0 sec1_m2 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m1,False,,,,0.01462487241697096
sec0_m0 sec1_m2 sec2_m2 sec3_m2,"(0, 2, 2, 2)",0,26,3,sec0_m0 sec1_m2 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m1,False,,,,0.01676870106043437
sec0_m1 sec1_m0 sec2_m0 sec3_m0,"(1, 0, 0, 0)",1,26,3,sec0_m0 sec1_m2 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m1,True,1,0.00825534969123644,15,0.011983330446667004
sec0_m1 sec1_m0 sec2_m0 sec3_m1,"(1, 0, 0, 1)",2,8,3,sec0_m0 sec1_m0 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m1,False,,,,0.013528390724317996
sec0_m1 sec1_m0 sec2_m0 sec3_m2,"(1, 0, 0, 2)",0,17,3,sec0_m0 sec1_m1 sec2_m2 sec3_m2 | sec0_m1 sec1_m0 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m1,False,,,,0.01679131529336156
sec0_m1 sec1_m0 sec2_m1 sec3_m0,"(1, 0, 1, 0)",2,24,3,sec0_m0 sec1_m2 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m1,False,,,,0.0037136396714219666
sec0_m1 sec1_m0 sec2_m1 sec3_m1,"(1, 0, 1, 1)",0,6,3,sec0_m0 sec1_m0 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m1,False,,,,0.0023145071685429807
sec0_m1 sec1_m0 sec2_m1 sec3_m2,"(1, 0, 1, 2)",1,15,3,sec0_m0 sec1_m1 sec2_m2 sec3_m0 | sec0_m1 sec1_m0 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m1,True,4,0.002976508362919793,28,0.00809625655461817
sec0_m1 sec1_m0 sec2_m2 sec3_m0,"(1, 0, 2, 0)",0,25,3,sec0_m0 sec1_m2 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m1,False,,,,0.006066429553134757
sec0_m1 sec1_m0 sec2_m2 sec3_m1,"(1, 0, 2, 1)",1,7,3,sec0_m0 sec1_m0 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m1 | sec0_m2 sec1_m0 sec2_m2 sec3_m1,True,23,0.004551378777072315,19,0.0071861218672873975
sec0_m1 sec1_m0 sec2_m2 sec3_m2,"(1, 0, 2, 2)",2,16,3,sec0_m0 sec1_m1 sec2_m2 sec3_m1 | sec0_m1 sec1_m0 sec2_m2 sec3_m2 | sec0_m2 sec1_m0 sec2_m0 sec3_m1,False,,,,0.012117135326365883
sec0_m1 sec1_m1 sec2_m0 sec3_m0,"(1, 1, 0, 0)",2,20,3,sec0_m0 sec1_m2 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m0 | sec0_m2 sec1_m1 sec2_m1 sec3_m2,False,,,,0.005630015432590514
sec0_m1 sec1_m1 sec2_m0 sec3_m1,"(1, 1, 0, 1)",0,2,3,sec0_m0 sec1_m0 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m1 | sec0_m2 sec1_m1 sec2_m2 sec3_m2,False,,,,0.003792183210582072
sec0_m1 sec1_m1 sec2_m0 sec3_m2,"(1, 1, 0, 2)",1,11,3,sec0_m0 sec1_m1 sec2_m0 sec3_m2 | sec0_m1 sec1_m1 sec2_m0 sec3_m2 | sec0_m2 sec1_m1 sec2_m0 sec3_m2,True,16,0.0032006867810644326,27,0.00979328245622199
sec0_m1 sec1_m1 sec2_m1 sec3_m0,"(1, 1, 1, 0)",0,18,3,sec0_m0 sec1_m2 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m0 | sec0_m2 sec1_m2 sec2_m1 sec3_m2,False,,,,0.004575861063995589
sec0_m1 sec1_m1 sec2_m1 sec3_m1,"(1, 1, 1, 1)",1,0,3,sec0_m0 sec1_m0 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m1 | sec0_m2 sec1_m2 sec2_m2 sec3_m2,True,5,0.003458812317412455,21,0.003980749768523717
sec0_m1 sec1_m1 sec2_m1 sec3_m2,"(1, 1, 1, 2)",2,9,3,sec0_m0 sec1_m1 sec2_m0 sec3_m0 | sec0_m1 sec1_m1 sec2_m1 sec3_m2 | sec0_m2 sec1_m2 sec2_m0 sec3_m2,False,,,,0.010407216977661986
sec0_m1 sec1_m1 sec2_m2 sec3_m0,"(1, 1, 2, 0)",1,19,3,sec0_m0 sec1_m2 sec2_m0 sec3_m1 | sec0_m1 sec1_m1 sec2_m2 sec3_m0 | sec0_m2 sec1_m0 sec2_m1 sec3_m2,True,26,0.012538620247055654,5,0.00436761116914996
