line_id,orbit_id,orbit_size,line_type,type,proj_quartet_str,missing_sector,mean_abs_delta,rank_mean_abs_delta,var_q_class,r2,coef_delta_coh,coef_flux_coh,coef_flux_def_mass
0,0,3,monochrome12,monochrome,sec3_m0 sec3_m1 sec3_m2,,0.0019869504069128206,32,low(1/9),0.23116817391552436,7.942625420430668,-4.771157079943863,-0.6665620400003318
34,0,3,monochrome12,monochrome,sec3_m0 sec3_m1 sec3_m2,,0.0015838462187076803,34,mid(1/3),0.9211987523970508,-2.2601810584797724,1.1945441422430063,0.21706676168442807
37,0,3,monochrome12,monochrome,sec3_m0 sec3_m1 sec3_m2,,0.0013504470492692953,35,low(1/9),0.9027076564157778,-0.12697678896625814,-0.1006644053120203,0.05523535657091524
1,1,12,other,rainbow,sec0_m1 sec1_m0 sec2_m0 sec3_m0,,0.00825534969123644,15,mid(1/3),0.9961578961698121,0.19457296703241087,0.5963783615117138,-0.2066478699552756
2,1,12,rank_spread,rainbow,sec0_m0 sec1_m0 sec2_m0 sec3_m1,,0.0016091061982513451,33,low(1/9),0.5466535920381814,-7.439604087777959,5.057527203272229,0.49201291078378956
4,1,12,other,rainbow,sec0_m1 sec1_m0 sec2_m1 sec3_m2,,0.002976508362919793,28,low(1/9),0.8702049035401764,0.23096858111261803,0.039987224546528616,-0.022579553002435485
5,1,12,other,rainbow,sec0_m1 sec1_m1 sec2_m1 sec3_m1,,0.003458812317412455,21,low(1/9),0.9836541684312106,-3.6730387894800165,3.06237615365064,0.11365449685358665
7,1,12,rank_spread,rainbow,sec0_m0 sec1_m2 sec2_m0 sec3_m2,,0.01126903239649422,8,low(1/9),0.9923223909668586,1.1114232051162416,0.27941403000472065,-0.33806000811394293
11,1,12,other,rainbow,sec0_m0 sec1_m0 sec2_m1 sec3_m0,,0.003458812317412455,22,low(1/9),0.9836541684312106,-3.6730387894800165,3.06237615365064,0.11365449685358665
13,1,12,other,rainbow,sec0_m0 sec1_m2 sec2_m2 sec3_m0,,0.0038460383048055614,20,low(1/9),0.9899385985121197,1.6049277825264097,-1.8749034276242817,0.038970366060076304
19,1,12,rank_spread,rainbow,sec0_m1 sec1_m2 sec2_m2 sec3_m2,,0.023527809847628173,2,low(1/9),0.8323073498527487,-51.033849079427256,34.508155907466396,2.872173394086594
21,1,12,other,rainbow,sec0_m0 sec1_m1 sec2_m1 sec3_m2,,0.010446395495979312,12,mid(1/3),0.912643741989918,8.142246348590614,-9.844833887854602,0.1184159150185909
26,1,12,rank_spread,rainbow,sec0_m1 sec1_m1 sec2_m2 sec3_m0,,0.012538620247055654,5,low(1/9),0.7357984213725168,-2.954550478158197,2.2623408183704266,-0.12899617451394382
35,1,12,other,rainbow,sec0_m1 sec1_m2 sec2_m0 sec3_m1,,0.015443508339366788,4,mid(1/3),0.8290934024176411,-7.062258168573112,5.410544773999291,0.048819302961627335
36,1,12,other,rainbow,sec0_m0 sec1_m1 sec2_m2 sec3_m1,,0.0028638058953718904,30,mid(1/3),0.9846064390296863,2.361794744097834,0.558939385588274,-0.5507272837375236
