line_id,orbit_id,orbit_members,canonical_mean_abs_delta,canonical_residual,native_mean_abs_delta,native_residual,mode1_weight,mode1_residual
1,0,1 2 4 5 7 11 13 19 21 26 35 36,0.00825534969123644,-5.2466926591400107e-05,6.423742771015123,2.683367480053828,0.28577370167502847,0.2291151672063166
2,0,1 2 4 5 7 11 13 19 21 26 35 36,0.0016091061982513451,-0.006698710419576495,2.0537833737974394,-1.6865919171638555,0.06640044599490508,0.00974191152619322
3,1,3 15 16 18 23 32,0.012527663677193357,0.003774123212713542,7.517186487724674,4.931609199106596,-0.3400867855253991,-0.3309637200581314
4,0,1 2 4 5 7 11 13 19 21 26 35 36,0.002976508362919793,-0.005331308254908048,1.4657282192566357,-2.274647071704659,-0.06559006426408795,-0.1222485987327998
5,0,1 2 4 5 7 11 13 19 21 26 35 36,0.003458812317412455,-0.004849004300415385,2.0365834135372944,-1.7037918774240004,0.06562503466396377,0.008966500195251914
6,2,6 8 17 20 28 39,0.0028638058953718904,-0.0060225731004152055,2.3787746720767156,-0.1898516281017546,-0.0031664097334956616,0.02972271785152405
7,0,1 2 4 5 7 11 13 19 21 26 35 36,0.01126903239649422,0.0029612157786663793,6.823915242613725,3.0835399516524302,0.30461997640107613,0.24796144193236427
8,2,6 8 17 20 28 39,0.02892248524455424,0.020036106248767144,8.49327497788095,5.92464867770248,-0.37157372852755177,-0.33868460094253205
11,0,1 2 4 5 7 11 13 19 21 26 35 36,0.003458812317412455,-0.004849004300415385,5.680064573809641,1.9396892828483465,-0.11936763310094244,-0.17602616756965428
13,0,1 2 4 5 7 11 13 19 21 26 35 36,0.0038460383048055614,-0.004461778313022279,2.7848646882615986,-0.9555106026996962,0.1291199005810059,0.07246136611229403
14,3,14 22 30,0.010940248884698443,0.005040047511443533,7.486776248626127,3.8559538638064867,0.32727675109713433,0.16922751130621064
15,1,3 15 16 18 23 32,0.010631870193550426,0.001878329729070611,1.9558597163507505,-0.6297175722673276,0.08210904755317756,0.09123211302044529
16,1,3 15 16 18 23 32,0.0032006867810644326,-0.0055528536834153815,1.3330604925663916,-1.2525167960516865,0.061099993513002965,0.07022305898027069
17,2,6 8 17 20 28 39,0.0012889051225446393,-0.007597473873242456,0.8477939069489654,-1.7208323932295047,0.03758823229443234,0.07047735987945206
18,1,3 15 16 18 23 32,0.011371733133028266,0.002618192668548451,1.2219684031417337,-1.3636088854763444,0.05661397569038289,0.06573704115765061
19,0,1 2 4 5 7 11 13 19 21 26 35 36,0.023527809847628173,0.015219993229800333,2.520753547194836,-1.2196217437664587,0.037990400572433344,-0.018668133896278513
20,2,6 8 17 20 28 39,0.00034271195484016217,-0.008543667040946933,0.9117976247813288,-1.6568286753971413,0.040424683162357936,0.07331381074737764
21,0,1 2 4 5 7 11 13 19 21 26 35 36,0.010446395495979312,0.002138578878151472,5.066053204772975,1.3256779138116799,-0.21495305105671603,-0.27161158552542786
22,3,14 22 30,0.0033015429176538303,-0.002598658455601079,2.077017085231858,-1.5538052995877818,0.08555096172299308,-0.07249827806793062
23,1,3 15 16 18 23 32,0.004551378777072315,-0.004202161687407499,1.3994247654332626,-1.1861525231848156,-0.002732658644511103,0.006390406822756616
26,0,1 2 4 5 7 11 13 19 21 26 35 36,0.012538620247055654,0.004230803629227814,1.4657282192566357,-2.274647071704659,-0.06559006426408795,-0.1222485987327998
28,2,6 8 17 20 28 39,0.00044766330387043,-0.008438715691916666,0.8616403920921244,-1.7069859080863456,0.038156831429189846,0.07104595901420956
30,3,14 22 30,0.003458812317412455,-0.0024413890558424543,1.3286738206009348,-2.3021485642187054,0.061320006552643726,-0.09672923323827998
32,1,3 15 16 18 23 32,0.010237910224970097,0.0014843697604902829,2.085963866491658,-0.4996134221264201,0.0882580346097405,0.09738110007700822
35,0,1 2 4 5 7 11 13 19 21 26 35 36,0.015443508339366788,0.007135691721538948,1.4657282192566357,-2.274647071704659,-0.06559006426408795,-0.1222485987327998
36,0,1 2 4 5 7 11 13 19 21 26 35 36,0.0028638058953718904,-0.00544401072245595,7.097558018762999,3.3571827278017046,0.3214638306860519,0.26480529621734006
39,2,6 8 17 20 28 39,0.01945270245354121,0.010566323457754115,1.918476227290736,-0.6501500728877341,0.06123562586494906,0.09412475344996876
