aut_index,perm,comm_norm
63,"(12,13,5,6,1,11,18,19,17,0,7,23)(2,10,15,8,4,21,14,22,9)(20,16,3)",74.08103670980854
28,"(12,20,11,0,2,17,6,14,5,18,8,23)(1,4,13,10)(19,22,7,16)(3,21,15)",74.08103670980854
32,"(12,22,14,7,23,15,18,16,2,19,5,9,0,10,8,1,11,3)(13,17,21,6,4,20)",74.08103670980854
188,"(12,1,11,10)(18,19,17,22,0,13,23,16)(2,15,20,21,14,3)(8,9)(4,6,7,5)",74.08103670980854
131,"(12,19,9,23,18,1,3,5,6,13,15,17)(2,4,8,16,14,22)(20,10)(21,11,0,7)",74.08103670980854
141,"(12,17,10)(18,23,4,0,5,16,6,11,22)(1,7,13,19)(2,21,14,3,8,15)(20,9)",74.08103670980854
137,"(12,11)(18,23,0,17)(1,19,13)(2,22,20,16,14,10)(8,4)(3,9,21,15)(5,6)",74.08103670980854
135,"(12,5,22,21,7,14,6,11,16,3,13,2)(18,17,10,9,19,8,0,23,4,15,1,20)",74.08103670980854
130,"(12,23,9,22,6,5,21,10,0,17,3,16)(18,11,15,4)(1,14,7,8,13,2,19,20)",74.08103670980854
213,"(12,0)(1,7)(13,19)(2,21,4)(8,9,22,20,15,16,14,3,10)(5,17,23)",74.08103670980854
209,"(12,5,3,16,19,8,6,17,21,22,7,2)(18,11,15,4,1,20)(13,14,0,23,9,10)",74.08103670980854
221,"(12,21,18,15,6,9,0,3)(1,7,13)(2,17,4,8,23,10,20,5,22)(16,14,11)",74.08103670980854
196,"(12,9,14,4,11,13,6,21,8,22,23,1,0,3,2,16,5,19,18,15,20,10,17,7)",74.08103670980854
199,"(12,1,2,15,5,4)(18,19,14,3,17,10,6,13,8,9,23,22)(20,21,11,16,0,7)",74.08103670980854
203,"(12,17,4,1,15,20)(18,11,22,19,21,2,6,23,10,7,9,14,0,5,16,13,3,8)",74.08103670980854
202,"(12,16,11,15,20,13,0,22,23,3,2,19,18,10,17,9,8,1)(21,14,7,6,4,5)",74.08103670980854
214,"(12,1,22,20,18,13,10,8,0,7,4,14,6,19,16,2)(3,23,15,17)(9,11,21,5)",74.08103670980854
189,"(12,17,14,9,22,1,0,11,2,15,16,13)(18,23,8,21,4,19)(20,3,10,7,6,5)",74.08103670980854
173,"(18,0)(1,15,23,20,16,19,9,5,2,22,7,3,17,8,4)(13,21,11,14,10)",74.08103670980854
114,"(12,8,3,19,23,18,2,21,7,17,6,14,15,1,11)(13,5,0,20,9)(4,16,10,22)",74.08103670980854
116,"(12,18,0,6)(1,9,14,16,19,21,2,10)(13,15,8,22,7,3,20,4)(5,11)",74.08103670980854
127,"(12,3,23,8,7,18,15,17,20,19,6,9,11,14,13,0,21,5,2,1)(4,10,16,22)",74.08103670980854
118,"(12,23,13,14,10,15,6,5,7,20,22,3,0,17,1,2,4,9,18,11,19,8,16,21)",74.08103670980854
109,"(12,15,19,5,22,14,0,21,1,17,16,2,6,3,13,23,10,20,18,9,7,11,4,8)",74.08103670980854
77,"(12,22,11,18,10,5,6,4,17,0,16,23)(1,21,14,7,9,8)(13,3,2)(19,15,20)",74.08103670980854
88,"(12,18,6)(2,17,21)(8,5,15,20,23,3,14,11,9)(4,10,16,22)",74.08103670980854
98,"(12,6,0,18)(1,11,3,20,16,7,23,21,14,4,13,5,15,2,10)(19,17,9,8,22)",74.08103670980854
100,"(12,8,7,11,15,22)(18,20,13,5,3,10,6,2,19,23,9,16)(1,17,21,4,0,14)",74.08103670980854
115,"(12,13,16,9,17,18,7,4,3,23,0,19,10,21,5)(1,22,15,11,6)(2,14)(8,20)",74.08103670980854
162,"(18,6)(1,10,8,5,7,16,20,23,13,22,2,17)(19,4,14,11)(9,21)",74.77967638335967
146,"(12,11,15,19,10,14,18,5,9,7,22,20,0,17,3,1,16,8)(13,4,2,6,23,21)",75.20638270785267
108,"(12,10,18,4,0,16,6,22)(1,13,19,7)(2,23,14,5,8,11,20,17)(9,15)",75.20638270785267
156,"(12,1,14,3,16,18,7,2,21,22)(13,20,9,10,6,19,8,15,4,0)(5,11,17,23)",75.20638270785267
170,"(12,6,0,18)(1,23,15,16,2,19,11,3,4,20,13,17,9,10,14,7,5,21,22,8)",75.20638270785267
195,"(12,14,7,21,23,6,20,19,3,5,18,8,13,9,11,0,2,1,15,17)(16,22)",75.20638270785267
149,"(18,0)(1,16,13,4)(19,22)(2,9)(8,3)(20,15,14,21)(10,7)(11,23,17)",75.20638270785267
39,"(12,17,16,21,2,19,6,5,10,3,8,1,0,23,22,15,20,13,18,11,4,9,14,7)",75.20638270785267
197,"(12,18,0,6)(1,17,19,5,7,11)(13,23)(2,3,16,8,15,22)(20,9,10)(21,4,14)",75.20638270785267
124,"(12,18,0)(1,17,3,13,5,9)(19,11,21,7,23,15)(2,22,14,16,8,4)(20,10)",75.41883053985921
70,"(12,20,23,9)(18,8,11,15)(1,7)(13,19)(2,5,3,0,14,17,21,6)(4,16,10)",75.41883053985921
44,"(12,0,6)(1,20,22,5,9)(13,14,4,11,21,7,2,10,23,3)(19,8,16,17,15)",75.41883053985921
113,"(18,6,0)(1,21,2)(13,3,8,7,9,14,19,15,20)(4,5,16,11,10,23,22,17)",75.41883053985921
107,"(1,21,2,4,23,13,9,8,16,5,7,15,14,22,11)(19,3,20,10,17)",75.41883053985921
142,"(12,0,6,18)(1,7,13)(2,15)(8,21,14,3,20,9)(4,10,22)(5,23,11)",75.41883053985921
147,"(12,14,6,20,18,2,0,8)(1,7)(3,21)(9,15)(4,22,16,10)(5,23,11)",75.41883053985921
133,"(12,11,20)(18,5,2,6,23,14)(1,16)(13,10,19,4,7,22)(8,0,17)(9,21)",75.41883053985921
