edge_elem_2T,idx27,src_quartet,dst_quartet,dst_in_hyperplane27,dst_idx27
(0 2 1),13,sec0_m1 sec1_m2 sec2_m2 sec3_m2,sec0_m0 sec1_m1 sec2_m1 sec3_m1,0,
(0 2 1),14,sec0_m1 sec1_m2 sec2_m0 sec3_m1,sec0_m0 sec1_m0 sec2_m1 sec3_m2,0,
(0 2 1),15,sec0_m1 sec1_m0 sec2_m1 sec3_m2,sec0_m0 sec1_m1 sec2_m2 sec3_m0,0,
(0 2 1),16,sec0_m1 sec1_m0 sec2_m2 sec3_m1,sec0_m0 sec1_m0 sec2_m2 sec3_m1,0,
(0 2 1),17,sec0_m1 sec1_m0 sec2_m0 sec3_m0,sec0_m0 sec1_m2 sec2_m2 sec3_m2,0,
(0 2 1),18,sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m1 sec1_m0 sec2_m1 sec3_m1,0,
(0 2 1),19,sec0_m2 sec1_m2 sec2_m0 sec3_m0,sec0_m1 sec1_m2 sec2_m1 sec3_m2,0,
(0 2 1),20,sec0_m2 sec1_m2 sec2_m1 sec3_m2,sec0_m1 sec1_m1 sec2_m1 sec3_m0,0,
(0 2 1),21,sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m1 sec1_m2 sec2_m2 sec3_m1,0,
(0 2 1),22,sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m1 sec1_m1 sec2_m2 sec3_m2,0,
(0 2 1),23,sec0_m2 sec1_m0 sec2_m1 sec3_m1,sec0_m1 sec1_m0 sec2_m2 sec3_m0,0,
(0 2 1),24,sec0_m2 sec1_m1 sec2_m2 sec3_m2,sec0_m1 sec1_m1 sec2_m0 sec3_m1,0,
(0 2 1),25,sec0_m2 sec1_m1 sec2_m0 sec3_m1,sec0_m1 sec1_m0 sec2_m0 sec3_m2,0,
(0 2 1),26,sec0_m2 sec1_m1 sec2_m1 sec3_m0,sec0_m1 sec1_m2 sec2_m0 sec3_m0,0,
