right_mult,max_comm,mean_comm,comm_e_star,comm_012,comm_021
e,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
e*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 1)(2 3),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 1)(2 3)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 2)(1 3),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 2)(1 3)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 3)(1 2),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 3)(1 2)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 1 2),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 1 2)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 1 3),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 1 3)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 2 1),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 2 1)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 2 3),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 2 3)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 3 1),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 3 1)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 3 2),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(0 3 2)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(1 2 3),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(1 2 3)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(1 3 2),77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
(1 3 2)*,77.14920608794364,75.48209899643048,69.05070600652827,75.63068160475615,75.63068160475615
