auto_id,triad_src,triad_dst,triad_dst_indices
3,0,1,"[19, 23, 24]"
3,1,0,"[18, 22, 26]"
3,2,2,"[20, 21, 25]"
4,0,1,"[19, 23, 24]"
4,1,0,"[18, 22, 26]"
4,2,2,"[20, 21, 25]"
5,0,1,"[19, 23, 24]"
5,1,0,"[18, 22, 26]"
5,2,2,"[20, 21, 25]"
6,0,1,"[19, 23, 24]"
6,1,0,"[18, 22, 26]"
6,2,2,"[20, 21, 25]"
7,0,1,"[19, 23, 24]"
7,1,0,"[18, 22, 26]"
7,2,2,"[20, 21, 25]"
8,0,1,"[19, 23, 24]"
8,1,0,"[18, 22, 26]"
8,2,2,"[20, 21, 25]"
