auto_id,line_id_src,line_id_dst,src_missing_sector,dst_missing_sector,expected_missing_sector,missing_sector_ok,src_completion_class,dst_completion_class,expected_completion_class,completion_ok,epsilon0,epsilon12,delta
4,16,23,2,2,1,0,sec2_m0,sec2_m2,sec1_m0,0,0,1,1
4,20,39,3,0,3,0,sec3_m2,sec0_m2,sec3_m1,0,0,1,1
4,18,3,1,1,2,0,sec1_m0,sec1_m2,sec2_m1,0,0,1,1
5,32,32,2,2,1,0,sec2_m1,sec2_m1,sec1_m2,0,0,1,1
5,39,17,0,3,0,0,sec0_m2,sec3_m1,sec0_m2,0,0,1,1
5,22,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
5,23,23,2,2,1,0,sec2_m2,sec2_m2,sec1_m0,0,0,1,1
5,30,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
5,28,6,3,0,3,0,sec3_m0,sec0_m2,sec3_m0,0,0,1,1
5,8,20,0,3,0,0,sec0_m2,sec3_m2,sec0_m2,0,0,1,1
5,17,39,3,0,3,0,sec3_m1,sec0_m2,sec3_m1,0,0,1,1
5,6,28,0,3,0,0,sec0_m2,sec3_m0,sec0_m2,0,0,1,1
5,14,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,0,1,1
5,15,15,1,1,2,0,sec1_m1,sec1_m1,sec2_m0,0,0,1,1
5,3,3,1,1,2,0,sec1_m2,sec1_m2,sec2_m1,0,0,1,1
5,16,16,2,2,1,0,sec2_m0,sec2_m0,sec1_m1,0,0,1,1
5,20,8,3,0,3,0,sec3_m2,sec0_m2,sec3_m2,0,0,1,1
5,18,18,1,1,2,0,sec1_m0,sec1_m0,sec2_m2,0,0,1,1
6,32,15,2,1,2,0,sec2_m1,sec1_m1,sec2_m0,0,1,0,1
6,39,20,0,3,0,0,sec0_m2,sec3_m2,sec0_m2,0,1,0,1
6,22,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
6,23,18,2,1,2,0,sec2_m2,sec1_m0,sec2_m2,0,1,0,1
6,30,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
6,28,6,3,0,3,0,sec3_m0,sec0_m2,sec3_m0,0,1,0,1
6,8,17,0,3,0,0,sec0_m2,sec3_m1,sec0_m2,0,1,0,1
6,17,8,3,0,3,0,sec3_m1,sec0_m2,sec3_m2,0,1,0,1
6,6,28,0,3,0,0,sec0_m2,sec3_m0,sec0_m2,0,1,0,1
6,14,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
6,15,32,1,2,1,0,sec1_m1,sec2_m1,sec1_m2,0,1,0,1
6,3,16,1,2,1,0,sec1_m2,sec2_m0,sec1_m1,0,1,0,1
6,16,3,2,1,2,0,sec2_m0,sec1_m2,sec2_m1,0,1,0,1
6,20,39,3,0,3,0,sec3_m2,sec0_m2,sec3_m1,0,1,0,1
6,18,23,1,2,1,0,sec1_m0,sec2_m2,sec1_m0,0,1,0,1
7,32,3,2,1,2,0,sec2_m1,sec1_m2,sec2_m1,0,1,0,1
7,39,28,0,3,0,0,sec0_m2,sec3_m0,sec0_m2,0,1,0,1
7,22,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
7,23,15,2,1,2,0,sec2_m2,sec1_m1,sec2_m0,0,1,0,1
7,30,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
7,28,39,3,0,3,0,sec3_m0,sec0_m2,sec3_m1,0,1,0,1
7,8,20,0,3,0,0,sec0_m2,sec3_m2,sec0_m2,0,1,0,1
7,17,6,3,0,3,0,sec3_m1,sec0_m2,sec3_m0,0,1,0,1
7,6,17,0,3,0,0,sec0_m2,sec3_m1,sec0_m2,0,1,0,1
7,14,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
7,15,23,1,2,1,0,sec1_m1,sec2_m2,sec1_m0,0,1,0,1
7,3,32,1,2,1,0,sec1_m2,sec2_m1,sec1_m2,0,1,0,1
7,16,18,2,1,2,0,sec2_m0,sec1_m0,sec2_m2,0,1,0,1
7,20,8,3,0,3,0,sec3_m2,sec0_m2,sec3_m2,0,1,0,1
7,18,16,1,2,1,0,sec1_m0,sec2_m0,sec1_m1,0,1,0,1
8,32,18,2,1,2,0,sec2_m1,sec1_m0,sec2_m2,0,1,0,1
8,39,17,0,3,0,0,sec0_m2,sec3_m1,sec0_m2,0,1,0,1
8,22,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
8,23,3,2,1,2,0,sec2_m2,sec1_m2,sec2_m1,0,1,0,1
8,30,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
8,28,8,3,0,3,0,sec3_m0,sec0_m2,sec3_m2,0,1,0,1
8,8,28,0,3,0,0,sec0_m2,sec3_m0,sec0_m2,0,1,0,1
8,17,39,3,0,3,0,sec3_m1,sec0_m2,sec3_m1,0,1,0,1
8,6,20,0,3,0,0,sec0_m2,sec3_m2,sec0_m2,0,1,0,1
8,14,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,0,1
8,15,16,1,2,1,0,sec1_m1,sec2_m0,sec1_m1,0,1,0,1
8,3,23,1,2,1,0,sec1_m2,sec2_m2,sec1_m0,0,1,0,1
8,16,15,2,1,2,0,sec2_m0,sec1_m1,sec2_m0,0,1,0,1
8,20,6,3,0,3,0,sec3_m2,sec0_m2,sec3_m0,0,1,0,1
8,18,32,1,2,1,0,sec1_m0,sec2_m1,sec1_m2,0,1,0,1
9,32,3,2,1,1,1,sec2_m1,sec1_m2,sec1_m2,1,1,1,0
9,39,6,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
9,22,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
9,23,15,2,1,1,1,sec2_m2,sec1_m1,sec1_m1,1,1,1,0
9,30,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
9,28,17,3,3,3,1,sec3_m0,sec3_m1,sec3_m1,1,1,1,0
9,8,8,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
9,17,28,3,3,3,1,sec3_m1,sec3_m0,sec3_m0,1,1,1,0
9,6,39,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
9,14,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
9,15,23,1,2,2,1,sec1_m1,sec2_m2,sec2_m2,1,1,1,0
9,3,32,1,2,2,1,sec1_m2,sec2_m1,sec2_m1,1,1,1,0
9,16,18,2,1,1,1,sec2_m0,sec1_m0,sec1_m0,1,1,1,0
9,20,20,3,3,3,1,sec3_m2,sec3_m2,sec3_m2,1,1,1,0
9,18,16,1,2,2,1,sec1_m0,sec2_m0,sec2_m0,1,1,1,0
10,32,18,2,1,1,1,sec2_m1,sec1_m0,sec1_m0,1,1,1,0
10,39,39,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
10,22,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
10,23,3,2,1,1,1,sec2_m2,sec1_m2,sec1_m2,1,1,1,0
10,30,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
10,28,20,3,3,3,1,sec3_m0,sec3_m2,sec3_m2,1,1,1,0
10,8,6,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
10,17,17,3,3,3,1,sec3_m1,sec3_m1,sec3_m1,1,1,1,0
10,6,8,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
10,14,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
10,15,16,1,2,2,1,sec1_m1,sec2_m0,sec2_m0,1,1,1,0
10,3,23,1,2,2,1,sec1_m2,sec2_m2,sec2_m2,1,1,1,0
10,16,15,2,1,1,1,sec2_m0,sec1_m1,sec1_m1,1,1,1,0
10,20,28,3,3,3,1,sec3_m2,sec3_m0,sec3_m0,1,1,1,0
10,18,32,1,2,2,1,sec1_m0,sec2_m1,sec2_m1,1,1,1,0
11,32,15,2,1,1,1,sec2_m1,sec1_m1,sec1_m1,1,1,1,0
11,39,8,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
11,22,22,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
11,23,18,2,1,1,1,sec2_m2,sec1_m0,sec1_m0,1,1,1,0
11,30,14,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
11,28,28,3,3,3,1,sec3_m0,sec3_m0,sec3_m0,1,1,1,0
11,8,39,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
11,17,20,3,3,3,1,sec3_m1,sec3_m2,sec3_m2,1,1,1,0
11,6,6,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
11,14,30,0,0,0,1,sec0_m2,sec0_m2,sec0_m2,1,1,1,0
11,15,32,1,2,2,1,sec1_m1,sec2_m1,sec2_m1,1,1,1,0
11,3,16,1,2,2,1,sec1_m2,sec2_m0,sec2_m0,1,1,1,0
11,16,3,2,1,1,1,sec2_m0,sec1_m2,sec1_m2,1,1,1,0
11,20,17,3,3,3,1,sec3_m2,sec3_m1,sec3_m1,1,1,1,0
11,18,23,1,2,2,1,sec1_m0,sec2_m2,sec2_m2,1,1,1,0
