generator,commutator_frobenius
"(1,3,2,4)(5,7,6,8)(9,24,10,23)(11,21,12,22)(13,19,14,20)(15,17,16,18)",8.722385e+01
"(1,9,14,2,10,13)(3,16,22,4,15,21)(5,24,12,6,23,11)(7,17,19,8,18,20)",8.452219e+01
