epsilon,orbit_id,size,lines,mean_abs_delta_mean,mean_abs_delta_min,mean_abs_delta_max,rank_min,rank_max
epsilon0,0,3,16 23 32,0.005996658594368948,0.0032006867810644326,0.010237910224970097,14,27
epsilon0,1,3,3 15 18,0.011510422334590683,0.010631870193550426,0.012527663677193357,6,10
epsilon0,2,6,6 8 17 20 28 39,0.008886378995787095,0.00034271195484016217,0.02892248524455424,1,40
epsilon0,3,3,14 22 30,0.0059002013732549095,0.0033015429176538303,0.010940248884698443,9,26
epsilon12,0,6,3 15 16 18 23 32,0.008753540464479815,0.0032006867810644326,0.012527663677193357,6,27
epsilon12,1,6,6 8 17 20 28 39,0.008886378995787095,0.00034271195484016217,0.02892248524455424,1,40
epsilon12,2,3,14 22 30,0.0059002013732549095,0.0033015429176538303,0.010940248884698443,9,26
