line_id,orbit_id,orbit_size_lines,orbit_size_quartets,stabilizer_auto_ids,line_type,type,proj_quartet_str,rank_mean_abs_delta,mean_abs_delta,card_basis,var_q_class,response_r2,coef_delta_coh,coef_flux_coh,coef_flux_def_mass
20,3,6,6,0 9,other,rainbow,sec0_m2 sec1_m1 sec2_m2 sec3_m2,40,0.00034271195484016217,1♠ 4♡ 6♢ 8♢,mid(1/3),0.5575926293518451,1.5906977409095797,-0.8747698175764621,-0.12777004097363936
24,4,3,1,0 1 2 3 4 5 6 7 8 9 10 11,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,13,0.010319501724717722,2♣ 4♢ 9♣ 10♠,low(1/9),0.1735644752786829,-13.000550599089825,8.313744165341445,0.703764160468832
9,4,3,1,0 1 2 3 4 5 6 7 8 9 10 11,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,17,0.00580191202414908,6♡ 7♢ 8♠ 9♣,low(1/9),0.6149480224573791,-29.85221783812327,20.864471794448907,1.8339755252106589
31,4,3,1,0 1 2 3 4 5 6 7 8 9 10 11,monochrome12,monochrome,sec0_m0 sec0_m1 sec0_m2,39,0.000370515122765257,1♠ 3♡ 5♣ 9♣,mid(1/3),0.248986548308891,3.081648637918687,-2.018238640658019,-0.19936568574799687
10,5,1,1,0 1 2 3 4 5 6 7 8 9 10 11,rank_spread,hub_transversal,sec0_m0 sec0_m1 sec0_m2 sec1_m0 sec1_m1 sec1_m2 sec2_m0 sec2_m1 sec2_m2 sec3_m0 sec3_m1 sec3_m2,37,0.0008676125495143917,9♠ 9♡ 9♢ 9♣,low(1/9),0.618392430072748,5.493780951502209,-3.525424240427902,-0.3840576036315098
12,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,11,0.01058666121468017,6♠ 7♡ 8♣ 9♢,low(1/9),0.9883123298620848,0.7986899286176854,0.40425811397135575,-0.29847601029784787
33,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,16,0.006999920696372897,5♢ 6♣ 9♠ 10♡,low(1/9),0.8378448126017246,-21.216034238551593,14.648334870680188,1.2657183764992868
38,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,18,0.005325899839630405,2♠ 4♡ 9♢ 10♢,low(1/9),0.9777003659274645,4.203817139102474,-4.855766962447438,0.10206047858356498
25,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec2_m0 sec2_m1 sec2_m2,23,0.003458812317412455,1♢ 3♢ 5♡ 9♢,mid(1/3),0.9836541684312106,-3.6730387894800165,3.06237615365064,0.11365449685358665
29,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,25,0.0033475162644040655,2♢ 3♣ 8♢ 9♠,low(1/9),0.747732338213597,24.118613110488173,-14.346298710064085,-2.010399221416444
27,6,6,2,0 1 2 6 7 8,monochrome12,monochrome,sec1_m0 sec1_m1 sec1_m2,31,0.0023438753185715654,1♡ 4♠ 7♠ 9♠,mid(1/3),0.7077907923171531,-4.95657769941479,3.4117401468470336,0.2940638169987643
14,7,3,3,0 5 6 11,other,rainbow,sec0_m2 sec1_m1 sec2_m0 sec3_m1,9,0.010940248884698443,2♢ 4♣ 5♣ 6♠,low(1/9),0.9887261937932268,0.9822065784070035,0.30486698892976216,-0.31624512341628513
30,7,3,3,0 5 6 11,rank_spread,rainbow,sec0_m2 sec1_m2 sec2_m1 sec3_m2,24,0.003458812317412455,5♠ 5♡ 5♢ 5♣,low(1/9),0.9836541684312106,-3.6730387894800165,3.06237615365064,0.11365449685358665
22,7,3,3,0 5 6 11,other,rainbow,sec0_m2 sec1_m0 sec2_m2 sec3_m0,26,0.0033015429176538303,5♣ 7♠ 8♡ 10♢,low(1/9),0.09795825569568672,-9.375827381137999,5.5403164136750265,0.6959481425519692
