auto_index,map_0,map_1,map_4,map_6,map_13,map_16,map_18,map_19,map_20,map_22,map_23,map_24,map_25,map_26,map_27,map_32,map_34,map_35,map_38,map_40,map_41,map_47,map_48,map_52,map_53,map_54,map_56
0,0,1,4,6,13,16,18,19,20,22,23,24,25,26,27,32,34,35,38,40,41,47,48,52,53,54,56
1,32,26,22,6,34,27,48,47,56,4,23,24,52,1,16,0,13,54,38,40,41,19,18,25,53,35,20
2,35,1,22,6,20,16,48,52,13,4,40,24,47,26,27,54,56,0,38,23,53,25,18,19,41,32,34
3,54,26,4,6,56,27,18,25,34,22,40,24,19,1,16,35,20,32,38,23,53,52,48,47,41,0,13
4,19,53,18,24,56,23,4,0,20,48,16,6,54,41,40,52,34,47,38,27,26,35,22,32,1,25,13
5,25,41,18,24,13,40,4,54,34,48,27,6,0,53,23,47,20,52,38,16,1,32,22,35,26,19,56
6,47,53,48,24,20,23,22,32,56,18,27,6,35,41,40,25,13,19,38,16,1,54,4,0,26,52,34
7,52,41,48,24,34,40,22,35,13,18,16,6,32,53,23,19,56,25,38,27,26,0,4,54,1,47,20
