label,mean,median,max
(0 1 2),53.43368048476929,54.55272678794342,54.55272678794342
(0 2 1),49.86733098092901,50.91168824543142,50.91168824543142
e*,18.760731157936583,19.595917942265423,19.595917942265423
e,0.0,0.0,0.0
