auto_id,delta,line_a,line_b,abs_diff_mean_abs_delta
1,0,6,8,0.0260586793491824
2,0,6,8,0.0260586793491824
10,0,6,8,0.0260586793491824
1,0,6,39,0.0165888965581694
2,0,6,39,0.0165888965581694
9,0,6,39,0.0165888965581694
1,0,8,39,0.009469782791013001
2,0,8,39,0.009469782791013001
11,0,8,39,0.009469782791013001
11,0,3,16,0.0093269768961289
9,0,16,18,0.0081710463519638
10,0,3,23,0.007976284900120999
1,0,14,22,0.0076387059670446
2,0,14,22,0.0076387059670446
9,0,14,22,0.0076387059670446
1,0,14,30,0.007481436567285999
2,0,14,30,0.007481436567285999
11,0,14,30,0.007481436567285999
10,0,15,16,0.007431183412485999
1,0,16,32,0.0070372234439056
2,0,16,32,0.0070372234439056
11,0,18,23,0.0068203543559559
9,0,15,23,0.0060804914164781
1,0,23,32,0.005686531447897701
2,0,23,32,0.005686531447897701
9,0,3,32,0.002289753452223299
1,0,3,15,0.0018957934836428998
2,0,3,15,0.0018957934836428998
1,0,16,23,0.0013506919960078996
2,0,16,23,0.0013506919960078996
1,0,3,18,0.0011559305441650996
2,0,3,18,0.0011559305441650996
10,0,18,32,0.0011338229080581994
1,0,17,20,0.0009461931677045
2,0,17,20,0.0009461931677045
11,0,17,20,0.0009461931677045
1,0,17,28,0.0008412418186742
2,0,17,28,0.0008412418186742
9,0,17,28,0.0008412418186742
1,0,15,18,0.0007398629394778002
2,0,15,18,0.0007398629394778002
11,0,15,32,0.0003939599685803992
1,0,22,30,0.00015726939975860017
2,0,22,30,0.00015726939975860017
10,0,22,30,0.00015726939975860017
1,0,20,28,0.00010495134903029999
2,0,20,28,0.00010495134903029999
10,0,20,28,0.00010495134903029999
0,0,32,32,0.0
0,0,39,39,0.0
0,0,22,22,0.0
0,0,23,23,0.0
0,0,30,30,0.0
0,0,28,28,0.0
0,0,8,8,0.0
0,0,17,17,0.0
0,0,6,6,0.0
0,0,14,14,0.0
0,0,15,15,0.0
0,0,3,3,0.0
0,0,16,16,0.0
0,0,20,20,0.0
0,0,18,18,0.0
9,0,30,30,0.0
9,0,8,8,0.0
9,0,20,20,0.0
10,0,39,39,0.0
10,0,17,17,0.0
10,0,14,14,0.0
11,0,22,22,0.0
11,0,28,28,0.0
11,0,6,6,0.0
5,1,8,20,0.028579773289714103
7,1,8,20,0.028579773289714103
3,1,8,28,0.028474821940683803
4,1,8,28,0.028474821940683803
8,1,8,28,0.028474821940683803
3,1,8,17,0.0276335801220096
4,1,8,17,0.0276335801220096
6,1,8,17,0.0276335801220096
3,1,20,39,0.0191099904987011
4,1,20,39,0.0191099904987011
6,1,20,39,0.0191099904987011
3,1,28,39,0.0190050391496708
4,1,28,39,0.0190050391496708
7,1,28,39,0.0190050391496708
5,1,17,39,0.0181637973309966
8,1,17,39,0.0181637973309966
6,1,3,16,0.0093269768961289
7,1,16,18,0.0081710463519638
8,1,3,23,0.007976284900120999
3,1,14,22,0.0076387059670446
4,1,14,22,0.0076387059670446
7,1,14,22,0.0076387059670446
3,1,14,30,0.007481436567285999
4,1,14,30,0.007481436567285999
6,1,14,30,0.007481436567285999
8,1,15,16,0.007431183412485999
3,1,16,32,0.0070372234439056
4,1,16,32,0.0070372234439056
6,1,18,23,0.0068203543559559
7,1,15,23,0.0060804914164781
3,1,23,32,0.005686531447897701
4,1,23,32,0.005686531447897701
3,1,6,20,0.0025210939405316997
4,1,6,20,0.0025210939405316997
8,1,6,20,0.0025210939405316997
5,1,6,28,0.0024161425915014
6,1,6,28,0.0024161425915014
7,1,3,32,0.002289753452223299
3,1,3,15,0.0018957934836428998
4,1,3,15,0.0018957934836428998
3,1,6,17,0.0015749007728271998
4,1,6,17,0.0015749007728271998
7,1,6,17,0.0015749007728271998
3,1,16,23,0.0013506919960078996
4,1,16,23,0.0013506919960078996
3,1,3,18,0.0011559305441650996
4,1,3,18,0.0011559305441650996
8,1,18,32,0.0011338229080581994
3,1,15,18,0.0007398629394778002
4,1,15,18,0.0007398629394778002
6,1,15,32,0.0003939599685803992
3,1,22,30,0.00015726939975860017
4,1,22,30,0.00015726939975860017
8,1,22,30,0.00015726939975860017
5,1,32,32,0.0
5,1,22,22,0.0
5,1,23,23,0.0
5,1,30,30,0.0
5,1,14,14,0.0
5,1,15,15,0.0
5,1,3,3,0.0
5,1,16,16,0.0
5,1,18,18,0.0
6,1,22,22,0.0
7,1,30,30,0.0
8,1,14,14,0.0
