mu,t,line_id,prob,mask_size,density
0.0,0.0,0,0.0,2,0.0
0.0,0.0,1,0.0,8,0.0
0.0,0.0,2,1.0,8,0.125
0.0,0.0,3,1.0,8,0.125
0.0,0.0,4,0.0,8,0.0
0.0,0.0,5,0.0,8,0.0
0.0,0.0,6,0.0,8,0.0
0.0,0.0,7,1.0,8,0.125
0.0,0.0,8,0.0,8,0.0
0.0,0.0,9,1.0,2,0.5
0.0,0.0,10,1.0,24,0.041666666666666664
0.0,0.0,11,1.0,8,0.125
0.0,0.0,12,0.0,2,0.0
0.0,0.0,13,1.0,8,0.125
0.0,0.0,14,0.0,8,0.0
0.0,0.0,15,1.0,8,0.125
0.0,0.0,16,0.0,8,0.0
0.0,0.0,17,0.0,8,0.0
0.0,0.0,18,1.0,8,0.125
0.0,0.0,19,0.0,8,0.0
0.0,0.0,20,0.0,8,0.0
0.0,0.0,21,1.0,8,0.125
0.0,0.0,22,0.0,8,0.0
0.0,0.0,23,0.0,8,0.0
0.0,0.0,24,0.0,2,0.0
0.0,0.0,25,0.0,2,0.0
0.0,0.0,26,0.0,8,0.0
0.0,0.0,27,0.0,2,0.0
0.0,0.0,28,0.0,8,0.0
0.0,0.0,29,0.0,2,0.0
0.0,0.0,30,0.0,8,0.0
0.0,0.0,31,0.0,2,0.0
0.0,0.0,32,0.0,8,0.0
0.0,0.0,33,0.0,2,0.0
0.0,0.0,34,0.0,2,0.0
0.0,0.0,35,0.0,8,0.0
0.0,0.0,36,1.0,8,0.125
0.0,0.0,37,0.0,2,0.0
0.0,0.0,38,0.0,2,0.0
0.0,0.0,39,0.0,8,0.0
0.0,0.25,0,0.01348384007880898,2,0.00674192003940449
0.0,0.25,1,0.04560247233577358,8,0.005700309041971698
0.0,0.25,2,0.8130875991324715,8,0.10163594989155894
0.0,0.25,3,0.7883171638476366,8,0.09853964548095458
0.0,0.25,4,0.01998901622935281,8,0.002498627028669101
0.0,0.25,5,0.006177407945289031,8,0.0007721759931611289
0.0,0.25,6,0.1757220173921153,8,0.02196525217401441
0.0,0.25,7,0.8029830611146401,8,0.10037288263933002
0.0,0.25,8,0.18952673472697834,8,0.023690841840872293
0.0,0.25,9,0.7869168000075015,2,0.39345840000375076
0.0,0.25,10,1.0000000000000004,24,0.041666666666666685
0.0,0.25,11,0.8130944900816722,8,0.10163681126020903
0.0,0.25,12,0.013477147231586384,2,0.006738573615793192
0.0,0.25,13,0.8042958573277331,8,0.10053698216596664
0.0,0.25,14,0.1757151264429146,8,0.021964390805364324
0.0,0.25,15,0.813948779064612,8,0.1017435973830765
0.0,0.25,16,0.020843305212292582,8,0.002605413151536573
0.0,0.25,17,0.1748608374599748,8,0.02185760468249685
0.0,0.25,18,0.8034528365061473,8,0.10043160456326841
0.0,0.25,19,0.011190383475413557,8,0.0013987979344266947
0.0,0.25,20,0.16608036381659028,8,0.020760045477073785
0.0,0.25,21,0.7883353229581913,8,0.09854191536977391
0.0,0.25,22,0.19083953094007128,8,0.02385494136750891
0.0,0.25,23,0.021294921493245016,8,0.002661865186655627
0.0,0.25,24,0.006000628120194934,2,0.003000314060097467
0.0,0.25,25,5.299309017851586e-05,2,2.649654508925793e-05
0.0,0.25,26,0.0221561014253855,8,0.0027695126781731873
0.0,0.25,27,0.01264085690518328,2,0.00632042845259164
0.0,0.25,28,0.19036975554856414,8,0.023796219443570518
0.0,0.25,29,7.09917467151828e-05,2,3.54958733575914e-05
0.0,0.25,30,0.16475629944214337,8,0.02059453743026792
0.0,0.25,31,0.16211419247641262,2,0.08105709623820631
0.0,0.25,32,0.02083203705093857,8,0.0026040046313673213
0.0,0.25,33,0.0012945757617561396,2,0.0006472878808780698
0.0,0.25,34,5.2794988200398176e-05,2,2.6397494100199088e-05
0.0,0.25,35,0.020825146101737857,8,0.002603143262717232
0.0,0.25,36,0.7896412282220835,8,0.09870515352776044
0.0,0.25,37,0.0012945381137960815,2,0.0006472690568980408
0.0,0.25,38,0.002600641479666403,2,0.0013003207398332014
0.0,0.25,39,0.16606220470603558,8,0.020757775588254448
0.0,0.5,0,0.03422601032922723,2,0.017113005164613615
0.0,0.5,1,0.1590057577515933,8,0.019875719718949164
0.0,0.5,2,0.4245673503448463,8,0.053070918793105784
0.0,0.5,3,0.3812636200207814,8,0.047657952502597675
0.0,0.5,4,0.10738825355315909,8,0.013423531694144886
0.0,0.5,5,0.07285864237709246,8,0.009107330297136557
0.0,0.5,6,0.45336292565638525,8,0.056670365707048156
0.0,0.5,7,0.4246710651028144,8,0.0530838831378518
0.0,0.5,8,0.4876237385676199,8,0.06095296732095249
0.0,0.5,9,0.362280280683058,2,0.181140140341529
0.0,0.5,10,1.0,24,0.041666666666666664
0.0,0.5,11,0.4248361486096782,8,0.05310451857620978
0.0,0.5,12,0.0339953276306393,2,0.01699766381531965
0.0,0.5,13,0.43951761905528786,8,0.05493970238191098
0.0,0.5,14,0.4530941273915533,8,0.05663676592394416
0.0,0.5,15,0.43371398251564464,8,0.05421424781445558
0.0,0.5,16,0.11626608745912545,8,0.014533260932390681
0.0,0.5,17,0.44421629348558694,8,0.05552703668569837
0.0,0.5,18,0.4312038451809185,8,0.05390048064761481
0.0,0.5,19,0.1220697239987687,8,0.015258715499846087
0.0,0.5,20,0.4597306222276255,8,0.05746632777845319
0.0,0.5,21,0.3820964783172104,8,0.0477620597896513
0.0,0.5,22,0.5024702925200933,8,0.06280878656501167
0.0,0.5,23,0.12196600924080057,8,0.015245751155100072
0.0,0.5,24,0.06486450615309466,2,0.03243225307654733
