set,line,k,intersection
missing,0001|0100|0101,2,0001 0100
missing,0001|1000|1001,2,0001 1000
missing,0001|1100|1101,1,0001
missing,0010|0100|0110,2,0100 0110
missing,0010|1000|1010,1,1000
missing,0010|1100|1110,0,
missing,0011|0100|0111,2,0011 0100
missing,0011|1000|1011,2,0011 1000
missing,0011|1100|1111,1,0011
missing,0101|1010|1111,0,
missing,0101|1011|1110,0,
missing,0110|1001|1111,1,0110
missing,0110|1011|1101,1,0110
missing,0111|1001|1110,0,
missing,0111|1010|1101,0,
