,R0,R1,R2,R3,R4
E0,1,15,20,24,30
E1,1,15/4,-5/2,3/2,-15/4
E2,1,0,5,-6,0
E3,1,-15/4,-5/2,3/2,15/4
E4,1,-15,20,24,-30
