u,v
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
1,11
1,13
1,15
1,19
1,21
1,23
1,27
1,29
1,31
1,33
1,34
1,35
2,12
2,14
2,16
2,20
2,22
2,24
2,28
2,30
2,32
2,33
2,34
2,35
3,10
3,14
3,15
3,18
3,22
3,23
3,26
3,30
3,31
3,36
3,39
3,42
4,9
4,13
4,16
4,17
4,21
4,24
4,25
4,29
4,32
4,36
4,39
4,42
5,10
5,11
5,16
5,18
5,19
5,24
5,26
5,27
5,32
5,38
5,41
5,44
6,9
6,12
6,15
6,17
6,20
6,23
6,25
6,28
6,31
6,38
6,41
6,44
7,10
7,12
7,13
7,18
7,20
7,21
7,26
7,28
7,29
7,37
7,40
7,43
8,9
8,11
8,14
8,17
8,19
8,22
8,25
8,27
8,30
8,37
8,40
8,43
9,19
9,21
9,23
9,28
9,30
9,32
9,36
9,37
9,38
10,20
10,22
10,24
10,27
10,29
10,31
10,36
10,37
10,38
11,18
11,22
11,23
11,25
11,29
11,32
11,33
11,41
11,43
12,17
12,21
12,24
12,26
12,30
12,31
12,33
12,41
12,43
13,18
13,19
13,24
13,25
13,28
13,31
13,35
13,40
13,42
14,17
14,20
14,23
14,26
14,27
14,32
14,35
14,40
14,42
15,18
15,20
15,21
15,25
15,27
15,30
15,34
15,39
15,44
16,17
16,19
16,22
16,26
16,28
16,29
16,34
16,39
16,44
17,27
17,29
17,31
17,39
17,40
17,41
18,28
18,30
18,32
18,39
18,40
18,41
19,26
19,30
19,31
19,35
19,37
19,44
20,25
20,29
20,32
20,35
20,37
20,44
21,26
21,27
21,32
21,34
21,36
21,43
22,25
22,28
22,31
22,34
22,36
22,43
23,26
23,28
23,29
23,33
23,38
23,42
24,25
24,27
24,30
24,33
24,38
24,42
25,42
25,43
25,44
26,42
26,43
26,44
27,34
27,38
27,40
28,34
28,38
28,40
29,33
29,37
29,39
30,33
30,37
30,39
31,35
31,36
31,41
32,35
32,36
32,41
33,36
33,40
33,44
34,37
34,41
34,42
35,38
35,39
35,43
36,40
36,44
37,41
37,42
38,39
38,43
39,43
40,44
41,42
