u,v
0,45
0,46
0,47
0,51
0,52
0,53
0,55
0,57
0,59
0,61
0,63
0,64
0,67
0,68
0,71
0,73
0,75
0,77
0,79
0,80
0,82
0,85
0,86
0,88
1,11
1,13
1,15
1,19
1,21
1,23
1,27
1,29
1,31
1,45
1,46
1,47
1,51
1,52
1,53
1,72
1,74
1,76
1,78
1,81
1,83
1,84
1,87
1,89
2,12
2,14
2,16
2,20
2,22
2,24
2,28
2,30
2,32
2,45
2,46
2,47
2,51
2,52
2,53
2,54
2,56
2,58
2,60
2,62
2,65
2,66
2,69
2,70
3,10
3,14
3,15
3,18
3,22
3,23
3,26
3,30
3,31
3,39
3,40
3,41
3,55
3,58
3,61
3,65
3,67
3,70
3,73
3,76
3,79
3,83
3,85
3,89
4,9
4,13
4,16
4,17
4,21
4,24
4,25
4,29
4,32
4,36
4,37
4,38
4,55
4,56
4,61
4,62
4,67
4,69
4,73
4,74
4,79
4,81
4,85
4,87
5,10
5,11
5,16
5,18
5,19
5,24
5,26
5,27
5,32
5,39
5,40
5,41
5,56
5,59
5,62
5,64
5,69
5,71
5,72
5,75
5,78
5,80
5,84
5,86
6,9
6,12
6,15
6,17
6,20
6,23
6,25
6,28
6,31
6,36
6,37
6,38
6,54
6,59
6,60
6,64
6,66
6,71
6,75
6,76
6,80
6,83
6,86
6,89
7,10
7,12
7,13
7,18
7,20
7,21
7,26
7,28
7,29
7,39
7,40
7,41
7,54
7,57
7,60
7,63
7,66
7,68
7,74
7,77
7,81
7,82
7,87
7,88
8,9
8,11
8,14
8,17
8,19
8,22
8,25
8,27
8,30
8,36
8,37
8,38
8,57
8,58
8,63
8,65
8,68
8,70
8,72
8,77
8,78
8,82
8,84
8,88
9,19
9,21
9,23
9,28
9,30
9,32
9,48
9,49
9,50
9,55
9,57
9,59
9,66
9,69
9,70
9,73
9,75
9,77
9,84
9,87
9,89
10,20
10,22
10,24
10,27
10,29
10,31
10,42
10,43
10,44
10,55
10,57
10,59
10,60
10,62
10,65
10,73
10,75
10,77
10,78
10,81
10,83
11,18
11,22
11,23
11,25
11,29
11,32
11,35
11,38
11,41
11,44
11,45
11,50
11,51
11,64
11,65
11,68
11,69
11,81
11,82
11,86
11,89
12,17
12,21
12,24
12,26
12,30
12,31
12,34
12,37
12,40
12,43
12,45
12,49
12,51
12,62
12,64
12,68
12,70
12,82
12,83
12,86
12,87
13,18
13,19
13,24
13,25
13,28
13,31
13,35
13,38
13,41
13,43
13,47
13,48
13,52
13,62
13,63
13,66
13,67
13,79
13,83
13,84
13,88
14,17
14,20
14,23
14,26
14,27
14,32
14,34
14,37
14,40
14,42
14,47
14,50
14,52
14,60
14,63
14,67
14,69
14,78
14,79
14,88
14,89
15,18
15,20
15,21
15,25
15,27
15,30
15,35
15,38
15,41
15,42
15,46
15,49
15,53
15,60
15,61
15,70
15,71
15,78
15,80
15,85
15,87
16,17
16,19
16,22
16,26
16,28
16,29
16,34
16,37
16,40
16,44
16,46
16,48
16,53
16,61
16,65
16,66
16,71
16,80
16,81
16,84
16,85
17,27
17,29
17,31
17,48
17,49
17,50
17,54
17,56
17,58
17,61
17,63
17,64
17,78
17,81
17,83
17,85
17,86
17,88
18,28
18,30
18,32
18,42
18,43
18,44
18,61
18,63
18,64
18,66
18,69
18,70
18,72
18,74
18,76
18,85
18,86
18,88
19,26
19,30
19,31
19,35
19,36
19,40
19,44
19,47
19,50
19,52
19,56
19,57
19,70
19,71
19,74
19,77
19,80
19,83
20,25
20,29
20,32
20,34
20,38
20,39
20,43
20,47
20,49
20,52
20,57
20,58
20,69
20,71
20,76
20,77
20,80
20,81
21,26
21,27
21,32
21,35
21,36
21,40
21,43
21,46
21,48
21,53
21,54
21,55
21,68
21,69
21,73
21,76
21,78
21,82
22,25
22,28
22,31
22,34
22,38
22,39
22,42
22,46
22,50
22,53
22,55
22,56
22,66
22,68
22,72
22,73
22,82
22,83
23,26
23,28
23,29
23,35
23,36
23,40
23,42
23,45
23,49
23,51
23,58
23,59
23,66
23,67
23,72
23,75
23,79
23,81
24,25
24,27
24,30
24,34
24,38
24,39
24,44
24,45
24,48
24,51
24,54
24,59
24,67
24,70
24,74
24,75
24,78
24,79
25,48
25,49
25,50
25,60
25,62
25,65
25,67
25,68
25,71
25,72
25,74
25,76
25,79
25,80
25,82
26,42
26,43
26,44
26,54
26,56
26,58
26,67
26,68
26,71
26,79
26,80
26,82
26,84
26,87
26,89
27,35
27,37
27,39
27,44
27,46
27,50
27,53
27,58
27,59
27,62
27,63
27,75
27,76
27,87
27,88
28,34
28,36
28,41
28,43
28,46
28,49
28,53
28,56
28,59
28,63
28,65
28,74
28,75
28,88
28,89
29,35
29,37
29,39
29,43
29,45
29,48
29,51
29,56
29,57
29,60
29,61
29,72
29,77
29,85
29,89
30,34
30,36
30,41
30,42
30,45
30,50
30,51
30,54
30,57
30,61
30,62
30,76
30,77
30,84
30,85
31,35
31,37
31,39
31,42
31,47
31,49
31,52
31,54
31,55
31,64
31,65
31,73
31,74
31,84
31,86
32,34
32,36
32,41
32,44
32,47
32,48
32,52
32,55
32,58
32,60
32,64
32,72
32,73
32,86
32,87
33,45
33,46
33,47
33,51
33,52
33,53
33,55
33,57
33,59
33,61
33,63
33,64
33,67
33,68
33,71
33,73
33,75
33,77
33,79
33,80
33,82
33,85
33,86
33,88
34,45
34,46
34,47
34,51
34,52
34,53
34,54
34,56
34,58
34,60
34,62
34,65
34,66
34,69
34,70
35,45
35,46
35,47
35,51
35,52
35,53
35,72
35,74
35,76
35,78
35,81
35,83
35,84
35,87
35,89
36,48
36,49
36,50
36,55
36,57
36,59
36,66
36,69
36,70
36,73
36,75
36,77
36,84
36,87
36,89
37,48
37,49
37,50
37,54
37,56
37,58
37,61
37,63
37,64
37,78
37,81
37,83
37,85
37,86
37,88
38,48
38,49
38,50
38,60
38,62
38,65
38,67
38,68
38,71
38,72
38,74
38,76
38,79
38,80
38,82
39,42
39,43
39,44
39,55
39,57
39,59
39,60
39,62
39,65
39,73
39,75
39,77
39,78
39,81
39,83
40,42
40,43
40,44
40,54
40,56
40,58
40,67
40,68
40,71
40,79
40,80
40,82
40,84
40,87
40,89
41,42
41,43
41,44
41,61
41,63
41,64
41,66
41,69
41,70
41,72
41,74
41,76
41,85
41,86
41,88
42,55
42,58
42,61
42,65
42,67
42,70
42,73
42,76
42,79
42,83
42,85
42,89
43,54
43,57
43,60
43,63
43,66
43,68
43,74
43,77
43,81
43,82
43,87
43,88
44,56
44,59
44,62
44,64
44,69
44,71
44,72
44,75
44,78
44,80
44,84
44,86
45,54
45,55
45,62
45,63
45,70
45,71
45,72
45,73
45,80
45,81
45,88
45,89
46,56
46,57
46,64
46,65
46,66
46,67
46,76
46,77
46,78
46,79
46,86
46,87
47,58
47,59
47,60
47,61
47,68
47,69
47,74
47,75
47,82
47,83
47,84
47,85
48,55
48,56
48,61
48,62
48,67
48,69
48,73
48,74
48,79
48,81
48,85
48,87
49,54
49,59
49,60
49,64
49,66
49,71
49,75
49,76
49,80
49,83
49,86
49,89
50,57
50,58
50,63
50,65
50,68
50,70
50,72
50,77
50,78
50,82
50,84
50,88
51,54
51,55
51,62
51,63
51,70
51,71
51,72
51,73
51,80
51,81
51,88
51,89
52,58
52,59
52,60
52,61
52,68
52,69
52,74
52,75
52,82
52,83
52,84
52,85
53,56
53,57
53,64
53,65
53,66
53,67
53,76
53,77
53,78
53,79
53,86
53,87
54,62
54,64
54,68
54,70
54,82
54,83
54,86
54,87
55,63
55,65
55,69
55,71
55,80
55,83
55,87
55,88
56,61
56,65
56,66
56,71
56,80
56,81
56,84
56,85
57,60
57,64
57,67
57,70
57,79
57,81
57,84
57,86
58,60
58,63
58,67
58,69
58,78
58,79
58,88
58,89
59,61
59,62
59,66
59,68
59,78
59,82
59,85
59,89
60,69
60,71
60,76
60,77
60,80
60,81
61,68
61,70
61,75
61,76
61,81
61,82
62,67
62,70
62,74
62,75
62,78
62,79
63,66
63,71
63,73
63,74
63,78
63,80
64,67
64,69
64,72
64,77
64,79
64,83
65,66
65,68
65,72
65,73
65,82
65,83
66,74
66,75
66,88
66,89
67,74
67,77
67,86
67,89
68,72
68,75
68,85
68,87
69,72
69,73
69,86
69,87
70,76
70,77
70,84
70,85
71,73
71,76
71,84
71,88
72,81
72,82
72,86
72,89
73,80
73,83
73,87
73,88
74,79
74,83
74,84
74,88
75,78
75,82
75,85
75,89
76,78
76,80
76,85
76,87
77,79
77,81
77,84
77,86
78,87
78,88
79,86
79,89
80,84
80,88
81,85
81,89
82,85
82,87
83,84
83,86
