sec,lines_count,k6_dom_k,k6_dom_frac,k6_entropy,k6_kl_global,k3_dom_k,k3_dom_frac,k3_entropy,k3_kl_global,k6_counts_json,k3_counts_json
0,39,0,0.4384,2.2722,0.000788,0,0.5616,1.4274,0.000281,"{""0"": 192, ""1"": 60, ""2"": 36, ""3"": 54, ""4"": 36, ""5"": 60}","{""0"": 246, ""1"": 96, ""2"": 96}"
1,39,0,0.4315,2.2841,0.005584,0,0.5479,1.4427,0.004316,"{""0"": 189, ""1"": 66, ""2"": 33, ""3"": 51, ""4"": 42, ""5"": 57}","{""0"": 240, ""1"": 108, ""2"": 90}"
2,39,0,0.4315,2.2715,0.003116,0,0.5822,1.3975,0.001071,"{""0"": 189, ""1"": 63, ""2"": 33, ""3"": 66, ""4"": 33, ""5"": 54}","{""0"": 255, ""1"": 96, ""2"": 87}"
3,39,0,0.4315,2.2847,0.005035,0,0.5822,1.3975,0.001071,"{""0"": 189, ""1"": 54, ""2"": 33, ""3"": 66, ""4"": 42, ""5"": 54}","{""0"": 255, ""1"": 96, ""2"": 87}"
