"line_id","card_basis","line_type","type","proj_quartet_str","rainbow_m_tuple_SHDC","var_q_class","var_q_r","canon_mean_abs_delta","canon_mean_delta","native_mean_abs_delta","native_mean_delta","canon_rank","native_rank","rank_delta","flux_winner_count","noflux_winner_count","unique_k_mod6","unique_k_mod3","coord0_unique_k_mod6","coord1_unique_k_mod6","coord2_unique_k_mod6","coord3_unique_k_mod6","k_mod6_counts","k_mod3_counts"
"16","3♣ 4♢ 5♠ 7♡","other","rainbow","sec0_m1 sec1_m1 sec2_m0 sec3_m2","1,1,0,2","low(1/9)","0.111111","0.0032006867810644","0.0012078857539475","1.33306049256639","1.33306049256639","27","34","7","0","0","5","3","1","2","2","2","{""0"":4,""1"":2,""3"":1,""4"":3,""5"":2}","{""0"":5,""1"":5,""2"":2}"
"17","1♠ 1♡ 1♢ 1♣","rank_spread","rainbow","sec0_m2 sec1_m0 sec2_m1 sec3_m1","2,0,1,1","high(1)","1.0","0.0012889051225446","0.0012889051225446","0.847793906948965","0.847793906948965","36","39","3","0","0","1","1","1","1","1","1","{""0"":4}","{""0"":4}"
"18","1♡ 2♠ 5♠ 8♠","other","rainbow","sec0_m0 sec1_m0 sec2_m2 sec3_m2","0,0,2,2","mid(1/3)","0.333333","0.0113717331330282","-0.0113717331330282","1.22196840314173","1.22196840314173","7","36","29","0","0","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"19","10♠ 10♡ 10♢ 10♣","rank_spread","rainbow","sec0_m1 sec1_m2 sec2_m2 sec3_m2","1,2,2,2","low(1/9)","0.111111","0.0235278098476281","0.0235070460157374","2.52075354719484","1.06734869306044","2","16","14","0","0","4","2","1","2","2","2","{""0"":4,""2"":3,""3"":2,""5"":3}","{""0"":6,""2"":6}"
"20","1♠ 4♡ 6♢ 8♢","other","rainbow","sec0_m2 sec1_m1 sec2_m2 sec3_m2","2,1,2,2","mid(1/3)","0.333333","0.0003427119548401","-0.0002230112587192","0.911797624781329","0.911797624781329","40","37","-3","0","0","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"21","1♢ 2♢ 7♢ 10♣","other","rainbow","sec0_m0 sec1_m1 sec2_m1 sec3_m2","0,1,1,2","mid(1/3)","0.333333","0.0104463954959793","0.0104463954959793","5.06605320477297","-4.83915213110415","12","9","-3","0","0","4","3","1","3","1","3","{""0"":4,""1"":2,""3"":2,""5"":2}","{""0"":6,""1"":2,""2"":2}"
"22","5♣ 7♠ 8♡ 10♢","other","rainbow","sec0_m2 sec1_m0 sec2_m2 sec3_m0","2,0,2,0","low(1/9)","0.111111","0.0033015429176538","0.0021585904445281","2.07701708523186","1.90232883019619","26","22","-4","0","0","4","2","1","2","2","2","{""0"":5,""2"":2,""3"":4,""5"":1}","{""0"":9,""2"":3}"
"23","4♠ 4♡ 4♢ 4♣","rank_spread","rainbow","sec0_m1 sec1_m0 sec2_m2 sec3_m1","1,0,2,1","low(1/9)","0.111111","0.0045513787770723","0.0045465785110837","1.39942476543326","-0.2623472406574","19","33","14","0","0","4","3","1","2","2","2","{""0"":6,""1"":2,""4"":1,""5"":3}","{""0"":6,""1"":3,""2"":3}"
"24","2♣ 4♢ 9♣ 10♠","monochrome12","monochrome","sec0_m0 sec0_m1 sec0_m2","","low(1/9)","0.111111","0.0103195017247177","0.0103195017247177","1.46572821925664","-1.46572821925664","13","32","19","0","0","5","3","1","2","2","2","{""0"":4,""1"":3,""2"":2,""4"":1,""5"":2}","{""0"":4,""1"":4,""2"":4}"
"25","1♢ 3♢ 5♡ 9♢","monochrome12","monochrome","sec2_m0 sec2_m1 sec2_m2","","mid(1/3)","0.333333","0.0034588123174124","0.0034588123174124","4.12338081202633","-4.12338081202633","23","11","-12","0","0","4","3","1","3","1","3","{""0"":4,""1"":2,""3"":2,""5"":2}","{""0"":6,""1"":2,""2"":2}"
"26","2♠ 2♡ 2♢ 2♣","rank_spread","rainbow","sec0_m1 sec1_m1 sec2_m2 sec3_m0","1,1,2,0","low(1/9)","0.111111","0.0125386202470556","0.0125386202470556","1.46572821925664","-1.46572821925664","5","31","26","0","0","3","3","1","2","2","2","{""0"":5,""1"":5,""2"":2}","{""0"":5,""1"":5,""2"":2}"
"27","1♡ 4♠ 7♠ 9♠","monochrome12","monochrome","sec1_m0 sec1_m1 sec1_m2","","mid(1/3)","0.333333","0.0023438753185715","-0.0008769584525988","2.40573633646218","2.40573633646218","31","18","-13","0","0","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"28","1♠ 2♡ 7♡ 10♡","other","rainbow","sec0_m2 sec1_m2 sec2_m0 sec3_m0","2,2,0,0","mid(1/3)","0.333333","0.0004476633038704","-0.0003112894170259","0.861640392092124","0.861640392092125","38","38","0","0","0","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"29","2♢ 3♣ 8♢ 9♠","monochrome12","monochrome","sec1_m0 sec1_m1 sec1_m2","","low(1/9)","0.111111","0.003347516264404","0.0020506287057468","2.42213330205873","2.42213330205873","25","17","-8","0","0","4","2","1","2","2","2","{""0"":5,""1"":4,""3"":1,""4"":2}","{""0"":6,""1"":6}"
"30","5♠ 5♡ 5♢ 5♣","rank_spread","rainbow","sec0_m2 sec1_m2 sec2_m1 sec3_m2","2,2,1,2","low(1/9)","0.111111","0.0034588123174124","0.0034588123174124","1.32867382060093","1.32867382060094","24","35","11","0","0","3","3","1","2","2","2","{""0"":5,""4"":2,""5"":5}","{""0"":5,""1"":2,""2"":5}"
"31","1♠ 3♡ 5♣ 9♣","monochrome12","monochrome","sec0_m0 sec0_m1 sec0_m2","","mid(1/3)","0.333333","0.0003705151227652","4.99533879904939E-05","0.794367767804505","0.794367767804505","39","40","1","0","0","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"32","1♢ 4♢ 6♣ 8♡","other","rainbow","sec0_m1 sec1_m2 sec2_m1 sec3_m0","1,2,1,0","mid(1/3)","0.333333","0.01023791022497","0.0009876919133106","2.08596386649166","1.98175462757645","14","21","7","0","0","4","3","1","3","1","3","{""0"":4,""1"":2,""3"":2,""5"":2}","{""0"":6,""1"":2,""2"":2}"
"33","5♢ 6♣ 9♠ 10♡","monochrome12","monochrome","sec1_m0 sec1_m1 sec1_m2","","low(1/9)","0.111111","0.0069999206963728","-0.0012504701564998","2.55866257390285","2.55866257390285","16","15","-1","0","0","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":1,""4"":2,""5"":3}","{""0"":4,""1"":4,""2"":4}"
"34","1♣ 4♣ 7♣ 9♡","monochrome12","monochrome","sec3_m0 sec3_m1 sec3_m2","","mid(1/3)","0.333333","0.0015838462187076","-0.0009410817321979","2.05378337379744","1.49383536073407","34","25","-9","0","0","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"35","1♣ 2♣ 5♢ 8♣","other","rainbow","sec0_m1 sec1_m2 sec2_m0 sec3_m1","1,2,0,1","mid(1/3)","0.333333","0.0154435083393667","0.0154435083393667","1.46572821925664","-1.46572821925664","4","29","25","0","0","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"36","1♣ 3♣ 6♡ 10♢","other","rainbow","sec0_m0 sec1_m1 sec2_m2 sec3_m1","0,1,2,1","mid(1/3)","0.333333","0.0028638058953718","0.0013566683086913","7.097558018763","7.097558018763","29","4","-25","28","0","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"37","5♠ 6♢ 9♡ 10♣","monochrome12","monochrome","sec3_m0 sec3_m1 sec3_m2","","low(1/9)","0.111111","0.0013504470492692","-0.0007076825627595","3.06200856181143","3.06200856181143","35","12","-23","0","0","6","3","1","2","2","2","{""0"":4,""1"":1,""2"":1,""3"":2,""4"":2,""5"":2}","{""0"":6,""1"":3,""2"":3}"
"38","2♠ 4♡ 9♢ 10♢","monochrome12","monochrome","sec2_m0 sec2_m1 sec2_m2","","low(1/9)","0.111111","0.0053258998396304","0.0053258998396304","4.26822312536555","4.26530002094214","18","10","-8","0","0","6","3","1","2","2","2","{""0"":4,""1"":2,""2"":2,""3"":2,""4"":1,""5"":1}","{""0"":6,""1"":3,""2"":3}"
"39","2♠ 3♡ 6♣ 7♣","other","rainbow","sec0_m2 sec1_m2 sec2_m2 sec3_m1","2,2,2,1","low(1/9)","0.111111","0.0194527024535412","-0.0194527024535412","1.91847622729074","1.35852821422736","3","28","25","0","0","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":3,""3"":1,""5"":2}","{""0"":5,""1"":2,""2"":5}"
