line_id,weight,cards,proj_quartet_str,orbit_id
21,0.4176282137968498,"['1♢', '2♢', '7♢', '10♣']",sec0_m0 sec1_m1 sec2_m1 sec3_m2,1
19,0.38563021215226645,"['10♠', '10♡', '10♢', '10♣']",sec0_m1 sec1_m2 sec2_m2 sec3_m2,1
8,0.38231691521828953,"['3♡', '4♠', '8♣', '10♣']",sec0_m2 sec1_m0 sec2_m0 sec3_m2,3
6,-0.27239703879112603,"['3♠', '3♡', '3♢', '3♣']",sec0_m2 sec1_m1 sec2_m1 sec3_m0,3
11,-0.246918250045717,"['2♡', '4♠', '5♡', '6♡']",sec0_m0 sec1_m0 sec2_m1 sec3_m0,1
2,0.20963812036830443,"['7♠', '7♡', '7♢', '7♣']",sec0_m0 sec1_m0 sec2_m0 sec3_m1,1
34,0.20963812036830415,"['1♣', '4♣', '7♣', '9♡']",sec3_m0 sec3_m1 sec3_m2,0
5,0.20812675570084943,"['5♡', '7♣', '8♢', '10♠']",sec0_m1 sec1_m1 sec2_m1 sec3_m1,1
39,0.18506582215957554,"['2♠', '3♡', '6♣', '7♣']",sec0_m2 sec1_m2 sec2_m2 sec3_m1,3
12,0.1740296106540074,"['6♠', '7♡', '8♣', '9♢']",sec2_m0 sec2_m1 sec2_m2,6
25,0.14976493348649464,"['1♢', '3♢', '5♡', '9♢']",sec2_m0 sec2_m1 sec2_m2,6
23,-0.14761174416839742,"['4♠', '4♡', '4♢', '4♣']",sec0_m1 sec1_m0 sec2_m2 sec3_m1,2
0,0.1356684614727819,"['2♡', '3♠', '8♡', '9♡']",sec3_m0 sec3_m1 sec3_m2,0
22,0.13257268363212113,"['5♣', '7♠', '8♡', '10♢']",sec0_m2 sec1_m0 sec2_m2 sec3_m0,7
32,0.13058226157806083,"['1♢', '4♢', '6♣', '8♡']",sec0_m1 sec1_m2 sec2_m1 sec3_m0,2
15,0.12424158703822324,"['8♠', '8♡', '8♢', '8♣']",sec0_m0 sec1_m1 sec2_m0 sec3_m0,2
38,0.11941007514002926,"['2♠', '4♡', '9♢', '10♢']",sec2_m0 sec2_m1 sec2_m2,6
14,0.11313564168679001,"['2♢', '4♣', '5♣', '6♠']",sec0_m2 sec1_m1 sec2_m0 sec3_m1,7
7,0.09417652792810834,"['6♠', '6♡', '6♢', '6♣']",sec0_m0 sec1_m2 sec2_m0 sec3_m2,1
9,-0.087490680520832,"['6♡', '7♢', '8♠', '9♣']",sec0_m0 sec0_m1 sec0_m2,4
