line_id,weight,cards,proj_quartet_str,orbit_id
11,-0.7953279597388879,"['2♡', '4♠', '5♡', '6♡']",sec0_m0 sec1_m0 sec2_m1 sec3_m0,1
9,-0.3260188060653339,"['6♡', '7♢', '8♠', '9♣']",sec0_m0 sec0_m1 sec0_m2,4
8,-0.213683808982098,"['3♡', '4♠', '8♣', '10♣']",sec0_m2 sec1_m0 sec2_m0 sec3_m2,3
36,-0.210051300904278,"['1♣', '3♣', '6♡', '10♢']",sec0_m0 sec1_m1 sec2_m2 sec3_m1,1
3,0.1673598215163139,"['3♢', '4♣', '8♠', '10♡']",sec0_m0 sec1_m2 sec2_m1 sec3_m1,2
21,-0.1384704642128866,"['1♢', '2♢', '7♢', '10♣']",sec0_m0 sec1_m1 sec2_m1 sec3_m2,1
6,-0.13124462999079106,"['3♠', '3♡', '3♢', '3♣']",sec0_m2 sec1_m1 sec2_m1 sec3_m0,3
7,-0.1163568943739635,"['6♠', '6♡', '6♢', '6♣']",sec0_m0 sec1_m2 sec2_m0 sec3_m2,1
25,-0.1088358241261653,"['1♢', '3♢', '5♡', '9♢']",sec2_m0 sec2_m1 sec2_m2,6
2,-0.08634667778256166,"['7♠', '7♡', '7♢', '7♣']",sec0_m0 sec1_m0 sec2_m0 sec3_m1,1
34,-0.08634667778256166,"['1♣', '4♣', '7♣', '9♡']",sec3_m0 sec3_m1 sec3_m2,0
39,-0.08492512344488123,"['2♠', '3♡', '6♣', '7♣']",sec0_m2 sec1_m2 sec2_m2 sec3_m1,3
5,-0.08486535629624416,"['5♡', '7♣', '8♢', '10♠']",sec0_m1 sec1_m1 sec2_m1 sec3_m1,1
23,-0.08461460246268172,"['4♠', '4♡', '4♢', '4♣']",sec0_m1 sec1_m0 sec2_m2 sec3_m1,2
13,-0.08125225022444094,"['3♠', '4♡', '5♢', '7♢']",sec0_m0 sec1_m2 sec2_m2 sec3_m0,1
12,-0.07864105023766431,"['6♠', '7♡', '8♣', '9♢']",sec2_m0 sec2_m1 sec2_m2,6
14,0.0700023779862464,"['2♢', '4♣', '5♣', '6♠']",sec0_m2 sec1_m1 sec2_m0 sec3_m1,7
38,-0.06861794558213163,"['2♠', '4♡', '9♢', '10♢']",sec2_m0 sec2_m1 sec2_m2,6
22,-0.06740802336190527,"['5♣', '7♠', '8♡', '10♢']",sec0_m2 sec1_m0 sec2_m2 sec3_m0,7
0,-0.06383640289214901,"['2♡', '3♠', '8♡', '9♡']",sec3_m0 sec3_m1 sec3_m2,0
