mode_k,singular_value,deck_plus_mass,deck_minus_mass,top_cycle_id_by_mass,top_cycle_mass,second_cycle_id,second_cycle_mass,top_nodes
1,1.6483134434529332,6.104634083057982e-31,1.0,4,0.5994648799454988,3,0.5962529188604331,12:0.2189;27:0.2000;15:0.0700;13:0.0446;58:0.0417;20:0.0399;53:0.0352;29:0.0329
2,1.2649871921566385,2.3417522853683226e-30,1.0,4,0.3463474650271386,3,0.34099454021544473,20:0.2132;27:0.1839;40:0.0595;19:0.0379;13:0.0352;44:0.0293;58:0.0271;12:0.0245
3,0.7529782814666771,5.705246840774071e-30,1.0,2,0.4011340010120056,1,0.3571105672290272,20:0.2980;27:0.1081;58:0.0422;38:0.0370;49:0.0281;13:0.0271;7:0.0249;47:0.0205
4,0.362756685583651,1.707783895418976e-29,1.0,1,0.4997266860238655,2,0.49834503991257345,20:0.4235;27:0.0369;40:0.0299;4:0.0269;12:0.0240;41:0.0228;5:0.0227;53:0.0223
5,0.12228592634033433,6.79024903542718e-29,1.0,2,0.37098114112400765,1,0.35609180776525257,20:0.2554;27:0.1110;40:0.0517;19:0.0355;38:0.0326;13:0.0297;50:0.0280;44:0.0271
6,0.028456754758222985,3.9799615727198324e-28,1.0,4,0.45287320184520174,3,0.44119000078922926,27:0.1438;13:0.0859;38:0.0635;20:0.0546;12:0.0448;34:0.0339;56:0.0314;50:0.0298
7,0.004571985889395119,9.149487452658664e-27,1.0,4,0.4187429611686316,3,0.3931599426575007,27:0.0959;13:0.0657;34:0.0598;20:0.0540;12:0.0523;15:0.0383;23:0.0365;40:0.0346
8,0.00042418098865906577,6.746952198454363e-25,1.0,4,0.44765784896956906,3,0.40880531548408583,27:0.0930;20:0.0833;12:0.0738;34:0.0481;54:0.0347;13:0.0326;53:0.0326;16:0.0285
