w33_point,n12_point
0,C22
1,F36
2,C00
3,C30
4,C01
5,C13
6,C08
7,C27
8,C02
9,C04
10,C28
11,C17
12,C03
13,C31
14,C16
15,C26
16,C14
17,C06
18,C33
19,F35
20,C32
21,C10
22,C23
23,C25
24,C24
25,C34
26,C12
27,C37
28,C05
29,C11
30,C18
31,C20
32,X35
33,C07
34,C19
35,C29
36,C15
37,C09
38,X36
39,C21
