n12_point,w33_point
C22,0
F36,1
C00,2
C30,3
C01,4
C13,5
C08,6
C27,7
C02,8
C04,9
C28,10
C17,11
C03,12
C31,13
C16,14
C26,15
C14,16
C06,17
C33,18
F35,19
C32,20
C10,21
C23,22
C25,23
C24,24
C34,25
C12,26
C37,27
C05,28
C11,29
C18,30
C20,31
X35,32
C07,33
C19,34
C29,35
C15,36
C09,37
X36,38
C21,39
