n12_point,w33_point,n12_mask
C00,27,511
C01,15,3647
C02,39,4039
C03,7,4088
C04,8,3591
C05,16,511
C06,29,3640
C07,33,4032
C08,35,63
C09,19,4039
C10,24,504
C11,9,3640
C12,14,511
C13,12,4039
C14,28,3591
C15,36,504
C16,5,455
C17,6,3647
C18,4,504
C19,0,4032
C20,13,511
C21,2,3647
C22,20,63
C23,26,511
C24,32,4088
C25,10,4032
C26,17,3591
C27,23,504
C28,21,3591
C29,11,504
C30,37,63
C31,34,3647
C32,31,4039
C33,1,4032
C34,18,3647
C37,25,4088
F35,3,448
X35,38,56
F36,22,7
X36,30,3584
