n12_point,w33_point
C00,19
C01,38
C02,6
C03,30
C04,8
C05,12
C06,2
C07,4
C08,3
C09,20
C10,13
C11,18
C12,27
C13,17
C14,5
C15,34
C16,29
C17,35
C18,14
C19,10
C20,9
C21,26
C22,36
C23,24
C24,7
C25,21
C26,22
C27,1
C28,25
C29,32
C30,16
C31,39
C32,23
C33,11
C34,15
C37,37
F35,0
X35,31
F36,28
X36,33
