u,v,w,z2_triangle_parity,s3_holonomy,s3_class,s3_sign
1,17,42,0,"(0, 1, 2)",id,0
1,17,43,0,"(0, 1, 2)",id,0
1,17,44,0,"(1, 2, 0)",3-cycle,0
1,18,20,1,"(2, 1, 0)",transposition,1
1,18,22,1,"(1, 2, 0)",3-cycle,0
1,18,24,1,"(2, 1, 0)",transposition,1
1,18,25,0,"(0, 1, 2)",id,0
1,18,26,0,"(0, 1, 2)",id,0
1,18,36,0,"(2, 1, 0)",transposition,1
1,18,37,0,"(1, 2, 0)",3-cycle,0
1,18,38,0,"(0, 1, 2)",id,0
1,18,42,1,"(0, 1, 2)",id,0
1,18,43,1,"(2, 0, 1)",3-cycle,0
1,18,44,1,"(1, 0, 2)",transposition,1
1,20,22,0,"(1, 0, 2)",transposition,1
1,20,24,0,"(2, 0, 1)",3-cycle,0
1,20,26,0,"(1, 2, 0)",3-cycle,0
1,20,28,0,"(0, 1, 2)",id,0
1,20,30,1,"(1, 0, 2)",transposition,1
1,20,36,0,"(0, 1, 2)",id,0
1,20,38,1,"(0, 2, 1)",transposition,1
1,20,39,0,"(0, 1, 2)",id,0
1,20,40,0,"(2, 1, 0)",transposition,1
1,20,41,0,"(1, 0, 2)",transposition,1
1,20,42,0,"(0, 1, 2)",id,0
1,20,43,1,"(1, 2, 0)",3-cycle,0
1,22,24,0,"(1, 2, 0)",3-cycle,0
1,22,26,0,"(2, 0, 1)",3-cycle,0
1,22,30,0,"(0, 1, 2)",id,0
1,22,32,1,"(1, 2, 0)",3-cycle,0
1,22,37,1,"(0, 2, 1)",transposition,1
1,22,38,0,"(0, 1, 2)",id,0
1,22,39,0,"(2, 0, 1)",3-cycle,0
1,22,40,0,"(1, 2, 0)",3-cycle,0
1,22,41,0,"(0, 1, 2)",id,0
1,22,42,1,"(1, 0, 2)",transposition,1
1,22,44,0,"(0, 1, 2)",id,0
1,24,26,0,"(1, 2, 0)",3-cycle,0
1,24,28,1,"(2, 0, 1)",3-cycle,0
1,24,32,0,"(0, 1, 2)",id,0
1,24,36,1,"(1, 2, 0)",3-cycle,0
1,24,37,0,"(0, 1, 2)",id,0
1,24,39,0,"(2, 1, 0)",transposition,1
1,24,40,0,"(0, 1, 2)",id,0
1,24,41,0,"(0, 2, 1)",transposition,1
1,24,43,0,"(0, 1, 2)",id,0
1,24,44,1,"(0, 1, 2)",id,0
1,25,26,0,"(0, 1, 2)",id,0
1,25,28,1,"(1, 2, 0)",3-cycle,0
1,25,30,1,"(1, 0, 2)",transposition,1
1,25,32,1,"(2, 1, 0)",transposition,1
1,25,36,0,"(1, 2, 0)",3-cycle,0
1,25,37,0,"(2, 1, 0)",transposition,1
1,25,38,0,"(0, 1, 2)",id,0
1,25,39,1,"(2, 1, 0)",transposition,1
1,25,40,1,"(2, 1, 0)",transposition,1
1,25,41,1,"(2, 1, 0)",transposition,1
1,26,28,1,"(1, 2, 0)",3-cycle,0
1,26,30,1,"(2, 0, 1)",3-cycle,0
1,26,32,1,"(1, 0, 2)",transposition,1
1,26,36,1,"(0, 1, 2)",id,0
1,26,37,1,"(0, 1, 2)",id,0
1,26,38,1,"(1, 0, 2)",transposition,1
1,26,39,0,"(0, 2, 1)",transposition,1
1,26,40,0,"(0, 1, 2)",id,0
1,26,41,0,"(0, 1, 2)",id,0
1,28,30,0,"(1, 2, 0)",3-cycle,0
1,28,32,0,"(2, 1, 0)",transposition,1
1,28,36,0,"(0, 1, 2)",id,0
1,28,37,1,"(2, 0, 1)",3-cycle,0
1,28,39,0,"(0, 1, 2)",id,0
1,28,41,1,"(1, 0, 2)",transposition,1
1,28,42,0,"(0, 1, 2)",id,0
1,28,43,0,"(2, 1, 0)",transposition,1
1,28,44,0,"(1, 0, 2)",transposition,1
1,30,32,0,"(0, 2, 1)",transposition,1
1,30,36,1,"(1, 0, 2)",transposition,1
1,30,38,0,"(0, 1, 2)",id,0
1,30,40,1,"(2, 0, 1)",3-cycle,0
1,30,41,0,"(0, 1, 2)",id,0
1,30,42,0,"(2, 0, 1)",3-cycle,0
1,30,43,0,"(1, 2, 0)",3-cycle,0
1,30,44,0,"(0, 1, 2)",id,0
1,32,37,0,"(0, 1, 2)",id,0
1,32,38,1,"(2, 1, 0)",transposition,1
1,32,39,1,"(1, 0, 2)",transposition,1
1,32,40,0,"(0, 1, 2)",id,0
1,32,42,0,"(2, 1, 0)",transposition,1
1,32,43,0,"(0, 1, 2)",id,0
1,32,44,0,"(1, 2, 0)",3-cycle,0
1,36,37,0,"(2, 1, 0)",transposition,1
1,36,38,0,"(0, 1, 2)",id,0
1,36,39,0,"(0, 1, 2)",id,0
1,36,41,1,"(1, 2, 0)",3-cycle,0
1,36,42,0,"(0, 1, 2)",id,0
1,36,43,1,"(1, 0, 2)",transposition,1
1,37,38,0,"(1, 2, 0)",3-cycle,0
1,37,39,1,"(2, 0, 1)",3-cycle,0
1,37,40,0,"(0, 1, 2)",id,0
1,37,43,0,"(0, 1, 2)",id,0
1,37,44,1,"(1, 0, 2)",transposition,1
1,38,40,1,"(2, 1, 0)",transposition,1
1,38,41,0,"(0, 1, 2)",id,0
1,38,42,1,"(0, 1, 2)",id,0
1,38,44,0,"(0, 1, 2)",id,0
1,39,40,0,"(0, 1, 2)",id,0
1,39,41,0,"(0, 1, 2)",id,0
1,39,42,0,"(0, 1, 2)",id,0
1,39,44,1,"(1, 2, 0)",3-cycle,0
1,40,41,0,"(0, 2, 1)",transposition,1
1,40,42,1,"(2, 1, 0)",transposition,1
1,40,43,0,"(0, 1, 2)",id,0
1,41,43,1,"(2, 0, 1)",3-cycle,0
1,41,44,0,"(0, 1, 2)",id,0
1,42,43,0,"(0, 1, 2)",id,0
1,42,44,0,"(1, 0, 2)",transposition,1
1,43,44,0,"(0, 1, 2)",id,0
2,3,4,0,"(2, 0, 1)",3-cycle,0
2,3,5,0,"(2, 0, 1)",3-cycle,0
2,3,6,0,"(1, 0, 2)",transposition,1
2,3,7,0,"(1, 0, 2)",transposition,1
2,3,8,0,"(2, 0, 1)",3-cycle,0
2,3,9,1,"(1, 0, 2)",transposition,1
2,3,11,1,"(2, 0, 1)",3-cycle,0
2,3,13,0,"(2, 0, 1)",3-cycle,0
2,3,17,1,"(0, 2, 1)",transposition,1
2,3,19,1,"(0, 1, 2)",id,0
2,3,21,0,"(2, 0, 1)",3-cycle,0
2,3,25,1,"(2, 0, 1)",3-cycle,0
2,3,27,1,"(0, 2, 1)",transposition,1
2,3,29,0,"(2, 0, 1)",3-cycle,0
2,3,37,1,"(2, 0, 1)",3-cycle,0
2,3,38,0,"(2, 0, 1)",3-cycle,0
2,3,40,1,"(2, 1, 0)",transposition,1
2,3,41,0,"(2, 0, 1)",3-cycle,0
2,3,43,1,"(2, 1, 0)",transposition,1
2,3,44,0,"(2, 0, 1)",3-cycle,0
2,4,5,0,"(0, 1, 2)",id,0
2,4,6,0,"(2, 0, 1)",3-cycle,0
2,4,7,0,"(1, 2, 0)",3-cycle,0
2,4,8,0,"(0, 1, 2)",id,0
2,4,10,1,"(0, 1, 2)",id,0
2,4,11,1,"(0, 1, 2)",id,0
2,4,15,0,"(0, 1, 2)",id,0
2,4,18,1,"(0, 2, 1)",transposition,1
2,4,19,1,"(1, 2, 0)",3-cycle,0
2,4,23,0,"(0, 1, 2)",id,0
2,4,26,1,"(2, 0, 1)",3-cycle,0
2,4,27,1,"(2, 1, 0)",transposition,1
2,4,31,0,"(0, 1, 2)",id,0
2,4,37,0,"(0, 1, 2)",id,0
2,4,38,1,"(1, 0, 2)",transposition,1
2,4,40,0,"(0, 1, 2)",id,0
2,4,41,1,"(1, 2, 0)",3-cycle,0
2,4,43,0,"(0, 1, 2)",id,0
2,4,44,1,"(1, 2, 0)",3-cycle,0
2,5,6,0,"(1, 0, 2)",transposition,1
2,5,7,0,"(0, 2, 1)",transposition,1
2,5,8,0,"(0, 1, 2)",id,0
2,5,9,1,"(0, 2, 1)",transposition,1
2,5,13,1,"(1, 0, 2)",transposition,1
2,5,15,0,"(0, 1, 2)",id,0
2,5,17,1,"(2, 1, 0)",transposition,1
2,5,21,1,"(1, 2, 0)",3-cycle,0
2,5,23,0,"(0, 1, 2)",id,0
2,5,25,1,"(0, 1, 2)",id,0
2,5,29,1,"(2, 1, 0)",transposition,1
2,5,31,0,"(0, 1, 2)",id,0
2,5,36,1,"(0, 1, 2)",id,0
2,5,37,0,"(0, 1, 2)",id,0
2,5,39,1,"(1, 2, 0)",3-cycle,0
2,5,40,0,"(0, 1, 2)",id,0
2,5,42,1,"(2, 1, 0)",transposition,1
2,5,43,0,"(0, 1, 2)",id,0
2,6,7,0,"(2, 0, 1)",3-cycle,0
2,6,8,0,"(1, 2, 0)",3-cycle,0
2,6,10,1,"(1, 2, 0)",3-cycle,0
2,6,11,0,"(1, 2, 0)",3-cycle,0
2,6,13,1,"(0, 2, 1)",transposition,1
2,6,18,1,"(2, 1, 0)",transposition,1
2,6,19,0,"(1, 2, 0)",3-cycle,0
2,6,21,1,"(2, 0, 1)",3-cycle,0
2,6,26,1,"(0, 1, 2)",id,0
2,6,27,0,"(1, 2, 0)",3-cycle,0
2,6,29,1,"(1, 0, 2)",transposition,1
2,6,36,0,"(1, 2, 0)",3-cycle,0
2,6,37,1,"(1, 2, 0)",3-cycle,0
2,6,39,0,"(1, 2, 0)",3-cycle,0
2,6,40,1,"(0, 2, 1)",transposition,1
2,6,42,0,"(1, 2, 0)",3-cycle,0
2,6,43,1,"(0, 2, 1)",transposition,1
2,7,8,0,"(0, 2, 1)",transposition,1
2,7,9,1,"(0, 1, 2)",id,0
2,7,11,0,"(0, 2, 1)",transposition,1
2,7,15,1,"(0, 2, 1)",transposition,1
2,7,17,1,"(2, 0, 1)",3-cycle,0
2,7,19,0,"(0, 2, 1)",transposition,1
2,7,23,1,"(1, 0, 2)",transposition,1
2,7,25,1,"(0, 2, 1)",transposition,1
2,7,27,0,"(0, 2, 1)",transposition,1
2,7,31,1,"(1, 2, 0)",3-cycle,0
2,7,36,0,"(0, 2, 1)",transposition,1
2,7,38,1,"(1, 2, 0)",3-cycle,0
2,7,39,0,"(0, 2, 1)",transposition,1
2,7,41,1,"(1, 0, 2)",transposition,1
2,7,42,0,"(0, 2, 1)",transposition,1
2,7,44,1,"(1, 0, 2)",transposition,1
2,8,10,1,"(0, 1, 2)",id,0
2,8,13,0,"(0, 1, 2)",id,0
2,8,15,1,"(0, 1, 2)",id,0
2,8,18,1,"(0, 2, 1)",transposition,1
2,8,21,0,"(0, 1, 2)",id,0
2,8,23,1,"(1, 2, 0)",3-cycle,0
2,8,26,1,"(2, 0, 1)",3-cycle,0
2,8,29,0,"(0, 1, 2)",id,0
2,8,31,1,"(1, 0, 2)",transposition,1
2,8,36,1,"(0, 1, 2)",id,0
2,8,38,0,"(0, 1, 2)",id,0
2,8,39,1,"(1, 2, 0)",3-cycle,0
2,8,41,0,"(0, 1, 2)",id,0
2,8,42,1,"(2, 1, 0)",transposition,1
2,8,44,0,"(0, 1, 2)",id,0
2,9,10,0,"(0, 1, 2)",id,0
2,9,11,1,"(0, 1, 2)",id,0
2,9,13,1,"(1, 0, 2)",transposition,1
2,9,15,1,"(0, 1, 2)",id,0
2,9,17,0,"(0, 1, 2)",id,0
2,9,18,0,"(0, 1, 2)",id,0
2,9,25,0,"(0, 1, 2)",id,0
2,9,26,0,"(0, 1, 2)",id,0
2,9,27,0,"(1, 0, 2)",transposition,1
2,9,29,0,"(1, 0, 2)",transposition,1
2,9,31,0,"(2, 1, 0)",transposition,1
2,9,39,1,"(1, 2, 0)",3-cycle,0
2,9,40,1,"(1, 0, 2)",transposition,1
2,9,41,1,"(0, 2, 1)",transposition,1
2,9,42,0,"(0, 1, 2)",id,0
2,9,43,0,"(0, 1, 2)",id,0
2,9,44,0,"(0, 1, 2)",id,0
2,10,11,1,"(0, 1, 2)",id,0
2,10,13,1,"(0, 1, 2)",id,0
2,10,15,1,"(0, 2, 1)",transposition,1
2,10,17,0,"(0, 1, 2)",id,0
2,10,18,0,"(0, 1, 2)",id,0
2,10,19,0,"(1, 0, 2)",transposition,1
2,10,21,0,"(1, 0, 2)",transposition,1
2,10,23,0,"(2, 0, 1)",3-cycle,0
2,10,25,0,"(0, 1, 2)",id,0
2,10,26,0,"(0, 1, 2)",id,0
2,10,39,0,"(0, 1, 2)",id,0
2,10,40,0,"(0, 1, 2)",id,0
2,10,41,0,"(0, 1, 2)",id,0
2,10,42,1,"(2, 1, 0)",transposition,1
2,10,43,1,"(1, 0, 2)",transposition,1
2,10,44,1,"(1, 2, 0)",3-cycle,0
2,11,13,0,"(1, 0, 2)",transposition,1
2,11,15,0,"(2, 1, 0)",transposition,1
2,11,17,0,"(1, 0, 2)",transposition,1
2,11,19,0,"(0, 1, 2)",id,0
2,11,21,1,"(2, 1, 0)",transposition,1
2,11,26,0,"(1, 0, 2)",transposition,1
2,11,27,0,"(0, 1, 2)",id,0
2,11,31,1,"(2, 0, 1)",3-cycle,0
2,11,36,0,"(0, 1, 2)",id,0
2,11,37,0,"(2, 0, 1)",3-cycle,0
2,11,38,0,"(1, 2, 0)",3-cycle,0
2,11,39,0,"(0, 1, 2)",id,0
2,11,40,1,"(2, 0, 1)",3-cycle,0
2,11,42,0,"(0, 1, 2)",id,0
2,11,44,1,"(2, 1, 0)",transposition,1
2,13,15,0,"(0, 2, 1)",transposition,1
2,13,17,0,"(1, 0, 2)",transposition,1
2,13,21,0,"(0, 1, 2)",id,0
2,13,23,1,"(2, 1, 0)",transposition,1
2,13,26,0,"(2, 0, 1)",3-cycle,0
2,13,27,1,"(0, 2, 1)",transposition,1
2,13,29,0,"(0, 1, 2)",id,0
2,13,36,0,"(1, 0, 2)",transposition,1
2,13,37,0,"(2, 0, 1)",3-cycle,0
2,13,38,0,"(0, 1, 2)",id,0
2,13,39,1,"(0, 1, 2)",id,0
2,13,41,0,"(0, 1, 2)",id,0
2,13,43,1,"(0, 2, 1)",transposition,1
2,13,44,0,"(0, 1, 2)",id,0
2,15,17,0,"(2, 1, 0)",transposition,1
2,15,19,1,"(0, 2, 1)",transposition,1
2,15,23,0,"(0, 1, 2)",id,0
2,15,26,0,"(2, 1, 0)",transposition,1
2,15,29,1,"(2, 0, 1)",3-cycle,0
2,15,31,0,"(0, 1, 2)",id,0
2,15,36,0,"(1, 2, 0)",3-cycle,0
2,15,37,0,"(0, 1, 2)",id,0
2,15,38,0,"(2, 1, 0)",transposition,1
2,15,40,0,"(0, 1, 2)",id,0
2,15,41,1,"(1, 0, 2)",transposition,1
2,15,42,1,"(0, 1, 2)",id,0
2,15,43,0,"(0, 1, 2)",id,0
2,17,18,0,"(0, 1, 2)",id,0
2,17,19,1,"(1, 2, 0)",3-cycle,0
2,17,21,1,"(1, 2, 0)",3-cycle,0
2,17,23,1,"(1, 2, 0)",3-cycle,0
2,17,25,0,"(0, 1, 2)",id,0
2,17,26,0,"(0, 1, 2)",id,0
2,17,36,0,"(0, 1, 2)",id,0
2,17,37,0,"(2, 1, 0)",transposition,1
2,17,38,0,"(0, 1, 2)",id,0
2,17,42,1,"(2, 1, 0)",transposition,1
2,17,43,1,"(1, 0, 2)",transposition,1
2,17,44,1,"(2, 0, 1)",3-cycle,0
2,18,19,1,"(1, 2, 0)",3-cycle,0
2,18,21,1,"(2, 0, 1)",3-cycle,0
2,18,23,1,"(1, 2, 0)",3-cycle,0
2,18,25,0,"(0, 1, 2)",id,0
2,18,26,0,"(0, 1, 2)",id,0
2,18,27,0,"(2, 0, 1)",3-cycle,0
2,18,29,0,"(1, 2, 0)",3-cycle,0
2,18,31,0,"(2, 0, 1)",3-cycle,0
2,18,36,1,"(2, 1, 0)",transposition,1
2,18,37,1,"(1, 2, 0)",3-cycle,0
2,18,38,1,"(1, 0, 2)",transposition,1
2,18,42,0,"(0, 1, 2)",id,0
2,18,43,0,"(0, 1, 2)",id,0
2,18,44,0,"(0, 2, 1)",transposition,1
2,19,21,0,"(1, 0, 2)",transposition,1
2,19,23,0,"(2, 0, 1)",3-cycle,0
2,19,25,0,"(1, 0, 2)",transposition,1
2,19,27,0,"(0, 1, 2)",id,0
2,19,29,1,"(1, 2, 0)",3-cycle,0
2,19,36,0,"(0, 1, 2)",id,0
2,19,38,1,"(0, 1, 2)",id,0
2,19,39,0,"(0, 1, 2)",id,0
2,19,40,0,"(1, 0, 2)",transposition,1
2,19,41,0,"(1, 2, 0)",3-cycle,0
2,19,42,0,"(0, 1, 2)",id,0
2,19,43,1,"(2, 0, 1)",3-cycle,0
2,21,23,0,"(1, 2, 0)",3-cycle,0
2,21,25,0,"(1, 2, 0)",3-cycle,0
2,21,29,0,"(0, 1, 2)",id,0
2,21,31,1,"(0, 1, 2)",id,0
2,21,37,1,"(1, 2, 0)",3-cycle,0
2,21,38,0,"(0, 1, 2)",id,0
2,21,39,0,"(1, 0, 2)",transposition,1
2,21,40,0,"(0, 2, 1)",transposition,1
2,21,41,0,"(0, 1, 2)",id,0
2,21,42,1,"(0, 2, 1)",transposition,1
2,21,44,0,"(0, 1, 2)",id,0
2,23,25,0,"(2, 1, 0)",transposition,1
2,23,27,1,"(0, 1, 2)",id,0
2,23,31,0,"(0, 1, 2)",id,0
2,23,36,1,"(2, 1, 0)",transposition,1
2,23,37,0,"(0, 1, 2)",id,0
2,23,39,0,"(1, 2, 0)",3-cycle,0
2,23,40,0,"(0, 1, 2)",id,0
2,23,41,0,"(2, 0, 1)",3-cycle,0
2,23,43,0,"(0, 1, 2)",id,0
2,23,44,1,"(1, 0, 2)",transposition,1
2,25,26,0,"(0, 1, 2)",id,0
2,25,27,1,"(2, 1, 0)",transposition,1
2,25,29,1,"(2, 0, 1)",3-cycle,0
2,25,31,1,"(1, 0, 2)",transposition,1
2,25,36,1,"(1, 2, 0)",3-cycle,0
2,25,37,1,"(2, 1, 0)",transposition,1
2,25,38,1,"(1, 0, 2)",transposition,1
2,25,39,0,"(0, 1, 2)",id,0
2,25,40,0,"(0, 1, 2)",id,0
2,25,41,0,"(0, 1, 2)",id,0
2,26,27,1,"(0, 1, 2)",id,0
2,26,29,1,"(2, 1, 0)",transposition,1
2,26,31,1,"(1, 0, 2)",transposition,1
2,26,36,0,"(0, 1, 2)",id,0
2,26,37,0,"(0, 1, 2)",id,0
2,26,38,0,"(0, 1, 2)",id,0
2,26,39,1,"(1, 0, 2)",transposition,1
2,26,40,1,"(1, 0, 2)",transposition,1
2,26,41,1,"(1, 2, 0)",3-cycle,0
2,27,29,0,"(1, 2, 0)",3-cycle,0
2,27,31,0,"(2, 0, 1)",3-cycle,0
2,27,36,0,"(0, 1, 2)",id,0
2,27,37,1,"(2, 1, 0)",transposition,1
2,27,39,0,"(0, 1, 2)",id,0
2,27,41,1,"(2, 1, 0)",transposition,1
2,27,42,0,"(0, 1, 2)",id,0
2,27,43,0,"(2, 0, 1)",3-cycle,0
2,27,44,0,"(1, 2, 0)",3-cycle,0
2,29,31,0,"(2, 1, 0)",transposition,1
2,29,36,1,"(2, 0, 1)",3-cycle,0
2,29,38,0,"(0, 1, 2)",id,0
2,29,40,1,"(0, 2, 1)",transposition,1
2,29,41,0,"(0, 1, 2)",id,0
2,29,42,0,"(1, 0, 2)",transposition,1
2,29,43,0,"(2, 0, 1)",3-cycle,0
2,29,44,0,"(0, 1, 2)",id,0
2,31,37,0,"(0, 1, 2)",id,0
2,31,38,1,"(1, 2, 0)",3-cycle,0
2,31,39,1,"(0, 2, 1)",transposition,1
2,31,40,0,"(0, 1, 2)",id,0
2,31,42,0,"(1, 2, 0)",3-cycle,0
2,31,43,0,"(0, 1, 2)",id,0
2,31,44,0,"(2, 1, 0)",transposition,1
2,36,37,0,"(2, 1, 0)",transposition,1
2,36,38,0,"(0, 1, 2)",id,0
2,36,39,0,"(0, 1, 2)",id,0
2,36,41,1,"(2, 1, 0)",transposition,1
2,36,42,0,"(0, 1, 2)",id,0
2,36,43,1,"(1, 0, 2)",transposition,1
2,37,38,0,"(0, 1, 2)",id,0
2,37,39,1,"(0, 2, 1)",transposition,1
2,37,40,0,"(0, 1, 2)",id,0
2,37,43,0,"(0, 1, 2)",id,0
2,37,44,1,"(1, 0, 2)",transposition,1
2,38,40,1,"(1, 0, 2)",transposition,1
2,38,41,0,"(0, 1, 2)",id,0
2,38,42,1,"(2, 1, 0)",transposition,1
2,38,44,0,"(0, 1, 2)",id,0
2,39,40,0,"(2, 0, 1)",3-cycle,0
2,39,41,0,"(0, 1, 2)",id,0
2,39,42,0,"(0, 1, 2)",id,0
2,39,44,1,"(1, 2, 0)",3-cycle,0
2,40,41,0,"(0, 2, 1)",transposition,1
2,40,42,1,"(0, 1, 2)",id,0
2,40,43,0,"(0, 1, 2)",id,0
2,41,43,1,"(1, 0, 2)",transposition,1
2,41,44,0,"(0, 1, 2)",id,0
2,42,43,0,"(0, 1, 2)",id,0
2,42,44,0,"(1, 0, 2)",transposition,1
2,43,44,0,"(0, 1, 2)",id,0
3,4,5,0,"(0, 1, 2)",id,0
3,4,6,0,"(1, 0, 2)",transposition,1
3,4,7,0,"(2, 1, 0)",transposition,1
3,4,8,0,"(0, 1, 2)",id,0
3,4,11,0,"(0, 1, 2)",id,0
3,4,12,0,"(0, 1, 2)",id,0
3,4,19,0,"(0, 1, 2)",id,0
3,4,20,0,"(0, 1, 2)",id,0
3,4,27,0,"(0, 1, 2)",id,0
3,4,28,0,"(0, 1, 2)",id,0
3,4,33,1,"(0, 1, 2)",id,0
3,4,34,1,"(2, 0, 1)",3-cycle,0
3,4,35,1,"(2, 0, 1)",3-cycle,0
3,4,37,1,"(1, 0, 2)",transposition,1
3,4,38,1,"(2, 0, 1)",3-cycle,0
3,4,40,1,"(1, 2, 0)",3-cycle,0
3,4,41,1,"(2, 1, 0)",transposition,1
3,4,43,1,"(0, 1, 2)",id,0
3,4,44,1,"(2, 0, 1)",3-cycle,0
3,5,6,0,"(2, 0, 1)",3-cycle,0
3,5,7,0,"(0, 1, 2)",id,0
3,5,8,0,"(0, 1, 2)",id,0
3,5,9,0,"(0, 1, 2)",id,0
3,5,12,1,"(0, 1, 2)",id,0
3,5,13,1,"(2, 1, 0)",transposition,1
3,5,17,0,"(0, 1, 2)",id,0
3,5,20,1,"(1, 0, 2)",transposition,1
3,5,21,1,"(1, 0, 2)",transposition,1
3,5,25,0,"(0, 1, 2)",id,0
3,5,28,1,"(0, 1, 2)",id,0
3,5,29,1,"(1, 0, 2)",transposition,1
3,5,33,0,"(0, 1, 2)",id,0
3,5,34,0,"(0, 1, 2)",id,0
3,5,35,0,"(0, 1, 2)",id,0
3,5,37,1,"(1, 0, 2)",transposition,1
3,5,40,1,"(1, 2, 0)",3-cycle,0
3,5,43,1,"(0, 1, 2)",id,0
3,6,7,0,"(1, 2, 0)",3-cycle,0
3,6,8,0,"(1, 0, 2)",transposition,1
3,6,11,1,"(2, 0, 1)",3-cycle,0
3,6,13,1,"(1, 2, 0)",3-cycle,0
3,6,16,0,"(1, 0, 2)",transposition,1
3,6,19,1,"(2, 0, 1)",3-cycle,0
3,6,21,1,"(0, 1, 2)",id,0
3,6,24,0,"(1, 0, 2)",transposition,1
3,6,27,1,"(2, 1, 0)",transposition,1
3,6,29,1,"(0, 1, 2)",id,0
3,6,32,0,"(1, 0, 2)",transposition,1
3,6,33,1,"(1, 0, 2)",transposition,1
3,6,34,1,"(0, 2, 1)",transposition,1
3,6,35,1,"(0, 2, 1)",transposition,1
3,6,37,0,"(1, 0, 2)",transposition,1
3,6,40,0,"(1, 0, 2)",transposition,1
3,6,43,0,"(1, 0, 2)",transposition,1
3,7,8,0,"(0, 1, 2)",id,0
3,7,9,0,"(0, 1, 2)",id,0
3,7,11,1,"(0, 2, 1)",transposition,1
3,7,16,1,"(2, 0, 1)",3-cycle,0
3,7,17,0,"(0, 1, 2)",id,0
3,7,19,1,"(0, 2, 1)",transposition,1
3,7,24,1,"(1, 0, 2)",transposition,1
3,7,25,0,"(0, 1, 2)",id,0
3,7,27,1,"(1, 2, 0)",3-cycle,0
3,7,32,1,"(1, 2, 0)",3-cycle,0
3,7,33,0,"(0, 1, 2)",id,0
3,7,34,0,"(0, 1, 2)",id,0
3,7,35,0,"(0, 1, 2)",id,0
3,7,38,1,"(2, 0, 1)",3-cycle,0
3,7,41,1,"(2, 1, 0)",transposition,1
3,7,44,1,"(2, 0, 1)",3-cycle,0
3,8,12,1,"(0, 1, 2)",id,0
3,8,13,0,"(0, 1, 2)",id,0
3,8,16,1,"(2, 0, 1)",3-cycle,0
3,8,20,1,"(1, 0, 2)",transposition,1
3,8,21,0,"(0, 1, 2)",id,0
3,8,24,1,"(1, 0, 2)",transposition,1
3,8,28,1,"(0, 1, 2)",id,0
3,8,29,0,"(0, 1, 2)",id,0
3,8,32,1,"(1, 2, 0)",3-cycle,0
3,8,33,1,"(0, 1, 2)",id,0
3,8,34,1,"(2, 0, 1)",3-cycle,0
3,8,35,1,"(2, 0, 1)",3-cycle,0
3,8,38,0,"(0, 1, 2)",id,0
3,8,41,0,"(0, 1, 2)",id,0
3,8,44,0,"(0, 1, 2)",id,0
3,9,11,1,"(0, 2, 1)",transposition,1
3,9,12,1,"(0, 2, 1)",transposition,1
3,9,13,0,"(1, 2, 0)",3-cycle,0
3,9,16,0,"(2, 0, 1)",3-cycle,0
3,9,17,0,"(0, 1, 2)",id,0
3,9,20,0,"(2, 0, 1)",3-cycle,0
3,9,24,1,"(2, 0, 1)",3-cycle,0
3,9,25,0,"(0, 1, 2)",id,0
3,9,27,0,"(1, 2, 0)",3-cycle,0
3,9,29,1,"(1, 2, 0)",3-cycle,0
3,9,33,0,"(0, 1, 2)",id,0
3,9,34,0,"(0, 1, 2)",id,0
3,9,35,0,"(0, 1, 2)",id,0
3,9,40,1,"(0, 2, 1)",transposition,1
3,9,41,0,"(2, 1, 0)",transposition,1
3,9,43,0,"(2, 0, 1)",3-cycle,0
3,9,44,1,"(1, 2, 0)",3-cycle,0
3,11,12,0,"(0, 1, 2)",id,0
3,11,13,1,"(2, 1, 0)",transposition,1
3,11,16,1,"(1, 0, 2)",transposition,1
3,11,17,0,"(1, 2, 0)",3-cycle,0
3,11,19,0,"(0, 1, 2)",id,0
3,11,20,0,"(0, 1, 2)",id,0
3,11,21,0,"(1, 2, 0)",3-cycle,0
3,11,24,0,"(2, 1, 0)",transposition,1
3,11,27,0,"(0, 1, 2)",id,0
3,11,28,0,"(0, 1, 2)",id,0
3,11,34,1,"(2, 0, 1)",3-cycle,0
3,11,35,0,"(0, 2, 1)",transposition,1
3,11,37,0,"(2, 0, 1)",3-cycle,0
3,11,38,1,"(2, 0, 1)",3-cycle,0
3,11,40,1,"(0, 2, 1)",transposition,1
3,11,44,0,"(1, 0, 2)",transposition,1
3,12,13,1,"(2, 1, 0)",transposition,1
3,12,16,1,"(1, 0, 2)",transposition,1
3,12,19,0,"(0, 1, 2)",id,0
3,12,20,0,"(0, 1, 2)",id,0
3,12,25,0,"(1, 0, 2)",transposition,1
3,12,27,0,"(0, 1, 2)",id,0
3,12,28,0,"(0, 1, 2)",id,0
3,12,29,0,"(1, 0, 2)",transposition,1
3,12,32,0,"(2, 0, 1)",3-cycle,0
3,12,34,0,"(0, 1, 2)",id,0
3,12,35,1,"(1, 0, 2)",transposition,1
3,12,37,1,"(2, 1, 0)",transposition,1
3,12,38,0,"(0, 1, 2)",id,0
3,12,40,0,"(2, 1, 0)",transposition,1
3,12,44,1,"(0, 2, 1)",transposition,1
3,13,16,0,"(0, 2, 1)",transposition,1
3,13,17,1,"(0, 1, 2)",id,0
3,13,20,0,"(1, 0, 2)",transposition,1
3,13,21,0,"(0, 1, 2)",id,0
3,13,27,0,"(2, 0, 1)",3-cycle,0
3,13,29,0,"(0, 1, 2)",id,0
