u,v,z2_voltage,quad_from,quad_to,s3_perm,s3_class,s3_sign
0,1,0,0,1,"(0, 1, 2)",id,0
0,2,0,0,2,"(0, 1, 2)",id,0
0,3,0,0,3,"(0, 1, 2)",id,0
0,4,0,0,4,"(0, 1, 2)",id,0
0,5,0,0,5,"(0, 2, 1)",transposition,1
0,6,0,0,6,"(0, 1, 2)",id,0
0,7,0,0,7,"(0, 1, 2)",id,0
0,8,0,0,8,"(0, 1, 2)",id,0
0,9,0,0,9,"(0, 1, 2)",id,0
0,10,0,0,10,"(0, 1, 2)",id,0
0,11,0,0,11,"(0, 1, 2)",id,0
0,12,0,0,12,"(0, 1, 2)",id,0
0,13,0,0,13,"(0, 1, 2)",id,0
0,14,0,0,14,"(0, 1, 2)",id,0
0,15,0,0,15,"(0, 1, 2)",id,0
0,16,0,0,16,"(0, 1, 2)",id,0
0,17,0,0,17,"(0, 1, 2)",id,0
0,18,0,0,18,"(0, 1, 2)",id,0
0,19,0,0,19,"(0, 1, 2)",id,0
0,20,0,0,20,"(0, 1, 2)",id,0
0,21,0,0,21,"(0, 1, 2)",id,0
0,22,0,0,22,"(0, 1, 2)",id,0
0,23,0,0,23,"(0, 1, 2)",id,0
0,24,0,0,24,"(0, 1, 2)",id,0
0,25,0,0,25,"(0, 1, 2)",id,0
0,26,0,0,26,"(0, 1, 2)",id,0
0,27,0,0,27,"(0, 1, 2)",id,0
0,28,0,0,28,"(0, 1, 2)",id,0
0,29,0,0,29,"(0, 1, 2)",id,0
0,30,0,0,30,"(0, 1, 2)",id,0
0,31,0,0,31,"(0, 1, 2)",id,0
0,32,0,0,32,"(0, 1, 2)",id,0
1,0,0,1,0,"(0, 1, 2)",id,0
1,2,0,1,2,"(0, 1, 2)",id,0
1,3,0,1,3,"(0, 1, 2)",id,0
1,4,0,1,4,"(0, 1, 2)",id,0
1,5,0,1,5,"(0, 1, 2)",id,0
1,6,0,1,6,"(0, 1, 2)",id,0
1,7,0,1,7,"(0, 1, 2)",id,0
1,8,0,1,8,"(0, 1, 2)",id,0
1,9,0,1,9,"(0, 1, 2)",id,0
1,10,0,1,10,"(0, 1, 2)",id,0
1,12,1,1,54,"(0, 1, 2)",id,0
1,14,1,1,58,"(1, 0, 2)",transposition,1
1,16,1,1,56,"(1, 2, 0)",3-cycle,0
1,17,0,1,17,"(0, 1, 2)",id,0
1,18,0,1,18,"(0, 1, 2)",id,0
1,20,1,1,60,"(0, 1, 2)",id,0
1,22,1,1,65,"(1, 0, 2)",transposition,1
1,24,1,1,62,"(1, 2, 0)",3-cycle,0
1,25,0,1,25,"(0, 1, 2)",id,0
1,26,0,1,26,"(0, 1, 2)",id,0
1,28,1,1,66,"(0, 1, 2)",id,0
1,30,1,1,70,"(1, 0, 2)",transposition,1
1,32,1,1,69,"(1, 2, 0)",3-cycle,0
1,36,0,1,55,"(0, 1, 2)",id,0
1,37,0,1,57,"(0, 1, 2)",id,0
1,38,0,1,59,"(0, 1, 2)",id,0
1,39,0,1,61,"(0, 1, 2)",id,0
1,40,0,1,63,"(0, 1, 2)",id,0
1,41,0,1,64,"(0, 1, 2)",id,0
1,42,0,1,67,"(0, 1, 2)",id,0
