triad_index,w33_points,holonomy_z12,cover_mask,cover_size,cover12,missing_mask,missing_symbols
148,6 7 11,3,4095,12,True,0,
149,6 8 10,3,4095,12,True,0,
150,6 9 12,3,4095,12,True,0,
151,6 13 24,3,4095,12,True,0,
152,6 13 32,9,4095,12,True,0,
153,6 14 22,3,4095,12,True,0,
154,6 14 33,9,4095,12,True,0,
155,6 15 23,3,4095,12,True,0,
156,6 15 31,9,4095,12,True,0,
157,6 16 27,9,4095,12,True,0,
158,6 16 35,3,4095,12,True,0,
159,6 17 25,9,4095,12,True,0,
160,6 17 36,3,4095,12,True,0,
161,6 18 26,9,4095,12,True,0,
162,6 18 34,3,3647,9,False,448,6 7 8
163,6 22 33,3,4095,12,True,0,
164,6 23 31,3,4095,12,True,0,
165,6 24 32,3,4095,12,True,0,
166,6 25 36,9,4095,12,True,0,
167,6 26 34,9,4095,12,True,0,
168,6 27 35,9,4095,12,True,0,
169,7 8 9,3,4095,12,True,0,
170,7 13 25,3,4095,12,True,0,
171,7 13 37,9,4095,12,True,0,
172,7 14 26,9,4095,12,True,0,
173,7 14 38,3,4095,12,True,0,
174,7 16 28,3,4095,12,True,0,
175,7 16 31,9,4095,12,True,0,
176,7 17 29,9,4095,12,True,0,
177,7 17 32,3,4095,12,True,0,
178,7 19 22,3,4095,12,True,0,
179,7 19 34,9,4095,12,True,0,
180,7 20 23,9,4095,12,True,0,
181,7 20 35,3,4095,12,True,0,
182,7 22 34,3,4095,12,True,0,
183,7 23 35,9,4095,12,True,0,
184,7 25 37,3,4095,12,True,0,
185,7 26 38,9,4095,12,True,0,
186,7 28 31,3,4095,12,True,0,
187,7 29 32,9,4088,9,False,7,0 1 2
188,8 13 26,3,4095,12,True,0,
189,8 13 39,9,4095,12,True,0,
190,8 14 27,9,4095,12,True,0,
191,8 14 37,3,4095,12,True,0,
192,8 17 30,3,3591,6,False,504,3 4 5 6 7 8
193,8 17 31,9,4039,9,False,56,3 4 5
194,8 18 28,9,3647,9,False,448,6 7 8
195,8 18 32,3,4095,12,True,0,
196,8 19 23,9,4095,12,True,0,
197,8 19 36,3,4095,12,True,0,
198,8 21 22,3,3591,6,False,504,3 4 5 6 7 8
199,8 21 35,9,3647,9,False,448,6 7 8
200,8 22 35,3,3647,9,False,448,6 7 8
201,8 23 36,9,4095,12,True,0,
202,8 26 39,3,4095,12,True,0,
203,8 27 37,9,4095,12,True,0,
204,8 28 32,9,4095,12,True,0,
205,8 30 31,3,4039,9,False,56,3 4 5
206,9 13 27,3,4095,12,True,0,
207,9 13 38,9,4095,12,True,0,
208,9 14 25,9,4095,12,True,0,
209,9 14 39,3,4095,12,True,0,
210,9 16 30,9,4095,12,True,0,
211,9 16 32,3,4095,12,True,0,
212,9 18 29,3,3647,9,False,448,6 7 8
213,9 18 31,9,4095,12,True,0,
214,9 20 22,3,3647,9,False,448,6 7 8
215,9 20 36,9,4095,12,True,0,
216,9 21 23,9,4095,12,True,0,
217,9 21 34,3,3647,9,False,448,6 7 8
218,9 22 36,3,4095,12,True,0,
219,9 23 34,9,4095,12,True,0,
220,9 25 39,9,4095,12,True,0,
221,9 27 38,3,4095,12,True,0,
222,9 29 31,3,4095,12,True,0,
223,9 30 32,9,4088,9,False,7,0 1 2
224,10 11 12,9,4095,12,True,0,
225,10 13 28,3,4095,12,True,0,
226,10 13 34,9,4095,12,True,0,
227,10 15 30,9,4095,12,True,0,
228,10 15 36,3,4095,12,True,0,
229,10 16 22,3,4095,12,True,0,
230,10 16 37,9,4095,12,True,0,
231,10 18 24,9,4095,12,True,0,
232,10 18 39,3,4095,12,True,0,
233,10 19 25,3,4095,12,True,0,
234,10 19 31,9,4039,9,False,56,3 4 5
235,10 21 27,9,4095,12,True,0,
236,10 21 33,3,4039,9,False,56,3 4 5
237,10 22 37,3,4095,12,True,0,
238,10 24 39,9,4095,12,True,0,
239,10 25 31,3,4095,12,True,0,
240,10 27 33,9,4095,12,True,0,
241,10 28 34,3,4095,12,True,0,
242,10 30 36,9,4088,9,False,7,0 1 2
243,11 13 29,3,4095,12,True,0,
244,11 13 36,9,511,9,False,3584,9 a b
245,11 15 28,9,4095,12,True,0,
246,11 15 35,3,4095,12,True,0,
247,11 17 24,9,4095,12,True,0,
248,11 17 37,3,4095,12,True,0,
249,11 18 22,3,4095,12,True,0,
250,11 18 38,9,4095,12,True,0,
251,11 19 26,9,4095,12,True,0,
252,11 19 33,3,4095,12,True,0,
253,11 20 27,3,511,9,False,3584,9 a b
254,11 20 31,9,4095,12,True,0,
255,11 22 38,3,511,9,False,3584,9 a b
256,11 24 37,9,511,9,False,3584,9 a b
257,11 26 33,9,4095,12,True,0,
258,11 27 31,3,4095,12,True,0,
259,11 28 35,9,4095,12,True,0,
260,11 29 36,3,4088,9,False,7,0 1 2
261,12 13 30,3,4095,12,True,0,
262,12 13 35,9,4095,12,True,0,
263,12 15 29,9,4095,12,True,0,
264,12 15 34,3,4095,12,True,0,
265,12 16 24,9,4095,12,True,0,
266,12 16 38,3,4095,12,True,0,
267,12 17 22,3,4039,9,False,56,3 4 5
268,12 17 39,9,4039,9,False,56,3 4 5
269,12 20 25,9,4095,12,True,0,
270,12 20 33,3,4095,12,True,0,
271,12 21 26,3,4095,12,True,0,
272,12 21 31,9,4039,9,False,56,3 4 5
273,12 22 39,3,4039,9,False,56,3 4 5
274,12 24 38,9,4095,12,True,0,
275,12 25 33,9,4095,12,True,0,
276,12 26 31,3,4095,12,True,0,
277,12 29 34,9,4095,12,True,0,
278,12 30 35,3,4095,12,True,0,
279,13 22 31,9,4095,12,True,0,
280,13 23 33,9,4095,12,True,0,
281,13 24 32,9,4095,12,True,0,
282,13 25 37,9,4095,12,True,0,
283,13 26 39,9,4095,12,True,0,
284,13 27 38,9,511,9,False,3584,9 a b
285,13 28 34,9,4095,12,True,0,
286,13 29 36,9,4095,12,True,0,
287,13 30 35,9,4095,12,True,0,
288,14 16 21,9,4095,12,True,0,
289,14 17 20,9,4095,12,True,0,
290,14 18 19,9,4095,12,True,0,
291,14 22 33,9,4095,12,True,0,
292,14 23 32,9,4095,12,True,0,
293,14 24 31,9,4095,12,True,0,
294,14 25 39,3,4095,12,True,0,
295,14 26 38,3,511,9,False,3584,9 a b
296,14 27 37,3,511,9,False,3584,9 a b
297,15 16 20,3,4095,12,True,0,
298,15 17 19,3,4095,12,True,0,
299,15 18 21,3,3647,9,False,448,6 7 8
300,15 22 32,9,4095,12,True,0,
301,15 23 31,9,4095,12,True,0,
302,15 24 33,9,4095,12,True,0,
303,15 28 35,3,3647,9,False,448,6 7 8
304,15 29 34,3,3647,9,False,448,6 7 8
305,15 30 36,3,4095,12,True,0,
306,16 17 18,3,4095,12,True,0,
307,16 22 37,9,511,9,False,3584,9 a b
308,16 24 38,3,511,9,False,3584,9 a b
309,16 25 34,9,4095,12,True,0,
310,16 27 35,3,511,9,False,3584,9 a b
311,16 28 31,9,4095,12,True,0,
312,16 30 32,3,4095,12,True,0,
313,17 22 39,9,4039,9,False,56,3 4 5
314,17 24 37,3,4095,12,True,0,
315,17 25 36,3,4095,12,True,0,
316,17 26 35,9,4095,12,True,0,
317,17 29 32,3,4095,12,True,0,
318,17 30 31,9,4039,9,False,56,3 4 5
319,18 22 38,9,3647,9,False,448,6 7 8
320,18 24 39,3,4095,12,True,0,
321,18 26 34,3,4095,12,True,0,
322,18 27 36,9,4095,12,True,0,
323,18 28 32,3,4095,12,True,0,
324,18 29 31,9,4095,12,True,0,
325,19 20 21,9,4095,12,True,0,
326,19 22 34,9,4095,12,True,0,
327,19 23 36,3,4095,12,True,0,
328,19 25 31,9,4095,12,True,0,
329,19 26 33,3,4095,12,True,0,
330,19 28 37,9,4095,12,True,0,
331,19 29 39,3,4095,12,True,0,
332,20 22 36,9,511,9,False,3584,9 a b
333,20 23 35,3,511,9,False,3584,9 a b
334,20 25 33,3,4095,12,True,0,
335,20 27 31,9,4095,12,True,0,
336,20 29 38,9,3647,9,False,448,6 7 8
337,20 30 37,3,3647,9,False,448,6 7 8
338,21 22 35,9,3647,9,False,448,6 7 8
339,21 23 34,3,4095,12,True,0,
340,21 26 31,9,4095,12,True,0,
341,21 27 33,3,4095,12,True,0,
342,21 28 38,3,3647,9,False,448,6 7 8
343,21 30 39,9,4039,9,False,56,3 4 5
344,23 25 30,9,4088,9,False,7,0 1 2
345,23 26 29,9,4095,12,True,0,
346,23 27 28,9,4095,12,True,0,
347,24 25 29,3,4088,9,False,7,0 1 2
348,24 26 28,3,4095,12,True,0,
