triad_id,triad_points,holonomy_mod12,holonomy_sign,outer_quad_centers,component_id
184,7 25 37,3,i,1 15 18 21,54
185,7 26 38,9,-i,10 15 30 36,55
186,7 28 31,3,i,1 33 36 39,56
187,7 29 32,9,-i,10 21 27 33,57
188,8 13 26,3,i,2 15 16 20,60
189,8 13 39,9,-i,2 15 16 20,60
190,8 14 27,9,-i,12 15 29 34,61
191,8 14 37,3,i,12 15 29 34,61
192,8 17 30,3,i,2 33 34 38,62
193,8 17 31,9,-i,2 33 34 38,62
194,8 18 28,9,-i,12 20 25 33,63
195,8 18 32,3,i,12 20 25 33,63
196,8 19 23,9,-i,12 16 24 38,64
197,8 19 36,3,i,12 16 24 38,64
198,8 21 22,3,i,2 24 25 29,65
199,8 21 35,9,-i,2 24 25 29,65
200,8 22 35,3,i,2 24 25 29,65
201,8 23 36,9,-i,12 16 24 38,64
202,8 26 39,3,i,2 15 16 20,60
203,8 27 37,9,-i,12 15 29 34,61
204,8 28 32,9,-i,12 20 25 33,63
205,8 30 31,3,i,2 33 34 38,62
206,9 13 27,3,i,3 15 17 19,66
207,9 13 38,9,-i,3 15 17 19,66
208,9 14 25,9,-i,11 15 28 35,67
209,9 14 39,3,i,11 15 28 35,67
210,9 16 30,9,-i,11 19 26 33,68
211,9 16 32,3,i,11 19 26 33,68
212,9 18 29,3,i,3 33 35 37,69
213,9 18 31,9,-i,3 33 35 37,69
214,9 20 22,3,i,3 24 26 28,70
215,9 20 36,9,-i,3 24 26 28,70
216,9 21 23,9,-i,11 17 24 37,71
217,9 21 34,3,i,11 17 24 37,71
218,9 22 36,3,i,3 24 26 28,70
219,9 23 34,9,-i,11 17 24 37,71
220,9 25 39,9,-i,11 15 28 35,67
221,9 27 38,3,i,3 15 17 19,66
222,9 29 31,3,i,3 33 35 37,69
223,9 30 32,9,-i,11 19 26 33,68
224,10 11 12,9,-i,4 14 23 32,2
225,10 13 28,3,i,1 14 17 20,72
226,10 13 34,9,-i,1 14 17 20,72
227,10 15 30,9,-i,7 14 26 38,73
228,10 15 36,3,i,7 14 26 38,73
229,10 16 22,3,i,1 23 26 29,74
230,10 16 37,9,-i,1 23 26 29,74
231,10 18 24,9,-i,7 20 23 35,75
232,10 18 39,3,i,7 20 23 35,75
233,10 19 25,3,i,1 32 35 38,76
234,10 19 31,9,-i,1 32 35 38,76
235,10 21 27,9,-i,7 17 29 32,77
236,10 21 33,3,i,7 17 29 32,77
237,10 22 37,3,i,1 23 26 29,74
238,10 24 39,9,-i,7 20 23 35,75
239,10 25 31,3,i,1 32 35 38,76
240,10 27 33,9,-i,7 17 29 32,77
241,10 28 34,3,i,1 14 17 20,72
242,10 30 36,9,-i,7 14 26 38,73
243,11 13 29,3,i,3 14 16 21,78
244,11 13 36,9,-i,3 14 16 21,78
245,11 15 28,9,-i,9 14 25 39,79
246,11 15 35,3,i,9 14 25 39,79
247,11 17 24,9,-i,9 21 23 34,80
248,11 17 37,3,i,9 21 23 34,80
249,11 18 22,3,i,3 23 25 30,81
250,11 18 38,9,-i,3 23 25 30,81
251,11 19 26,9,-i,9 16 30 32,82
252,11 19 33,3,i,9 16 30 32,82
253,11 20 27,3,i,3 32 34 39,83
254,11 20 31,9,-i,3 32 34 39,83
255,11 22 38,3,i,3 23 25 30,81
256,11 24 37,9,-i,9 21 23 34,80
257,11 26 33,9,-i,9 16 30 32,82
258,11 27 31,3,i,3 32 34 39,83
259,11 28 35,9,-i,9 14 25 39,79
260,11 29 36,3,i,3 14 16 21,78
261,12 13 30,3,i,2 14 18 19,84
262,12 13 35,9,-i,2 14 18 19,84
263,12 15 29,9,-i,8 14 27 37,85
264,12 15 34,3,i,8 14 27 37,85
265,12 16 24,9,-i,8 19 23 36,86
266,12 16 38,3,i,8 19 23 36,86
267,12 17 22,3,i,2 23 27 28,87
268,12 17 39,9,-i,2 23 27 28,87
269,12 20 25,9,-i,8 18 28 32,88
270,12 20 33,3,i,8 18 28 32,88
271,12 21 26,3,i,2 32 36 37,89
272,12 21 31,9,-i,2 32 36 37,89
273,12 22 39,3,i,2 23 27 28,87
274,12 24 38,9,-i,8 19 23 36,86
275,12 25 33,9,-i,8 18 28 32,88
276,12 26 31,3,i,2 32 36 37,89
277,12 29 34,9,-i,8 14 27 37,85
278,12 30 35,3,i,2 14 18 19,84
279,13 22 31,9,-i,0 1 2 3,33
280,13 23 33,9,-i,0 16 17 18,42
281,13 24 32,9,-i,0 19 20 21,48
282,13 25 37,9,-i,1 15 18 21,54
283,13 26 39,9,-i,2 15 16 20,60
284,13 27 38,9,-i,3 15 17 19,66
285,13 28 34,9,-i,1 14 17 20,72
286,13 29 36,9,-i,3 14 16 21,78
287,13 30 35,9,-i,2 14 18 19,84
288,14 16 21,9,-i,11 13 29 36,27
289,14 17 20,9,-i,10 13 28 34,11
290,14 18 19,9,-i,12 13 30 35,19
291,14 22 33,9,-i,0 28 29 30,49
292,14 23 32,9,-i,0 10 11 12,34
293,14 24 31,9,-i,0 34 35 36,43
294,14 25 39,3,i,11 15 28 35,67
295,14 26 38,3,i,10 15 30 36,55
296,14 27 37,3,i,12 15 29 34,61
297,15 16 20,3,i,8 13 26 39,20
298,15 17 19,3,i,9 13 27 38,28
299,15 18 21,3,i,7 13 25 37,12
300,15 22 32,9,-i,0 25 26 27,44
301,15 23 31,9,-i,0 37 38 39,50
302,15 24 33,9,-i,0 7 8 9,35
303,15 28 35,3,i,9 14 25 39,79
304,15 29 34,3,i,8 14 27 37,85
305,15 30 36,3,i,7 14 26 38,73
306,16 17 18,3,i,5 13 23 33,3
307,16 22 37,9,-i,1 23 26 29,74
308,16 24 38,3,i,8 19 23 36,86
309,16 25 34,9,-i,1 5 8 11,36
310,16 27 35,3,i,5 19 29 39,51
311,16 28 31,9,-i,1 33 36 39,56
312,16 30 32,3,i,11 19 26 33,68
313,17 22 39,9,-i,2 23 27 28,87
314,17 24 37,3,i,9 21 23 34,80
315,17 25 36,3,i,5 21 28 38,52
316,17 26 35,9,-i,2 5 9 10,37
317,17 29 32,3,i,10 21 27 33,57
318,17 30 31,9,-i,2 33 34 38,62
319,18 22 38,9,-i,3 23 25 30,81
320,18 24 39,3,i,7 20 23 35,75
321,18 26 34,3,i,5 20 30 37,53
322,18 27 36,9,-i,3 5 7 12,38
323,18 28 32,3,i,12 20 25 33,63
324,18 29 31,9,-i,3 33 35 37,69
325,19 20 21,9,-i,6 13 24 32,4
326,19 22 34,9,-i,1 24 27 30,58
327,19 23 36,3,i,12 16 24 38,64
328,19 25 31,9,-i,1 32 35 38,76
329,19 26 33,3,i,9 16 30 32,82
330,19 28 37,9,-i,1 6 9 12,39
331,19 29 39,3,i,6 16 27 35,45
332,20 22 36,9,-i,3 24 26 28,70
333,20 23 35,3,i,10 18 24 39,59
334,20 25 33,3,i,8 18 28 32,88
335,20 27 31,9,-i,3 32 34 39,83
336,20 29 38,9,-i,3 6 8 10,40
337,20 30 37,3,i,6 18 26 34,46
338,21 22 35,9,-i,2 24 25 29,65
339,21 23 34,3,i,11 17 24 37,71
340,21 26 31,9,-i,2 32 36 37,89
341,21 27 33,3,i,7 17 29 32,77
342,21 28 38,3,i,6 17 25 36,47
343,21 30 39,9,-i,2 6 7 11,41
344,23 25 30,9,-i,11 18 22 38,29
345,23 26 29,9,-i,10 16 22 37,13
346,23 27 28,9,-i,12 17 22 39,21
347,24 25 29,3,i,8 21 22 35,22
348,24 26 28,3,i,9 20 22 36,30
349,24 27 30,3,i,7 19 22 34,14
350,25 26 27,3,i,5 15 22 32,5
351,28 29 30,9,-i,6 14 22 33,6
352,32 34 39,9,-i,11 20 27 31,31
353,32 35 38,9,-i,10 19 25 31,15
354,32 36 37,9,-i,12 21 26 31,23
355,33 34 38,3,i,8 17 30 31,24
356,33 35 37,3,i,9 18 29 31,32
357,33 36 39,3,i,7 16 28 31,16
358,34 35 36,3,i,5 14 24 31,7
359,37 38 39,9,-i,6 15 23 31,8
