"line_id","mean_abs_delta","var_q_class","var_q_r","card_basis","unique_k_mod6","unique_k_mod3","coord0_unique_k_mod6","coord1_unique_k_mod6","coord2_unique_k_mod6","coord3_unique_k_mod6","k_mod6_counts","k_mod3_counts"
"30","0.0034588123174124","low(1/9)","0.111111","5♠ 5♡ 5♢ 5♣","3","3","1","2","2","2","{""0"":5,""4"":2,""5"":5}","{""0"":5,""1"":2,""2"":5}"
"31","0.0003705151227652","mid(1/3)","0.333333","1♠ 3♡ 5♣ 9♣","6","3","1","1","3","3","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"32","0.01023791022497","mid(1/3)","0.333333","1♢ 4♢ 6♣ 8♡","4","3","1","3","1","3","{""0"":4,""1"":2,""3"":2,""5"":2}","{""0"":6,""1"":2,""2"":2}"
"33","0.0069999206963728","low(1/9)","0.111111","5♢ 6♣ 9♠ 10♡","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":1,""4"":2,""5"":3}","{""0"":4,""1"":4,""2"":4}"
"34","0.0015838462187076","mid(1/3)","0.333333","1♣ 4♣ 7♣ 9♡","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"35","0.0154435083393667","mid(1/3)","0.333333","1♣ 2♣ 5♢ 8♣","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"36","0.0028638058953718","mid(1/3)","0.333333","1♣ 3♣ 6♡ 10♢","6","3","1","3","3","1","{""0"":5,""1"":1,""2"":1,""3"":1,""4"":1,""5"":1}","{""0"":6,""1"":2,""2"":2}"
"37","0.0013504470492692","low(1/9)","0.111111","5♠ 6♢ 9♡ 10♣","6","3","1","2","2","2","{""0"":4,""1"":1,""2"":1,""3"":2,""4"":2,""5"":2}","{""0"":6,""1"":3,""2"":3}"
"38","0.0053258998396304","low(1/9)","0.111111","2♠ 4♡ 9♢ 10♢","6","3","1","2","2","2","{""0"":4,""1"":2,""2"":2,""3"":2,""4"":1,""5"":1}","{""0"":6,""1"":3,""2"":3}"
"39","0.0194527024535412","low(1/9)","0.111111","2♠ 3♡ 6♣ 7♣","5","3","1","2","2","2","{""0"":4,""1"":2,""2"":3,""3"":1,""5"":2}","{""0"":5,""1"":2,""2"":5}"
