mu,lam_lo,lam_hi,lam_switch_mid,line_left,line_right
0.5,0.58,0.59,0.585,8,17
0.75,0.43,0.44,0.435,22,8
0.75,0.53,0.54,0.535,8,17
1.0,0.47,0.48,0.475,22,17
