mu,lam_lo,lam_hi,lam_switch_mid,line_left,line_right
0.5,0.4,0.41,0.405,22,8
0.5,0.47,0.48,0.475,8,17
0.75,0.42,0.43,0.425,22,8
0.75,0.48,0.49,0.485,8,17
1.0,0.44,0.45,0.445,22,8
1.0,0.49,0.5,0.495,8,17
1.25,0.46,0.47,0.46499999999999997,22,8
1.25,0.51,0.52,0.515,8,17
1.5,0.48,0.49,0.485,22,8
1.5,0.52,0.53,0.525,8,17
1.75,0.49,0.5,0.495,22,8
1.75,0.53,0.54,0.535,8,17
2.0,0.49,0.5,0.495,22,8
2.0,0.54,0.55,0.545,8,17
